,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
12717,"Crawfordsville, IA","Washington, IA",13,40,19,16,50,6,27,34,11,72,2005
12692,"Crawfordsville, IA","Iowa City, IA",11,39,8,12,41,5,9,23,26,58,2005
12709,"Crawfordsville, IA","Riverside, IA",5,16,6,3,19,5,13,10,4,27,2005
12715,"Crawfordsville, IA","University Heights, IA",1,8,5,0,14,0,2,7,5,14,2005
12698,"Crawfordsville, IA","Mount Pleasant, IA",1,9,2,4,5,3,3,6,3,12,2005
12667,"Crawfordsville, IA","Ainsworth, IA",2,7,2,4,5,2,2,7,2,11,2005
12713,"Crawfordsville, IA","Tiffin, IA",2,6,1,1,1,7,2,2,5,9,2005
12675,"Crawfordsville, IA","Columbus Junction, IA",1,6,2,6,1,2,1,4,4,9,2005
12693,"Crawfordsville, IA","Kalona, IA",2,4,2,2,4,2,2,5,1,8,2005
12725,"Crawfordsville, IA","Winfield, IA",0,6,1,2,5,0,2,3,2,7,2005
12673,"Crawfordsville, IA","Cedar Rapids, IA",4,1,0,0,4,1,2,2,1,5,2005
12678,"Crawfordsville, IA","Crawfordsville, IA",1,3,1,3,0,2,1,3,1,5,2005
12699,"Crawfordsville, IA","Mount Union, IA",1,4,0,1,3,1,2,2,1,5,2005
12719,"Crawfordsville, IA","Wayland, IA",2,2,0,0,4,0,3,1,0,4,2005
12683,"Crawfordsville, IA","Ely, IA",2,2,0,0,3,1,0,2,2,4,2005
12677,"Crawfordsville, IA","Coralville, IA",2,1,0,0,1,2,2,1,0,3,2005
12720,"Crawfordsville, IA","Wellman, IA",0,1,2,0,1,2,0,3,0,3,2005
12689,"Crawfordsville, IA","Hiawatha, IA",0,2,1,0,1,2,0,3,0,3,2005
12716,"Crawfordsville, IA","Victor, IA",0,1,1,2,0,0,0,1,1,2,2005
12710,"Crawfordsville, IA","Robins, IA",2,0,0,0,1,1,2,0,0,2,2005
12707,"Crawfordsville, IA","Pleasant Plain, IA",1,1,0,2,0,0,0,2,0,2,2005
12706,"Crawfordsville, IA","Packwood, IA",1,1,0,0,0,2,0,1,1,2,2005
12705,"Crawfordsville, IA","Oxford, IA",1,1,0,1,0,1,1,1,0,2,2005
12702,"Crawfordsville, IA","North Liberty, IA",0,2,0,0,2,0,0,1,1,2,2005
12700,"Crawfordsville, IA","Muscatine, IA",2,0,0,1,1,0,0,2,0,2,2005
12701,"Crawfordsville, IA","Newton, IA",0,2,0,0,0,2,0,1,1,2,2005
12696,"Crawfordsville, IA","Marshalltown, IA",0,1,1,0,0,2,1,0,1,2,2005
12679,"Crawfordsville, IA","Des Moines, IA",0,0,2,1,1,0,0,1,1,2,2005
12682,"Crawfordsville, IA","Elk Run Heights, IA",0,1,0,1,0,0,0,1,0,1,2005
12724,"Crawfordsville, IA","Windsor Heights, IA",0,0,1,0,1,0,0,0,1,1,2005
12723,"Crawfordsville, IA","West Chester, IA",0,0,1,0,0,1,0,1,0,1,2005
12722,"Crawfordsville, IA","West Burlington, IA",0,1,0,0,1,0,0,1,0,1,2005
12721,"Crawfordsville, IA","West Branch, IA",0,1,0,1,0,0,0,1,0,1,2005
12680,"Crawfordsville, IA","Dubuque, IA",1,0,0,0,0,1,1,0,0,1,2005
12718,"Crawfordsville, IA","Waterloo, IA",1,0,0,0,1,0,0,1,0,1,2005
12669,"Crawfordsville, IA","Bellevue, IA",0,1,0,0,0,1,0,0,1,1,2005
12681,"Crawfordsville, IA","Eldora, IA",1,0,0,0,0,1,1,0,0,1,2005
12670,"Crawfordsville, IA","Bennett, IA",0,1,0,0,0,1,0,0,1,1,2005
12714,"Crawfordsville, IA","Tipton, IA",1,0,0,0,1,0,1,0,0,1,2005
12671,"Crawfordsville, IA","Bettendorf, IA",0,1,0,0,0,1,0,1,0,1,2005
12712,"Crawfordsville, IA","Storm Lake, IA",0,0,1,0,0,1,0,1,0,1,2005
12711,"Crawfordsville, IA","South English, IA",0,1,0,0,0,1,0,0,1,1,2005
12674,"Crawfordsville, IA","Center Point, IA",0,1,0,0,1,0,1,0,0,1,2005
12694,"Crawfordsville, IA","Kinross, IA",0,1,0,1,0,0,0,1,0,1,2005
12708,"Crawfordsville, IA","Richland, IA",0,1,0,0,0,1,0,0,1,1,2005
12684,"Crawfordsville, IA","Fairfax, IA",0,0,1,0,0,1,0,0,1,1,2005
12685,"Crawfordsville, IA","Fairfield, IA",0,1,0,0,0,1,0,1,0,1,2005
12686,"Crawfordsville, IA","Fort Dodge, IA",0,1,0,0,0,1,1,0,0,1,2005
12704,"Crawfordsville, IA","Ottumwa, IA",0,1,0,0,1,0,1,0,0,1,2005
12703,"Crawfordsville, IA","Oskaloosa, IA",0,1,0,0,0,1,0,0,1,1,2005
12687,"Crawfordsville, IA","Grinnell, IA",0,1,0,0,0,1,0,1,0,1,2005
12688,"Crawfordsville, IA","Guthrie Center, IA",1,0,0,0,0,1,0,1,0,1,2005
12690,"Crawfordsville, IA","Hills, IA",1,0,0,0,1,0,1,0,0,1,2005
12691,"Crawfordsville, IA","Independence, IA",0,0,1,1,0,0,0,0,1,1,2005
12676,"Crawfordsville, IA","Conesville, IA",1,0,0,1,0,0,0,1,0,1,2005
12697,"Crawfordsville, IA","Middletown, IA",0,1,0,1,0,0,0,0,1,1,2005
12668,"Crawfordsville, IA","Ames, IA",1,0,0,0,0,1,1,0,0,1,2005
12695,"Crawfordsville, IA","Lone Tree, IA",0,0,1,0,0,1,1,0,0,1,2005
12672,"Crawfordsville, IA","Burlington, IA",0,1,0,1,0,0,0,0,1,1,2005
