,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
22310,"Graf, IA","Dubuque, IA",36,104,19,21,122,16,38,80,41,159,2005
22298,"Graf, IA","Asbury, IA",10,40,9,16,35,8,22,23,14,59,2005
22338,"Graf, IA","Peosta, IA",14,29,4,30,14,3,14,22,11,47,2005
22311,"Graf, IA","Dyersville, IA",3,15,1,8,8,3,9,8,2,19,2005
22342,"Graf, IA","Waterloo, IA",7,8,0,8,7,0,5,3,7,15,2005
22319,"Graf, IA","Farley, IA",2,11,0,7,3,3,2,9,2,13,2005
22303,"Graf, IA","Cedar Rapids, IA",7,4,1,2,3,7,5,4,3,12,2005
22316,"Graf, IA","Epworth, IA",3,6,2,0,9,2,4,5,2,11,2005
22340,"Graf, IA","Sageville, IA",1,3,4,7,1,0,0,1,7,8,2005
22302,"Graf, IA","Cedar Falls, IA",5,1,1,0,6,1,6,1,0,7,2005
22307,"Graf, IA","Davenport, IA",2,2,2,1,5,0,4,1,1,6,2005
22301,"Graf, IA","Cascade, IA",3,1,0,1,3,0,3,1,0,4,2005
22344,"Graf, IA","Worthington, IA",2,2,0,2,1,1,0,3,1,4,2005
22296,"Graf, IA","Anamosa, IA",0,3,0,0,2,1,0,0,3,3,2005
22325,"Graf, IA","Hiawatha, IA",1,2,0,1,2,0,1,2,0,3,2005
22320,"Graf, IA","Fort Atkinson, IA",0,3,0,0,3,0,2,1,0,3,2005
22313,"Graf, IA","Elk Run Heights, IA",0,2,1,3,0,0,0,3,0,3,2005
22308,"Graf, IA","Decorah, IA",1,2,0,0,1,2,1,2,0,3,2005
22299,"Graf, IA","Balltown, IA",1,1,1,1,0,2,0,2,1,3,2005
22330,"Graf, IA","Luana, IA",1,1,0,2,0,0,1,1,0,2,2005
22335,"Graf, IA","New Vienna, IA",0,0,2,0,1,1,1,1,0,2,2005
22328,"Graf, IA","Iowa City, IA",1,1,0,0,2,0,2,0,0,2,2005
22331,"Graf, IA","Manchester, IA",0,2,0,2,0,0,0,0,2,2,2005
22334,"Graf, IA","Muscatine, IA",1,0,1,0,1,1,0,2,0,2,2005
22329,"Graf, IA","Long Grove, IA",1,1,0,1,1,0,1,0,1,2,2005
22300,"Graf, IA","Bettendorf, IA",2,0,0,0,1,1,1,1,0,2,2005
22305,"Graf, IA","Clinton, IA",1,1,0,0,1,1,2,0,0,2,2005
22341,"Graf, IA","Shueyville, IA",0,1,0,1,0,0,0,1,0,1,2005
22333,"Graf, IA","Morley, IA",0,1,0,0,0,1,0,1,0,1,2005
22337,"Graf, IA","Ottumwa, IA",0,0,1,1,0,0,0,0,1,1,2005
22332,"Graf, IA","Monticello, IA",0,1,0,0,0,1,0,1,0,1,2005
22343,"Graf, IA","West Branch, IA",0,1,0,1,0,0,0,0,1,1,2005
22339,"Graf, IA","Prairieburg, IA",0,1,0,0,0,1,1,0,0,1,2005
22336,"Graf, IA","Oelwein, IA",0,1,0,0,1,0,0,1,0,1,2005
22321,"Graf, IA","Fort Dodge, IA",0,0,1,0,1,0,0,1,0,1,2005
22327,"Graf, IA","Independence, IA",0,0,1,0,1,0,0,0,1,1,2005
22326,"Graf, IA","Hopkinton, IA",0,1,0,0,0,1,1,0,0,1,2005
22324,"Graf, IA","Grimes, IA",0,1,0,1,0,0,0,0,1,1,2005
22323,"Graf, IA","Graf, IA",0,1,0,1,0,0,1,0,0,1,2005
22322,"Graf, IA","Gilman, IA",0,1,0,1,0,0,1,0,0,1,2005
22297,"Graf, IA","Ankeny, IA",1,0,0,1,0,0,0,0,1,1,2005
22318,"Graf, IA","Fairfield, IA",1,0,0,0,1,0,0,1,0,1,2005
22317,"Graf, IA","Fairfax, IA",0,1,0,0,0,1,0,1,0,1,2005
22315,"Graf, IA","Ely, IA",1,0,0,0,1,0,0,1,0,1,2005
22314,"Graf, IA","Ellsworth, IA",1,0,0,0,0,1,1,0,0,1,2005
22312,"Graf, IA","Eldridge, IA",0,1,0,1,0,0,0,0,1,1,2005
22309,"Graf, IA","Des Moines, IA",0,1,0,0,1,0,0,1,0,1,2005
22306,"Graf, IA","Coralville, IA",1,0,0,0,0,1,1,0,0,1,2005
22304,"Graf, IA","Center Point, IA",0,1,0,0,1,0,0,0,1,1,2005
22345,"Graf, IA","Zwingle, IA",0,1,0,0,0,1,0,0,1,1,2005
