,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
22426,"Grand Mound, IA","De Witt, IA",35,85,21,35,64,42,62,54,25,141,2005
22425,"Grand Mound, IA","Davenport, IA",32,72,16,27,72,21,35,50,35,120,2005
22432,"Grand Mound, IA","Eldridge, IA",20,37,18,33,14,28,15,36,24,75,2005
22474,"Grand Mound, IA","Wheatland, IA",8,20,9,1,34,2,19,16,2,37,2005
22416,"Grand Mound, IA","Bettendorf, IA",9,17,7,0,24,9,13,14,6,33,2005
22434,"Grand Mound, IA","Grand Mound, IA",5,18,7,9,10,11,11,13,6,30,2005
22422,"Grand Mound, IA","Clinton, IA",5,18,5,8,19,1,7,17,4,28,2005
22428,"Grand Mound, IA","Dixon, IA",3,14,3,6,11,3,7,11,2,20,2005
22450,"Grand Mound, IA","New Liberty, IA",3,7,4,3,4,7,7,6,1,14,2005
22444,"Grand Mound, IA","Maquoketa, IA",9,4,1,2,8,4,8,3,3,14,2005
22442,"Grand Mound, IA","Low Moor, IA",2,10,2,4,5,5,5,8,1,14,2005
22429,"Grand Mound, IA","Dubuque, IA",4,4,3,3,7,1,2,7,2,11,2005
22420,"Grand Mound, IA","Cedar Rapids, IA",3,7,1,3,5,3,3,5,3,11,2005
22455,"Grand Mound, IA","Panorama Park, IA",0,9,1,6,2,2,0,4,6,10,2005
22460,"Grand Mound, IA","Riverdale, IA",3,5,1,1,6,2,2,4,3,9,2005
22427,"Grand Mound, IA","Des Moines, IA",0,7,1,0,8,0,3,1,4,8,2005
22438,"Grand Mound, IA","Iowa City, IA",1,5,1,1,4,2,2,1,4,7,2005
22418,"Grand Mound, IA","Buffalo, IA",1,4,1,2,1,3,1,2,3,6,2005
22466,"Grand Mound, IA","Tiffin, IA",0,5,1,0,0,6,0,2,4,6,2005
22433,"Grand Mound, IA","Fort Atkinson, IA",0,4,1,0,5,0,1,1,3,5,2005
22437,"Grand Mound, IA","Hiawatha, IA",3,1,1,0,2,3,3,2,0,5,2005
22443,"Grand Mound, IA","Lowden, IA",3,0,2,0,4,1,5,0,0,5,2005
22419,"Grand Mound, IA","Camanche, IA",0,4,1,3,1,1,0,2,3,5,2005
22475,"Grand Mound, IA","Wilton, IA",0,5,0,1,4,0,0,2,3,5,2005
22467,"Grand Mound, IA","Tipton, IA",3,1,1,0,4,1,3,1,1,5,2005
22469,"Grand Mound, IA","Walcott, IA",1,1,2,0,1,3,1,2,1,4,2005
22417,"Grand Mound, IA","Blue Grass, IA",0,4,0,3,1,0,1,1,2,4,2005
