,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24547,"Hartley, IA","Hartley, IA",51,101,41,8,134,51,96,68,29,193,2005
24584,"Hartley, IA","Spencer, IA",32,67,14,41,54,18,50,35,28,113,2005
24579,"Hartley, IA","Sheldon, IA",13,30,12,12,31,12,20,21,14,55,2005
24577,"Hartley, IA","Sanborn, IA",16,27,7,3,43,4,29,13,8,50,2005
24571,"Hartley, IA","Primghar, IA",4,22,4,1,26,3,10,10,10,30,2005
24588,"Hartley, IA","Sutherland, IA",9,10,6,7,2,16,12,12,1,25,2005
24563,"Hartley, IA","Milford, IA",3,13,3,12,1,6,3,16,0,19,2005
24585,"Hartley, IA","Spirit Lake, IA",8,9,2,14,5,0,5,11,3,19,2005
24546,"Hartley, IA","Harris, IA",4,8,3,12,1,2,1,12,2,15,2005
24541,"Hartley, IA","Everly, IA",1,5,5,3,6,2,4,5,2,11,2005
24566,"Hartley, IA","Orange City, IA",1,6,2,7,2,0,2,7,0,9,2005
24555,"Hartley, IA","Le Mars, IA",1,4,4,1,3,5,3,3,3,9,2005
24586,"Hartley, IA","Storm Lake, IA",3,5,1,2,4,3,4,3,2,9,2005
24581,"Hartley, IA","Sioux Center, IA",0,5,4,3,5,1,0,8,1,9,2005
24529,"Hartley, IA","Ashton, IA",1,5,1,3,2,2,1,5,1,7,2005
24543,"Hartley, IA","Fort Dodge, IA",2,5,0,0,2,5,4,1,2,7,2005
24538,"Hartley, IA","Des Moines, IA",2,2,1,0,5,0,3,2,0,5,2005
24578,"Hartley, IA","Sergeant Bluff, IA",3,2,0,2,2,1,1,3,1,5,2005
24576,"Hartley, IA","Royal, IA",1,3,1,0,4,1,1,4,0,5,2005
24574,"Hartley, IA","Rock Valley, IA",4,0,1,2,3,0,3,2,0,5,2005
24582,"Hartley, IA","Sioux City, IA",3,2,0,0,5,0,2,3,0,5,2005
24530,"Hartley, IA","Boyden, IA",1,4,0,3,0,2,1,4,0,5,2005
24567,"Hartley, IA","Paullina, IA",1,4,0,1,4,0,1,3,1,5,2005
24532,"Hartley, IA","Cherokee, IA",1,3,0,2,2,0,2,0,2,4,2005
24537,"Hartley, IA","Davenport, IA",1,3,0,1,2,1,2,0,2,4,2005
24557,"Hartley, IA","Low Moor, IA",3,1,0,0,1,3,2,2,0,4,2005
24526,"Hartley, IA","Albert City, IA",0,3,1,0,1,3,0,2,2,4,2005
24568,"Hartley, IA","Peterson, IA",0,3,0,3,0,0,0,2,1,3,2005
24573,"Hartley, IA","Remsen, IA",3,0,0,0,3,0,3,0,0,3,2005
24564,"Hartley, IA","Ocheyedan, IA",0,3,0,2,1,0,0,3,0,3,2005
24594,"Hartley, IA","Whittemore, IA",0,3,0,3,0,0,0,2,1,3,2005
24549,"Hartley, IA","Hospers, IA",3,0,0,3,0,0,0,3,0,3,2005
24528,"Hartley, IA","Ankeny, IA",1,1,1,1,0,2,2,0,1,3,2005
24554,"Hartley, IA","Lakeside, IA",0,3,0,0,3,0,1,0,2,3,2005
24534,"Hartley, IA","Clive, IA",1,2,0,0,2,1,1,1,1,3,2005
24544,"Hartley, IA","Fostoria, IA",0,2,0,0,0,2,1,0,1,2,2005
24592,"Hartley, IA","Webster City, IA",1,0,1,0,1,1,1,1,0,2,2005
24589,"Hartley, IA","Terril, IA",0,2,0,0,2,0,0,1,1,2,2005
24533,"Hartley, IA","Clinton, IA",1,0,1,0,1,1,2,0,0,2,2005
24535,"Hartley, IA","Columbus Junction, IA",1,1,0,2,0,0,0,2,0,2,2005
24536,"Hartley, IA","Council Bluffs, IA",0,2,0,2,0,0,0,2,0,2,2005
24540,"Hartley, IA","Estherville, IA",1,1,0,1,1,0,1,1,0,2,2005
24545,"Hartley, IA","Greenville, IA",1,1,0,0,2,0,0,2,0,2,2005
24560,"Hartley, IA","Maurice, IA",1,0,1,1,1,0,1,1,0,2,2005
24553,"Hartley, IA","Lake Park, IA",0,2,0,1,1,0,0,1,1,2,2005
24551,"Hartley, IA","Ida Grove, IA",0,0,2,0,0,2,0,0,2,2,2005
24562,"Hartley, IA","Meriden, IA",0,1,1,0,0,2,0,2,0,2,2005
24569,"Hartley, IA","Pleasant Hill, IA",0,1,1,0,0,2,1,1,0,2,2005
24570,"Hartley, IA","Pocahontas, IA",0,1,0,0,1,0,0,1,0,1,2005
24593,"Hartley, IA","West Des Moines, IA",0,1,0,0,1,0,1,0,0,1,2005
24559,"Hartley, IA","Marshalltown, IA",0,1,0,1,0,0,0,0,1,1,2005
24591,"Hartley, IA","Wallingford, IA",0,1,0,1,0,0,0,1,0,1,2005
24590,"Hartley, IA","Urbandale, IA",0,1,0,0,1,0,1,0,0,1,2005
24527,"Hartley, IA","Ames, IA",1,0,0,0,1,0,1,0,0,1,2005
24561,"Hartley, IA","Melcher-Dallas, IA",0,0,1,1,0,0,0,1,0,1,2005
24587,"Hartley, IA","Superior, IA",1,0,0,0,1,0,1,0,0,1,2005
24531,"Hartley, IA","Cedar Rapids, IA",0,0,1,0,1,0,0,1,0,1,2005
24565,"Hartley, IA","Onawa, IA",0,0,1,0,1,0,0,1,0,1,2005
