,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
29880,"Lake Park, IA","Spirit Lake, IA",25,70,15,47,53,10,33,57,20,110,2005
29861,"Lake Park, IA","Lake Park, IA",12,30,17,14,23,22,24,17,18,59,2005
29865,"Lake Park, IA","Milford, IA",7,35,7,26,19,4,11,32,6,49,2005
29832,"Lake Park, IA","Arnolds Park, IA",17,13,1,5,24,2,20,8,3,31,2005
29855,"Lake Park, IA","Harris, IA",8,20,3,14,9,8,16,8,7,31,2005
29879,"Lake Park, IA","Spencer, IA",5,11,6,3,12,7,8,6,8,22,2005
29837,"Lake Park, IA","Burlington, IA",2,4,1,0,6,1,6,1,0,7,2005
29886,"Lake Park, IA","Wahpeton, IA",2,2,1,2,3,0,2,3,0,5,2005
29884,"Lake Park, IA","Terril, IA",0,1,4,0,4,1,3,1,1,5,2005
29881,"Lake Park, IA","Storm Lake, IA",2,2,1,0,0,5,2,3,0,5,2005
29850,"Lake Park, IA","Emmetsburg, IA",0,4,0,3,0,1,1,0,3,4,2005
29856,"Lake Park, IA","Hartley, IA",0,3,1,0,1,3,2,2,0,4,2005
29882,"Lake Park, IA","Superior, IA",0,2,2,0,3,1,3,1,0,4,2005
29878,"Lake Park, IA","Sioux City, IA",2,2,0,2,1,1,2,2,0,4,2005
29864,"Lake Park, IA","Le Mars, IA",3,0,0,0,0,3,3,0,0,3,2005
29868,"Lake Park, IA","Paullina, IA",1,1,1,2,0,1,0,1,2,3,2005
29830,"Lake Park, IA","Ames, IA",2,1,0,0,1,2,2,0,1,3,2005
29877,"Lake Park, IA","Sioux Center, IA",0,2,0,0,0,2,0,1,1,2,2005
29854,"Lake Park, IA","Fostoria, IA",0,2,0,0,1,1,1,1,0,2,2005
29833,"Lake Park, IA","Ashton, IA",0,2,0,0,2,0,0,0,2,2,2005
29887,"Lake Park, IA","West Burlington, IA",1,1,0,0,2,0,2,0,0,2,2005
29870,"Lake Park, IA","Quimby, IA",1,1,0,1,0,1,1,0,1,2,2005
29873,"Lake Park, IA","Sanborn, IA",0,2,0,0,2,0,0,2,0,2,2005
29844,"Lake Park, IA","Davenport, IA",0,1,1,1,1,0,0,1,1,2,2005
29883,"Lake Park, IA","Sutherland, IA",0,2,0,0,0,2,2,0,0,2,2005
29875,"Lake Park, IA","Sheldon, IA",0,2,0,2,0,0,1,0,1,2,2005
29851,"Lake Park, IA","Estherville, IA",0,1,1,1,1,0,1,1,0,2,2005
29846,"Lake Park, IA","Des Moines, IA",1,1,0,0,2,0,1,1,0,2,2005
29848,"Lake Park, IA","Eagle Grove, IA",0,2,0,1,0,1,0,1,1,2,2005
29874,"Lake Park, IA","Sergeant Bluff, IA",1,0,0,0,1,0,0,1,0,1,2005
29867,"Lake Park, IA","Osage, IA",1,0,0,0,1,0,0,1,0,1,2005
29872,"Lake Park, IA","Royal, IA",1,0,0,0,1,0,1,0,0,1,2005
29871,"Lake Park, IA","Riverdale, IA",1,0,0,0,1,0,1,0,0,1,2005
29885,"Lake Park, IA","Truesdale, IA",0,1,0,1,0,0,0,1,0,1,2005
29869,"Lake Park, IA","Pierson, IA",0,1,0,0,0,1,0,1,0,1,2005
29876,"Lake Park, IA","Shenandoah, IA",0,1,0,0,1,0,1,0,0,1,2005
29859,"Lake Park, IA","Indianola, IA",0,1,0,0,0,1,1,0,0,1,2005
29866,"Lake Park, IA","Norwalk, IA",0,1,0,0,0,1,0,1,0,1,2005
29863,"Lake Park, IA","Larrabee, IA",1,0,0,0,0,1,1,0,0,1,2005
29834,"Lake Park, IA","Aurelia, IA",0,1,0,1,0,0,0,0,1,1,2005
29835,"Lake Park, IA","Bettendorf, IA",0,1,0,0,1,0,1,0,0,1,2005
29836,"Lake Park, IA","Boyden, IA",1,0,0,0,0,1,1,0,0,1,2005
29838,"Lake Park, IA","Chariton, IA",1,0,0,0,0,1,1,0,0,1,2005
29839,"Lake Park, IA","Clive, IA",1,0,0,0,1,0,1,0,0,1,2005
29840,"Lake Park, IA","Coralville, IA",0,0,1,0,0,1,1,0,0,1,2005
29841,"Lake Park, IA","Council Bluffs, IA",0,1,0,0,0,1,1,0,0,1,2005
29842,"Lake Park, IA","Curlew, IA",0,1,0,1,0,0,0,1,0,1,2005
29843,"Lake Park, IA","Cushing, IA",0,1,0,1,0,0,0,1,0,1,2005
29845,"Lake Park, IA","Dayton, IA",1,0,0,0,1,0,1,0,0,1,2005
29847,"Lake Park, IA","Dolliver, IA",0,1,0,0,0,1,0,1,0,1,2005
29849,"Lake Park, IA","Eldridge, IA",0,0,1,0,1,0,1,0,0,1,2005
29852,"Lake Park, IA","Everly, IA",1,0,0,0,1,0,1,0,0,1,2005
29853,"Lake Park, IA","Fort Dodge, IA",0,1,0,0,1,0,0,1,0,1,2005
29857,"Lake Park, IA","Hospers, IA",0,1,0,1,0,0,0,1,0,1,2005
29858,"Lake Park, IA","Humboldt, IA",1,0,0,0,1,0,1,0,0,1,2005
29831,"Lake Park, IA","Ankeny, IA",0,1,0,0,0,1,1,0,0,1,2005
29860,"Lake Park, IA","Johnston, IA",0,1,0,0,0,1,1,0,0,1,2005
29862,"Lake Park, IA","Lakeside, IA",1,0,0,0,1,0,1,0,0,1,2005
29888,"Lake Park, IA","Whittemore, IA",0,1,0,1,0,0,0,0,1,1,2005
