,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
32596,"Long Grove, IA","Davenport, IA",181,416,86,123,427,133,199,231,253,683,2005
32603,"Long Grove, IA","Eldridge, IA",143,335,88,142,292,132,241,196,129,566,2005
32586,"Long Grove, IA","Bettendorf, IA",92,169,29,24,197,69,100,108,82,290,2005
32597,"Long Grove, IA","De Witt, IA",24,68,14,45,46,15,22,44,40,106,2005
32632,"Long Grove, IA","Panorama Park, IA",7,57,15,54,20,5,9,14,56,79,2005
32622,"Long Grove, IA","Long Grove, IA",30,27,7,8,25,31,45,15,4,64,2005
32635,"Long Grove, IA","Riverdale, IA",9,25,9,15,25,3,3,19,21,43,2005
32590,"Long Grove, IA","Cedar Rapids, IA",15,17,3,1,18,16,18,12,5,35,2005
32627,"Long Grove, IA","Muscatine, IA",10,18,4,9,17,6,9,13,10,32,2005
32599,"Long Grove, IA","Des Moines, IA",8,23,1,1,20,11,12,7,13,32,2005
32591,"Long Grove, IA","Clive, IA",7,23,1,0,22,9,15,8,8,31,2005
32614,"Long Grove, IA","Iowa City, IA",11,9,3,0,18,5,12,5,6,23,2005
32612,"Long Grove, IA","Hiawatha, IA",6,11,0,1,7,9,6,8,3,17,2005
32601,"Long Grove, IA","Dubuque, IA",7,6,3,1,8,7,6,8,2,16,2005
32643,"Long Grove, IA","Urbandale, IA",7,7,0,0,11,3,6,3,5,14,2005
32600,"Long Grove, IA","Dixon, IA",2,9,3,1,12,1,3,9,2,14,2005
32587,"Long Grove, IA","Blue Grass, IA",6,5,2,8,3,2,4,6,3,13,2005
32588,"Long Grove, IA","Buffalo, IA",5,7,0,8,2,2,0,6,6,12,2005
32642,"Long Grove, IA","University Heights, IA",4,4,2,0,9,1,5,3,2,10,2005
32580,"Long Grove, IA","Ames, IA",3,5,1,0,5,4,4,1,4,9,2005
32646,"Long Grove, IA","Waukee, IA",2,5,2,0,9,0,2,3,4,9,2005
32644,"Long Grove, IA","Walcott, IA",4,4,0,1,3,4,6,1,1,8,2005
32623,"Long Grove, IA","Low Moor, IA",1,6,1,3,5,0,4,2,2,8,2005
32634,"Long Grove, IA","Princeton, IA",2,5,1,3,5,0,4,1,3,8,2005
32593,"Long Grove, IA","Coralville, IA",6,2,0,0,3,5,7,0,1,8,2005
32579,"Long Grove, IA","Altoona, IA",2,5,0,0,2,5,5,0,2,7,2005
32605,"Long Grove, IA","Fairfax, IA",2,4,0,1,1,4,3,2,1,6,2005
32589,"Long Grove, IA","Camanche, IA",4,2,0,4,0,2,2,1,3,6,2005
32582,"Long Grove, IA","Asbury, IA",2,1,2,0,1,4,3,2,0,5,2005
32626,"Long Grove, IA","Mount Pleasant, IA",3,2,0,3,0,2,1,3,1,5,2005
32641,"Long Grove, IA","Tiffin, IA",1,4,0,0,2,3,1,1,3,5,2005
32640,"Long Grove, IA","Sioux City, IA",1,3,0,3,0,1,1,1,2,4,2005
32631,"Long Grove, IA","Ottumwa, IA",2,2,0,1,1,2,3,0,1,4,2005
32581,"Long Grove, IA","Ankeny, IA",0,3,1,0,0,4,0,2,2,4,2005
32637,"Long Grove, IA","Robins, IA",4,0,0,0,2,2,4,0,0,4,2005
32620,"Long Grove, IA","Le Claire, IA",1,1,2,3,1,0,3,0,1,4,2005
32653,"Long Grove, IA","Windsor Heights, IA",2,0,2,0,2,2,3,0,1,4,2005
32648,"Long Grove, IA","West Des Moines, IA",0,4,0,1,1,2,1,0,3,4,2005
32650,"Long Grove, IA","Wheatland, IA",2,1,0,0,3,0,0,3,0,3,2005
32606,"Long Grove, IA","Fort Dodge, IA",2,1,0,0,2,1,1,2,0,3,2005
32651,"Long Grove, IA","Williamsburg, IA",0,3,0,0,1,2,2,0,1,3,2005
32649,"Long Grove, IA","West Liberty, IA",0,3,0,3,0,0,0,3,0,3,2005
32645,"Long Grove, IA","Washington, IA",1,0,1,0,0,2,1,1,0,2,2005
32617,"Long Grove, IA","Keokuk, IA",1,0,1,0,0,2,2,0,0,2,2005
32613,"Long Grove, IA","Indianola, IA",0,2,0,0,2,0,0,1,1,2,2005
32607,"Long Grove, IA","Glenwood, IA",2,0,0,0,2,0,2,0,0,2,2005
32585,"Long Grove, IA","Bennett, IA",1,1,0,1,0,1,1,1,0,2,2005
32647,"Long Grove, IA","West Branch, IA",0,2,0,0,2,0,2,0,0,2,2005
32610,"Long Grove, IA","Grimes, IA",1,1,0,2,0,0,0,1,1,2,2005
32652,"Long Grove, IA","Wilton, IA",0,2,0,0,2,0,1,1,0,2,2005
32608,"Long Grove, IA","Grand Mound, IA",0,1,1,0,1,1,0,1,1,2,2005
32638,"Long Grove, IA","Shueyville, IA",0,1,0,0,0,1,1,0,0,1,2005
32636,"Long Grove, IA","Riverside, IA",1,0,0,0,1,0,1,0,0,1,2005
32639,"Long Grove, IA","Sigourney, IA",0,1,0,0,0,1,1,0,0,1,2005
32633,"Long Grove, IA","Peosta, IA",0,0,1,0,1,0,1,0,0,1,2005
32578,"Long Grove, IA","Algona, IA",0,1,0,0,1,0,1,0,0,1,2005
32630,"Long Grove, IA","Osage, IA",0,1,0,0,1,0,0,1,0,1,2005
32629,"Long Grove, IA","North Liberty, IA",0,0,1,0,0,1,0,0,1,1,2005
32583,"Long Grove, IA","Baldwin, IA",0,0,1,0,0,1,0,1,0,1,2005
32584,"Long Grove, IA","Bellevue, IA",0,1,0,0,1,0,1,0,0,1,2005
32592,"Long Grove, IA","Columbus Junction, IA",0,0,1,1,0,0,0,1,0,1,2005
32594,"Long Grove, IA","Council Bluffs, IA",0,0,1,0,1,0,0,1,0,1,2005
32595,"Long Grove, IA","Cresco, IA",0,1,0,0,0,1,1,0,0,1,2005
32598,"Long Grove, IA","Decorah, IA",0,0,1,0,1,0,1,0,0,1,2005
32602,"Long Grove, IA","Dyersville, IA",0,1,0,0,1,0,1,0,0,1,2005
32604,"Long Grove, IA","Ely, IA",0,1,0,0,1,0,0,0,1,1,2005
32609,"Long Grove, IA","Grandview, IA",1,0,0,0,1,0,0,1,0,1,2005
32611,"Long Grove, IA","Grinnell, IA",1,0,0,0,1,0,1,0,0,1,2005
32615,"Long Grove, IA","Iowa Falls, IA",1,0,0,0,0,1,1,0,0,1,2005
32618,"Long Grove, IA","Keosauqua, IA",0,0,1,0,1,0,0,1,0,1,2005
32619,"Long Grove, IA","Knoxville, IA",1,0,0,0,1,0,1,0,0,1,2005
32621,"Long Grove, IA","Lone Tree, IA",0,1,0,0,0,1,0,0,1,1,2005
32624,"Long Grove, IA","Maquoketa, IA",1,0,0,0,1,0,1,0,0,1,2005
32625,"Long Grove, IA","Marion, IA",0,0,1,0,1,0,1,0,0,1,2005
32628,"Long Grove, IA","Nevada, IA",0,1,0,0,0,1,0,1,0,1,2005
32616,"Long Grove, IA","Johnston, IA",0,1,0,0,0,1,0,1,0,1,2005
