,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39083,"Mystic, IA","Centerville, IA",18,69,17,52,37,15,16,55,33,104,2005
39116,"Mystic, IA","Rathbun, IA",9,13,7,2,24,3,11,11,7,29,2005
39113,"Mystic, IA","Ottumwa, IA",4,5,7,5,9,2,8,5,3,16,2005
39073,"Mystic, IA","Albia, IA",4,6,1,3,8,0,3,6,2,11,2005
39114,"Mystic, IA","Plano, IA",2,6,3,3,3,5,1,8,2,11,2005
39093,"Mystic, IA","Des Moines, IA",2,4,2,2,6,0,2,2,4,8,2005
39084,"Mystic, IA","Chariton, IA",1,5,1,0,5,2,4,2,1,7,2005
39088,"Mystic, IA","Corydon, IA",1,5,0,3,2,1,0,6,0,6,2005
39109,"Mystic, IA","Moulton, IA",2,2,1,0,5,0,3,2,0,5,2005
39107,"Mystic, IA","Melcher-Dallas, IA",1,4,0,4,1,0,0,2,3,5,2005
39112,"Mystic, IA","Oskaloosa, IA",2,1,1,2,1,1,2,0,2,4,2005
39100,"Mystic, IA","Harvey, IA",0,3,1,4,0,0,0,2,2,4,2005
39111,"Mystic, IA","Mystic, IA",1,2,0,0,1,2,0,1,2,3,2005
39080,"Mystic, IA","Burlington, IA",2,1,0,0,2,1,3,0,0,3,2005
39086,"Mystic, IA","Clio, IA",1,2,0,2,1,0,1,2,0,3,2005
39110,"Mystic, IA","Mount Pleasant, IA",1,2,0,1,1,1,1,0,2,3,2005
39094,"Mystic, IA","Exline, IA",1,0,1,0,2,0,2,0,0,2,2005
39076,"Mystic, IA","Ankeny, IA",2,0,0,0,0,2,1,1,0,2,2005
39074,"Mystic, IA","Ames, IA",0,1,1,1,0,1,1,0,1,2,2005
39099,"Mystic, IA","Garwin, IA",0,0,2,0,1,1,2,0,0,2,2005
39096,"Mystic, IA","Fairfield, IA",2,0,0,2,0,0,2,0,0,2,2005
39127,"Mystic, IA","Windsor Heights, IA",1,0,1,0,2,0,1,1,0,2,2005
39122,"Mystic, IA","Unionville, IA",0,2,0,1,1,0,1,1,0,2,2005
39119,"Mystic, IA","Salem, IA",0,0,1,0,0,1,0,0,1,1,2005
39120,"Mystic, IA","Sergeant Bluff, IA",0,1,0,0,0,1,0,1,0,1,2005
39121,"Mystic, IA","Stanhope, IA",0,1,0,0,0,1,0,1,0,1,2005
39117,"Mystic, IA","Red Oak, IA",1,0,0,0,1,0,1,0,0,1,2005
39123,"Mystic, IA","University Park, IA",1,0,0,0,1,0,0,1,0,1,2005
39075,"Mystic, IA","Anita, IA",0,0,1,0,1,0,1,0,0,1,2005
39115,"Mystic, IA","Pleasant Hill, IA",0,0,1,0,0,1,0,1,0,1,2005
39124,"Mystic, IA","Van Meter, IA",0,1,0,0,0,1,0,1,0,1,2005
39077,"Mystic, IA","Bettendorf, IA",0,0,1,0,1,0,0,1,0,1,2005
39078,"Mystic, IA","Birmingham, IA",0,0,1,1,0,0,0,1,0,1,2005
39125,"Mystic, IA","Washington, IA",0,1,0,0,0,1,0,0,1,1,2005
39126,"Mystic, IA","Waukee, IA",0,1,0,0,0,1,0,1,0,1,2005
39118,"Mystic, IA","Runnells, IA",0,1,0,1,0,0,0,0,1,1,2005
39085,"Mystic, IA","Cincinnati, IA",0,0,1,0,1,0,1,0,0,1,2005
39079,"Mystic, IA","Bloomfield, IA",1,0,0,0,1,0,0,1,0,1,2005
39108,"Mystic, IA","Mitchellville, IA",0,1,0,1,0,0,0,0,1,1,2005
39087,"Mystic, IA","Coralville, IA",1,0,0,0,0,1,1,0,0,1,2005
39082,"Mystic, IA","Cedar Rapids, IA",0,1,0,0,1,0,0,0,1,1,2005
39089,"Mystic, IA","Council Bluffs, IA",0,1,0,1,0,0,0,1,0,1,2005
39090,"Mystic, IA","Creston, IA",0,1,0,0,0,1,0,1,0,1,2005
39091,"Mystic, IA","Danville, IA",1,0,0,1,0,0,1,0,0,1,2005
39092,"Mystic, IA","Davenport, IA",0,1,0,0,1,0,0,1,0,1,2005
39081,"Mystic, IA","Bussey, IA",0,1,0,1,0,0,0,0,1,1,2005
39095,"Mystic, IA","Fairfax, IA",0,1,0,0,0,1,0,0,1,1,2005
39097,"Mystic, IA","Farragut, IA",0,1,0,1,0,0,0,0,1,1,2005
39098,"Mystic, IA","Fonda, IA",1,0,0,0,1,0,0,1,0,1,2005
39101,"Mystic, IA","Iowa City, IA",1,0,0,0,1,0,1,0,0,1,2005
39102,"Mystic, IA","Keosauqua, IA",1,0,0,1,0,0,0,1,0,1,2005
39103,"Mystic, IA","Knoxville, IA",0,1,0,0,1,0,0,0,1,1,2005
39104,"Mystic, IA","Lynnville, IA",0,1,0,0,0,1,0,1,0,1,2005
39105,"Mystic, IA","Marble Rock, IA",0,1,0,1,0,0,0,1,0,1,2005
39106,"Mystic, IA","Marshalltown, IA",0,0,1,0,1,0,1,0,0,1,2005
