,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
44364,"Pella, IA","Pella, IA",626,1133,506,249,1738,278,988,796,481,2265,2005
44346,"Pella, IA","Melcher-Dallas, IA",185,531,101,781,28,8,37,405,375,817,2005
44320,"Pella, IA","Harvey, IA",128,446,130,589,32,83,79,225,400,704,2005
44300,"Pella, IA","Des Moines, IA",75,106,20,21,160,20,59,75,67,201,2005
44332,"Pella, IA","Knoxville, IA",30,76,16,44,49,29,40,47,35,122,2005
44361,"Pella, IA","Oskaloosa, IA",17,39,8,16,41,7,21,22,21,64,2005
44368,"Pella, IA","Pleasantville, IA",20,29,10,5,38,16,28,27,4,59,2005
44357,"Pella, IA","Newton, IA",11,33,13,20,20,17,12,16,29,57,2005
44398,"Pella, IA","Waterloo, IA",29,17,5,4,6,41,27,15,9,51,2005
44288,"Pella, IA","Clive, IA",26,21,3,0,39,11,16,23,11,50,2005
44266,"Pella, IA","Ankeny, IA",11,34,0,5,25,15,20,10,15,45,2005
44356,"Pella, IA","New Sharon, IA",13,20,12,12,17,16,13,22,10,45,2005
44395,"Pella, IA","University Park, IA",11,28,5,5,24,15,11,25,8,44,2005
44340,"Pella, IA","Lynnville, IA",12,12,12,5,21,10,12,14,10,36,2005
44396,"Pella, IA","Urbandale, IA",12,17,2,2,22,7,8,14,9,31,2005
44281,"Pella, IA","Cedar Falls, IA",16,15,0,0,5,26,9,10,12,31,2005
44265,"Pella, IA","Ames, IA",11,16,1,5,6,17,11,6,11,28,2005
44282,"Pella, IA","Cedar Rapids, IA",8,18,2,4,10,14,5,13,10,28,2005
44344,"Pella, IA","Mason City, IA",17,7,0,1,1,22,10,8,6,24,2005
44263,"Pella, IA","Allison, IA",9,8,6,0,23,0,6,6,11,23,2005
44324,"Pella, IA","Iowa City, IA",11,8,3,0,17,5,14,5,3,22,2005
44323,"Pella, IA","Indianola, IA",7,12,2,0,16,5,9,9,3,21,2005
44293,"Pella, IA","Council Bluffs, IA",7,13,1,3,7,11,3,10,8,21,2005
44297,"Pella, IA","Davenport, IA",10,8,2,0,12,8,8,9,3,20,2005
44350,"Pella, IA","Monroe, IA",3,12,3,3,3,12,2,8,8,18,2005
