,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
48724,"Rockford, IA","Mason City, IA",59,168,22,61,140,48,59,139,51,249,2005
48744,"Rockford, IA","Rockwell, IA",9,23,12,0,38,6,20,17,7,44,2005
48683,"Rockford, IA","Charles City, IA",14,23,2,8,24,7,13,20,6,39,2005
48752,"Rockford, IA","Thornton, IA",9,14,9,1,25,6,18,13,1,32,2005
48729,"Rockford, IA","Nora Springs, IA",10,12,8,8,20,2,14,9,7,30,2005
48686,"Rockford, IA","Clear Lake, IA",7,15,7,12,15,2,11,16,2,29,2005
48722,"Rockford, IA","Marble Rock, IA",6,16,4,17,9,0,6,10,10,26,2005
48743,"Rockford, IA","Rockford, IA",5,11,9,7,15,3,8,14,3,25,2005
48676,"Rockford, IA","Belmond, IA",0,15,8,14,6,3,6,12,5,23,2005
48746,"Rockford, IA","Sheffield, IA",3,16,4,12,11,0,3,14,6,23,2005
48727,"Rockford, IA","Nashua, IA",4,12,3,8,5,6,10,8,1,19,2005
48693,"Rockford, IA","Crystal Lake, IA",6,9,2,17,0,0,1,13,3,17,2005
48696,"Rockford, IA","Des Moines, IA",1,11,3,0,12,3,2,7,6,15,2005
48706,"Rockford, IA","Garner, IA",3,4,5,10,2,0,2,9,1,12,2005
48710,"Rockford, IA","Hampton, IA",3,5,2,4,5,1,3,5,2,10,2005
48704,"Rockford, IA","Fort Dodge, IA",1,6,1,3,4,1,4,1,3,8,2005
48703,"Rockford, IA","Floyd, IA",2,5,0,1,6,0,0,7,0,7,2005
48668,"Rockford, IA","Allison, IA",2,3,2,0,7,0,3,3,1,7,2005
48666,"Rockford, IA","Alden, IA",3,4,0,7,0,0,2,4,1,7,2005
48688,"Rockford, IA","Clive, IA",3,3,0,0,5,1,2,3,1,6,2005
48728,"Rockford, IA","New Hampton, IA",1,5,0,3,0,3,0,4,2,6,2005
48713,"Rockford, IA","Iowa City, IA",1,4,1,4,1,1,2,1,3,6,2005
48682,"Rockford, IA","Cedar Rapids, IA",2,4,0,1,4,1,5,1,0,6,2005
48670,"Rockford, IA","Ames, IA",3,2,0,0,5,0,2,1,2,5,2005
48694,"Rockford, IA","Davenport, IA",2,2,1,2,3,0,2,2,1,5,2005
48711,"Rockford, IA","Hiawatha, IA",2,3,0,1,4,0,2,2,1,5,2005
48671,"Rockford, IA","Ankeny, IA",0,4,1,0,0,5,0,3,2,5,2005
48732,"Rockford, IA","Osage, IA",3,1,1,2,2,1,1,4,0,5,2005
48756,"Rockford, IA","Waverly, IA",1,3,1,3,2,0,1,3,1,5,2005
48714,"Rockford, IA","Iowa Falls, IA",2,1,1,0,1,3,0,3,1,4,2005
48685,"Rockford, IA","Clarksville, IA",0,1,2,1,1,1,1,2,0,3,2005
48753,"Rockford, IA","Urbandale, IA",1,2,0,1,1,1,2,0,1,3,2005
48730,"Rockford, IA","Northwood, IA",0,3,0,3,0,0,0,3,0,3,2005
48700,"Rockford, IA","Emmetsburg, IA",1,2,0,0,0,3,3,0,0,3,2005
48719,"Rockford, IA","Lake Mills, IA",0,1,2,1,0,2,0,2,1,3,2005
48709,"Rockford, IA","Greene, IA",0,0,3,0,1,2,2,1,0,3,2005
48705,"Rockford, IA","Fredericksburg, IA",0,3,0,0,3,0,3,0,0,3,2005
48677,"Rockford, IA","Bettendorf, IA",3,0,0,0,1,2,1,2,0,3,2005
48723,"Rockford, IA","Marshalltown, IA",1,1,0,0,1,1,1,1,0,2,2005
48689,"Rockford, IA","Colwell, IA",0,0,2,0,1,1,2,0,0,2,2005
48725,"Rockford, IA","McIntire, IA",1,1,0,2,0,0,0,2,0,2,2005
48736,"Rockford, IA","Plainfield, IA",0,1,1,0,2,0,1,1,0,2,2005
48731,"Rockford, IA","Oelwein, IA",0,1,1,0,2,0,0,2,0,2,2005
48735,"Rockford, IA","Parkersburg, IA",1,0,1,0,2,0,1,1,0,2,2005
48717,"Rockford, IA","Johnston, IA",0,2,0,0,0,2,0,0,2,2,2005
48672,"Rockford, IA","Aredale, IA",0,1,1,2,0,0,0,2,0,2,2005
48745,"Rockford, IA","Sac City, IA",2,0,0,0,2,0,2,0,0,2,2005
48748,"Rockford, IA","Sioux City, IA",1,0,1,1,0,1,1,0,1,2,2005
48754,"Rockford, IA","Waterloo, IA",0,2,0,2,0,0,0,2,0,2,2005
48757,"Rockford, IA","West Des Moines, IA",0,1,1,0,2,0,2,0,0,2,2005
48718,"Rockford, IA","Knoxville, IA",0,1,1,2,0,0,0,1,1,2,2005
48759,"Rockford, IA","Windsor Heights, IA",2,0,0,0,1,1,2,0,0,2,2005
48716,"Rockford, IA","Jefferson, IA",2,0,0,0,1,1,2,0,0,2,2005
48690,"Rockford, IA","Corwith, IA",0,2,0,2,0,0,0,2,0,2,2005
48691,"Rockford, IA","Council Bluffs, IA",1,1,0,2,0,0,0,2,0,2,2005
48667,"Rockford, IA","Algona, IA",1,1,0,0,1,1,1,0,1,2,2005
48712,"Rockford, IA","Ionia, IA",0,2,0,0,2,0,2,0,0,2,2005
48702,"Rockford, IA","Fairfax, IA",0,2,0,1,0,1,0,2,0,2,2005
48695,"Rockford, IA","Decorah, IA",2,0,0,0,2,0,2,0,0,2,2005
48684,"Rockford, IA","Clarion, IA",0,1,0,0,1,0,0,1,0,1,2005
48701,"Rockford, IA","Estherville, IA",1,0,0,0,1,0,1,0,0,1,2005
