,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
49598,"Sabula, IA","Preston, IA",29,76,33,25,78,35,64,49,25,138,2005
49560,"Sabula, IA","Clinton, IA",30,56,11,32,56,9,17,58,22,97,2005
49584,"Sabula, IA","Maquoketa, IA",18,36,14,19,40,9,29,34,5,68,2005
49603,"Sabula, IA","Sabula, IA",4,26,13,3,34,6,26,13,4,43,2005
49583,"Sabula, IA","Low Moor, IA",15,13,5,14,13,6,13,10,10,33,2005
49563,"Sabula, IA","Davenport, IA",7,25,1,14,15,4,8,9,16,33,2005
49556,"Sabula, IA","Camanche, IA",5,23,4,19,8,5,3,7,22,32,2005
49564,"Sabula, IA","De Witt, IA",7,18,0,18,6,1,3,13,9,25,2005
49552,"Sabula, IA","Bellevue, IA",4,8,2,9,3,2,5,9,0,14,2005
49608,"Sabula, IA","Waterloo, IA",1,8,2,3,8,0,2,6,3,11,2005
49566,"Sabula, IA","Dubuque, IA",4,7,0,2,8,1,4,3,4,11,2005
49604,"Sabula, IA","Springbrook, IA",5,4,1,0,2,8,2,8,0,10,2005
49558,"Sabula, IA","Cedar Rapids, IA",1,6,2,4,3,2,1,5,3,9,2005
49565,"Sabula, IA","Des Moines, IA",1,6,2,0,3,6,1,3,5,9,2005
49549,"Sabula, IA","Asbury, IA",2,4,2,0,4,4,3,2,3,8,2005
49554,"Sabula, IA","Bettendorf, IA",4,3,0,1,5,1,5,1,1,7,2005
49557,"Sabula, IA","Cedar Falls, IA",1,6,0,1,6,0,0,4,3,7,2005
49546,"Sabula, IA","Andover, IA",3,3,0,6,0,0,3,3,0,6,2005
49575,"Sabula, IA","Hiawatha, IA",1,2,2,2,0,3,3,2,0,5,2005
49576,"Sabula, IA","Independence, IA",1,4,0,3,2,0,2,1,2,5,2005
49577,"Sabula, IA","Iowa City, IA",2,1,1,0,3,1,3,1,0,4,2005
49550,"Sabula, IA","Baldwin, IA",1,1,2,1,2,1,2,1,1,4,2005
49586,"Sabula, IA","Mason City, IA",1,1,1,0,3,0,2,0,1,3,2005
