,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55297,"Titonka, IA","Algona, IA",15,61,20,21,58,17,26,47,23,96,2005
55310,"Titonka, IA","Crystal Lake, IA",4,14,4,16,3,3,4,16,2,22,2005
55356,"Titonka, IA","Woden, IA",3,8,9,0,16,4,11,7,2,20,2005
55303,"Titonka, IA","Britt, IA",7,10,0,4,9,4,8,5,4,17,2005
55329,"Titonka, IA","Livermore, IA",4,3,3,0,5,5,4,5,1,10,2005
55348,"Titonka, IA","Titonka, IA",2,4,4,1,2,7,8,1,1,10,2005
55319,"Titonka, IA","Fort Dodge, IA",5,3,1,1,2,6,2,5,2,9,2005
55308,"Titonka, IA","Corwith, IA",1,5,2,4,2,2,2,5,1,8,2005
55313,"Titonka, IA","Des Moines, IA",0,4,3,1,6,0,2,4,1,7,2005
55345,"Titonka, IA","Swea City, IA",1,4,1,1,5,0,3,3,0,6,2005
55332,"Titonka, IA","Mason City, IA",2,3,1,0,5,1,1,3,2,6,2005
55307,"Titonka, IA","Clive, IA",2,3,0,0,3,2,3,0,2,5,2005
55320,"Titonka, IA","Garner, IA",1,4,0,5,0,0,0,5,0,5,2005
55354,"Titonka, IA","Whittemore, IA",1,4,0,3,0,2,4,1,0,5,2005
55301,"Titonka, IA","Belmond, IA",2,0,3,2,2,1,2,1,2,5,2005
55317,"Titonka, IA","Fenton, IA",1,3,0,0,3,1,1,1,2,4,2005
55298,"Titonka, IA","Ames, IA",1,3,0,0,2,2,0,2,2,4,2005
55324,"Titonka, IA","Humboldt, IA",1,2,1,1,3,0,1,3,0,4,2005
55321,"Titonka, IA","Goldfield, IA",0,4,0,1,1,2,3,1,0,4,2005
55325,"Titonka, IA","Iowa City, IA",1,2,1,2,2,0,2,1,1,4,2005
55343,"Titonka, IA","Spirit Lake, IA",0,3,1,0,0,4,0,4,0,4,2005
55304,"Titonka, IA","Buffalo Center, IA",1,3,0,0,4,0,1,1,2,4,2005
55300,"Titonka, IA","Bancroft, IA",0,4,0,0,4,0,3,0,1,4,2005
55306,"Titonka, IA","Cedar Rapids, IA",1,1,1,0,2,1,2,1,0,3,2005
55311,"Titonka, IA","Dakota City, IA",0,3,0,3,0,0,1,2,0,3,2005
55331,"Titonka, IA","Marshalltown, IA",1,1,0,0,1,1,0,1,1,2,2005
55330,"Titonka, IA","Lone Rock, IA",0,1,1,0,1,1,1,0,1,2,2005
55336,"Titonka, IA","Oelwein, IA",1,1,0,0,2,0,1,0,1,2,2005
55342,"Titonka, IA","Spencer, IA",2,0,0,0,0,2,2,0,0,2,2005
55318,"Titonka, IA","Forest City, IA",1,0,1,0,2,0,2,0,0,2,2005
55322,"Titonka, IA","Graettinger, IA",1,0,1,1,1,0,0,1,1,2,2005
55352,"Titonka, IA","West Bend, IA",0,0,2,0,0,2,2,0,0,2,2005
55312,"Titonka, IA","Davenport, IA",1,1,0,2,0,0,0,0,2,2,2005
55353,"Titonka, IA","West Des Moines, IA",0,1,1,0,2,0,0,1,1,2,2005
55349,"Titonka, IA","University Heights, IA",1,0,0,0,1,0,1,0,0,1,2005
55347,"Titonka, IA","Thompson, IA",0,1,0,0,1,0,0,1,0,1,2005
55340,"Titonka, IA","Sanborn, IA",0,1,0,1,0,0,0,1,0,1,2005
55350,"Titonka, IA","Urbandale, IA",0,0,1,0,0,1,0,0,1,1,2005
55351,"Titonka, IA","Wall Lake, IA",1,0,0,0,0,1,0,1,0,1,2005
55346,"Titonka, IA","Tennant, IA",0,0,1,0,1,0,0,1,0,1,2005
55344,"Titonka, IA","Storm Lake, IA",0,1,0,1,0,0,0,0,1,1,2005
55355,"Titonka, IA","Williamsburg, IA",0,1,0,0,0,1,1,0,0,1,2005
55341,"Titonka, IA","Sioux City, IA",0,1,0,0,0,1,1,0,0,1,2005
55327,"Titonka, IA","Lake Mills, IA",0,1,0,0,1,0,0,1,0,1,2005
55339,"Titonka, IA","Readlyn, IA",0,1,0,0,0,1,0,0,1,1,2005
55316,"Titonka, IA","Fayette, IA",0,0,1,1,0,0,0,1,0,1,2005
55299,"Titonka, IA","Ankeny, IA",0,0,1,0,0,1,0,1,0,1,2005
55302,"Titonka, IA","Blue Grass, IA",0,1,0,1,0,0,0,0,1,1,2005
55305,"Titonka, IA","Castalia, IA",1,0,0,1,0,0,0,1,0,1,2005
55309,"Titonka, IA","Council Bluffs, IA",0,1,0,0,0,1,0,1,0,1,2005
55314,"Titonka, IA","Eldon, IA",0,0,1,0,1,0,0,1,0,1,2005
55315,"Titonka, IA","Emmetsburg, IA",0,1,0,0,1,0,0,1,0,1,2005
55323,"Titonka, IA","Hampton, IA",1,0,0,1,0,0,0,1,0,1,2005
55338,"Titonka, IA","Rake, IA",0,1,0,0,1,0,0,1,0,1,2005
55326,"Titonka, IA","Iowa Falls, IA",1,0,0,0,0,1,1,0,0,1,2005
55328,"Titonka, IA","Ledyard, IA",0,0,1,0,1,0,0,0,1,1,2005
55333,"Titonka, IA","Morrison, IA",1,0,0,0,0,1,1,0,0,1,2005
55334,"Titonka, IA","Mount Pleasant, IA",0,1,0,0,0,1,0,0,1,1,2005
55335,"Titonka, IA","Newell, IA",0,1,0,0,0,1,0,1,0,1,2005
55337,"Titonka, IA","Ottosen, IA",0,1,0,0,0,1,0,1,0,1,2005
55357,"Titonka, IA","Woolstock, IA",0,1,0,0,0,1,1,0,0,1,2005
