,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
58143,"Waterloo, IA","Waterloo, IA",3449,6840,2130,2211,8430,1778,4000,5571,2848,12419,2005
57932,"Waterloo, IA","Cedar Falls, IA",1204,2273,652,838,2535,756,1348,1731,1050,4129,2005
57973,"Waterloo, IA","Elk Run Heights, IA",474,1454,267,1957,169,69,273,1327,595,2195,2005
57979,"Waterloo, IA","Evansdale, IA",603,953,226,467,943,372,501,1085,196,1782,2005
57956,"Waterloo, IA","Des Moines, IA",161,363,67,17,462,112,163,247,181,591,2005
57933,"Waterloo, IA","Cedar Rapids, IA",188,252,50,54,254,182,191,168,131,490,2005
58145,"Waterloo, IA","Waverly, IA",90,175,36,79,166,56,80,135,86,301,2005
57938,"Waterloo, IA","Clive, IA",127,122,28,2,150,125,139,81,57,277,2005
57903,"Waterloo, IA","Ankeny, IA",70,116,21,95,41,71,49,55,103,207,2005
58006,"Waterloo, IA","Hiawatha, IA",92,86,14,17,114,61,90,62,40,192,2005
57960,"Waterloo, IA","Dubuque, IA",69,77,16,12,82,68,87,51,24,162,2005
57901,"Waterloo, IA","Ames, IA",81,63,16,14,69,77,78,52,30,160,2005
58048,"Waterloo, IA","Marshalltown, IA",74,57,23,19,74,61,67,68,19,154,2005
58095,"Waterloo, IA","Raymond, IA",57,66,18,34,60,47,56,66,19,141,2005
58013,"Waterloo, IA","Iowa City, IA",86,40,14,3,89,48,88,38,14,140,2005
57955,"Waterloo, IA","Denver, IA",31,91,17,75,48,16,35,81,23,139,2005
58135,"Waterloo, IA","Urbandale, IA",56,59,16,3,81,47,64,40,27,131,2005
57940,"Waterloo, IA","Columbus Junction, IA",54,69,3,122,4,0,30,92,4,126,2005
58156,"Waterloo, IA","Windsor Heights, IA",61,50,12,2,66,55,64,49,10,123,2005
58017,"Waterloo, IA","Jesup, IA",38,56,3,72,16,9,10,67,20,97,2005
58151,"Waterloo, IA","West Des Moines, IA",51,41,5,2,54,41,45,32,20,97,2005
57950,"Waterloo, IA","Davenport, IA",31,45,18,3,67,24,47,28,19,94,2005
