,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59503,"West Burlington, IA","Burlington, IA",264,632,247,356,658,129,384,523,236,1143,2005
59588,"West Burlington, IA","West Burlington, IA",232,529,159,151,543,226,325,367,228,920,2005
59526,"West Burlington, IA","Fort Madison, IA",38,72,28,28,92,18,48,47,43,138,2005
59551,"West Burlington, IA","Mount Pleasant, IA",27,84,22,42,60,31,31,64,38,133,2005
59547,"West Burlington, IA","Middletown, IA",14,41,20,65,6,4,5,55,15,75,2005
59546,"West Burlington, IA","Mediapolis, IA",5,29,11,12,22,11,8,27,10,45,2005
59514,"West Burlington, IA","Davenport, IA",19,19,7,3,16,26,23,14,8,45,2005
59504,"West Burlington, IA","Cedar Rapids, IA",16,20,2,7,18,13,17,16,5,38,2005
59499,"West Burlington, IA","Bettendorf, IA",10,16,11,2,22,13,16,15,6,37,2005
59553,"West Burlington, IA","Muscatine, IA",16,13,7,8,12,16,16,15,5,36,2005
59516,"West Burlington, IA","Des Moines, IA",10,17,7,1,27,6,12,13,9,34,2005
59539,"West Burlington, IA","Keokuk, IA",10,16,5,8,10,13,9,14,8,31,2005
59537,"West Burlington, IA","Iowa City, IA",10,13,3,0,12,14,15,7,4,26,2005
59573,"West Burlington, IA","Sigourney, IA",5,10,1,13,3,0,0,6,10,16,2005
59583,"West Burlington, IA","Wapello, IA",5,7,4,5,9,2,4,8,4,16,2005
59554,"West Burlington, IA","New London, IA",3,9,4,3,12,1,5,7,4,16,2005
59534,"West Burlington, IA","Hiawatha, IA",6,7,1,1,7,6,6,5,3,14,2005
59577,"West Burlington, IA","Tiffin, IA",3,5,6,1,3,10,3,2,9,14,2005
59509,"West Burlington, IA","Coralville, IA",6,3,3,0,5,7,9,0,3,12,2005
59552,"West Burlington, IA","Mount Union, IA",6,2,3,1,2,8,1,9,1,11,2005
59521,"West Burlington, IA","Eldridge, IA",6,5,0,1,3,7,4,2,5,11,2005
59560,"West Burlington, IA","Ottumwa, IA",4,6,1,0,5,6,4,4,3,11,2005
59513,"West Burlington, IA","Danville, IA",2,5,3,0,10,0,3,5,2,10,2005
59580,"West Burlington, IA","University Heights, IA",5,3,1,0,7,2,4,4,1,9,2005
59556,"West Burlington, IA","North Liberty, IA",4,2,2,1,3,4,4,3,1,8,2005
59507,"West Burlington, IA","Clive, IA",3,2,3,1,4,3,2,3,3,8,2005
59593,"West Burlington, IA","Windsor Heights, IA",1,5,1,0,0,7,2,5,0,7,2005
59591,"West Burlington, IA","West Liberty, IA",2,4,0,6,0,0,0,6,0,6,2005
59496,"West Burlington, IA","Ankeny, IA",3,2,1,1,2,3,2,3,1,6,2005
59565,"West Burlington, IA","Pleasant Hill, IA",3,2,1,1,1,4,2,1,3,6,2005
59494,"West Burlington, IA","Ames, IA",2,2,2,1,0,5,4,1,1,6,2005
59523,"West Burlington, IA","Fairfax, IA",1,1,3,0,0,5,3,1,1,5,2005
59497,"West Burlington, IA","Asbury, IA",2,2,1,0,2,3,1,3,1,5,2005
59545,"West Burlington, IA","Marshalltown, IA",2,2,1,1,1,3,2,1,2,5,2005
59562,"West Burlington, IA","Panorama Park, IA",1,1,2,0,4,0,4,0,0,4,2005
59548,"West Burlington, IA","Monticello, IA",0,4,0,4,0,0,0,4,0,4,2005
59532,"West Burlington, IA","Grinnell, IA",1,1,2,0,3,1,2,0,2,4,2005
59581,"West Burlington, IA","Urbandale, IA",2,2,0,0,2,2,1,1,2,4,2005
59568,"West Burlington, IA","Robins, IA",2,1,1,0,3,1,3,1,0,4,2005
59508,"West Burlington, IA","Columbus Junction, IA",0,4,0,3,0,1,0,4,0,4,2005
59505,"West Burlington, IA","Chariton, IA",0,2,2,1,1,2,1,3,0,4,2005
59540,"West Burlington, IA","Knoxville, IA",1,1,1,0,2,1,2,1,0,3,2005
