,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
60898,"Williamsburg, IA","Williamsburg, IA",108,220,71,71,180,148,178,111,110,399,2005
60832,"Williamsburg, IA","Iowa City, IA",24,111,25,33,119,8,18,71,71,160,2005
60860,"Williamsburg, IA","Oxford, IA",41,28,22,5,77,9,55,27,9,91,2005
60879,"Williamsburg, IA","University Heights, IA",14,58,14,0,83,3,7,58,21,86,2005
60800,"Williamsburg, IA","Blairstown, IA",4,66,13,71,10,2,7,38,38,83,2005
60843,"Williamsburg, IA","Marengo, IA",8,42,10,28,29,3,11,35,14,60,2005
60862,"Williamsburg, IA","Parnell, IA",11,31,9,9,37,5,29,13,9,51,2005
60805,"Williamsburg, IA","Cedar Rapids, IA",18,26,1,11,18,16,14,14,17,45,2005
60884,"Williamsburg, IA","Walford, IA",14,19,6,5,26,8,24,14,1,39,2005
60808,"Williamsburg, IA","Coralville, IA",13,12,2,0,21,6,9,16,2,27,2005
60853,"Williamsburg, IA","North Liberty, IA",5,13,1,4,13,2,3,8,8,19,2005
60830,"Williamsburg, IA","Hiawatha, IA",6,9,1,3,8,5,6,7,3,16,2005
60876,"Williamsburg, IA","Tiffin, IA",3,11,1,2,9,4,3,4,8,15,2005
60882,"Williamsburg, IA","Victor, IA",5,9,1,6,9,0,6,3,6,15,2005
60849,"Williamsburg, IA","Muscatine, IA",5,8,1,4,7,3,3,9,2,14,2005
60814,"Williamsburg, IA","Dubuque, IA",4,5,3,3,7,2,5,3,4,12,2005
60852,"Williamsburg, IA","North English, IA",3,7,1,0,9,2,4,5,2,11,2005
60815,"Williamsburg, IA","Eldridge, IA",8,2,1,0,2,9,6,3,2,11,2005
60834,"Williamsburg, IA","Kalona, IA",1,7,3,4,6,1,3,4,4,11,2005
60812,"Williamsburg, IA","Des Moines, IA",8,1,1,1,7,2,2,6,2,10,2005
60887,"Williamsburg, IA","Waterloo, IA",3,4,3,4,4,2,3,6,1,10,2005
60851,"Williamsburg, IA","Newton, IA",0,9,1,4,0,6,2,4,4,10,2005
60807,"Williamsburg, IA","Clive, IA",2,7,0,0,2,7,4,1,4,9,2005
60795,"Williamsburg, IA","Ankeny, IA",3,3,2,0,7,1,4,2,2,8,2005
