,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
60973,"Wilton, IA","Muscatine, IA",161,396,104,203,353,105,197,209,255,661,2005
61013,"Wilton, IA","Wilton, IA",43,169,56,93,159,16,49,131,88,268,2005
60955,"Wilton, IA","Iowa City, IA",37,144,32,42,141,30,46,96,71,213,2005
60928,"Wilton, IA","Davenport, IA",22,73,15,32,60,18,31,42,37,110,2005
61010,"Wilton, IA","West Liberty, IA",24,41,11,32,40,4,18,41,17,76,2005
61000,"Wilton, IA","University Heights, IA",11,30,9,1,46,3,10,18,22,50,2005
61006,"Wilton, IA","West Branch, IA",13,22,8,8,27,8,16,22,5,43,2005
60998,"Wilton, IA","Tipton, IA",8,26,4,6,29,3,8,20,10,38,2005
60917,"Wilton, IA","Cedar Rapids, IA",9,19,6,6,13,15,15,12,7,34,2005
60912,"Wilton, IA","Blue Grass, IA",5,24,1,24,4,2,3,13,14,30,2005
60925,"Wilton, IA","Coralville, IA",10,14,2,3,13,10,5,17,4,26,2005
60962,"Wilton, IA","Lone Tree, IA",5,19,1,0,5,20,3,18,4,25,2005
60944,"Wilton, IA","Fruitland, IA",3,21,1,21,1,3,4,15,6,25,2005
60910,"Wilton, IA","Bennett, IA",7,13,4,5,11,8,8,8,8,24,2005
60911,"Wilton, IA","Bettendorf, IA",8,8,4,2,7,11,7,10,3,20,2005
60975,"Wilton, IA","Nichols, IA",2,15,2,7,5,7,6,6,7,19,2005
60932,"Wilton, IA","Des Moines, IA",3,7,9,2,14,3,9,7,3,19,2005
60935,"Wilton, IA","Durant, IA",6,7,5,2,8,8,13,3,2,18,2005
60997,"Wilton, IA","Tiffin, IA",2,15,1,0,1,17,1,5,12,18,2005
60915,"Wilton, IA","Burlington, IA",5,10,2,1,9,7,8,6,3,17,2005
60936,"Wilton, IA","Eldridge, IA",2,13,2,5,6,6,2,9,6,17,2005
60908,"Wilton, IA","Atalissa, IA",5,9,1,4,7,4,11,2,2,15,2005
61003,"Wilton, IA","Walcott, IA",6,3,5,0,10,4,7,4,3,14,2005
60953,"Wilton, IA","Hiawatha, IA",4,6,2,3,6,3,7,2,3,12,2005
60982,"Wilton, IA","Ottumwa, IA",4,5,3,1,5,6,3,6,3,12,2005
60922,"Wilton, IA","Clive, IA",7,4,0,0,6,5,9,2,0,11,2005
60914,"Wilton, IA","Buffalo, IA",1,7,3,1,4,6,3,2,6,11,2005
60971,"Wilton, IA","Mount Pleasant, IA",2,7,1,2,0,8,0,8,2,10,2005
60968,"Wilton, IA","Marshalltown, IA",3,5,0,2,3,3,1,4,3,8,2005
60933,"Wilton, IA","Dixon, IA",2,3,3,0,0,8,2,5,1,8,2005
60977,"Wilton, IA","North Liberty, IA",2,4,1,4,3,0,0,4,3,7,2005
60937,"Wilton, IA","Elk Run Heights, IA",2,0,3,2,3,0,0,3,2,5,2005
61007,"Wilton, IA","West Burlington, IA",1,0,4,0,3,2,3,2,0,5,2005
61001,"Wilton, IA","Urbandale, IA",2,3,0,0,3,2,3,0,2,5,2005
60956,"Wilton, IA","Keokuk, IA",0,2,2,0,1,3,2,2,0,4,2005
60957,"Wilton, IA","Keota, IA",1,3,0,2,2,0,2,2,0,4,2005
60981,"Wilton, IA","Oskaloosa, IA",0,2,2,2,0,2,2,2,0,4,2005
60921,"Wilton, IA","Clinton, IA",3,1,0,0,1,3,3,0,1,4,2005
61014,"Wilton, IA","Windsor Heights, IA",1,3,0,1,3,0,2,0,2,4,2005
60992,"Wilton, IA","Robins, IA",1,1,1,0,1,2,2,1,0,3,2005
60991,"Wilton, IA","Riverside, IA",1,1,1,1,1,1,1,2,0,3,2005
60990,"Wilton, IA","Riverdale, IA",0,2,1,0,2,1,0,1,2,3,2005
60988,"Wilton, IA","Rathbun, IA",1,1,1,0,0,3,0,2,1,3,2005
60987,"Wilton, IA","Pleasant Hill, IA",0,3,0,0,1,2,1,2,0,3,2005
60985,"Wilton, IA","Pella, IA",2,1,0,0,1,2,2,1,0,3,2005
