,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
14382,"Cushing, IA","Cushing, IA",66,153,43,88,119,55,77,127,58,262,2005
14427,"Cushing, IA","Quimby, IA",52,122,39,76,91,46,76,102,35,213,2005
14434,"Cushing, IA","Sioux City, IA",17,49,11,40,29,8,24,46,7,77,2005
14399,"Cushing, IA","Ida Grove, IA",15,31,14,24,27,9,13,31,16,60,2005
14384,"Cushing, IA","Danbury, IA",12,23,9,23,11,10,10,32,2,44,2005
14371,"Cushing, IA","Arthur, IA",11,24,8,24,15,4,8,33,2,43,2005
14374,"Cushing, IA","Aurelia, IA",15,22,2,18,16,5,16,15,8,39,2005
14379,"Cushing, IA","Cherokee, IA",3,15,6,18,3,3,3,18,3,24,2005
14375,"Cushing, IA","Battle Creek, IA",5,9,0,6,3,5,6,8,0,14,2005
14430,"Cushing, IA","Schaller, IA",5,9,0,11,3,0,3,10,1,14,2005
14413,"Cushing, IA","Marcus, IA",2,11,0,8,2,3,2,8,3,13,2005
14406,"Cushing, IA","Larrabee, IA",3,6,4,9,4,0,2,10,1,13,2005
14424,"Cushing, IA","Pierson, IA",6,5,1,5,5,2,3,8,1,12,2005
14385,"Cushing, IA","Early, IA",2,6,3,10,1,0,1,9,1,11,2005
14429,"Cushing, IA","Sac City, IA",0,10,1,0,10,1,1,3,7,11,2005
14408,"Cushing, IA","Le Mars, IA",3,5,3,2,6,3,4,6,1,11,2005
14419,"Cushing, IA","Newell, IA",0,8,3,6,5,0,3,7,1,11,2005
14438,"Cushing, IA","Storm Lake, IA",1,7,1,7,2,0,2,4,3,9,2005
14416,"Cushing, IA","Meriden, IA",1,7,1,6,2,1,2,6,1,9,2005
14370,"Cushing, IA","Anthon, IA",3,2,3,4,1,3,2,5,1,8,2005
14389,"Cushing, IA","Fort Dodge, IA",1,4,3,4,4,0,2,6,0,8,2005
14432,"Cushing, IA","Sergeant Bluff, IA",0,5,0,3,1,1,2,3,0,5,2005
14407,"Cushing, IA","Lawton, IA",1,3,1,1,3,1,1,4,0,5,2005
14394,"Cushing, IA","Harris, IA",2,2,0,0,3,1,0,2,2,4,2005
14431,"Cushing, IA","Schleswig, IA",2,2,0,4,0,0,0,4,0,4,2005
14444,"Cushing, IA","Yetter, IA",0,4,0,3,1,0,0,3,1,4,2005
14372,"Cushing, IA","Ashton, IA",0,2,2,1,3,0,1,3,0,4,2005
14397,"Cushing, IA","Hinton, IA",3,0,0,1,2,0,1,2,0,3,2005
14418,"Cushing, IA","Moville, IA",0,3,0,0,1,2,0,3,0,3,2005
14388,"Cushing, IA","Forest City, IA",0,1,1,0,2,0,0,2,0,2,2005
14387,"Cushing, IA","Exira, IA",2,0,0,0,2,0,2,0,0,2,2005
14435,"Cushing, IA","Sloan, IA",0,1,1,0,0,2,0,2,0,2,2005
14390,"Cushing, IA","George, IA",0,2,0,1,1,0,0,2,0,2,2005
14368,"Cushing, IA","Akron, IA",0,0,2,0,2,0,2,0,0,2,2005
14436,"Cushing, IA","Soldier, IA",2,0,0,2,0,0,0,2,0,2,2005
14403,"Cushing, IA","Lake View, IA",0,2,0,2,0,0,0,1,1,2,2005
14417,"Cushing, IA","Merrill, IA",0,2,0,0,2,0,1,1,0,2,2005
14401,"Cushing, IA","Kiron, IA",0,1,1,1,0,1,1,1,0,2,2005
14422,"Cushing, IA","Oyens, IA",0,2,0,0,2,0,2,0,0,2,2005
14412,"Cushing, IA","Mapleton, IA",0,2,0,2,0,0,0,2,0,2,2005
14377,"Cushing, IA","Brayton, IA",0,1,0,0,1,0,0,0,1,1,2005
14378,"Cushing, IA","Castana, IA",0,0,1,0,0,1,0,1,0,1,2005
14428,"Cushing, IA","Ruthven, IA",0,1,0,1,0,0,0,0,1,1,2005
14376,"Cushing, IA","Boyden, IA",0,0,1,0,1,0,1,0,0,1,2005
14380,"Cushing, IA","Clive, IA",1,0,0,0,0,1,1,0,0,1,2005
14373,"Cushing, IA","Atlantic, IA",0,0,1,0,1,0,0,0,1,1,2005
14393,"Cushing, IA","Greenville, IA",0,1,0,1,0,0,0,1,0,1,2005
14433,"Cushing, IA","Sibley, IA",0,1,0,0,1,0,0,1,0,1,2005
14425,"Cushing, IA","Pomeroy, IA",0,0,1,1,0,0,0,1,0,1,2005
14437,"Cushing, IA","Stanton, IA",0,1,0,0,1,0,1,0,0,1,2005
14369,"Cushing, IA","Algona, IA",0,1,0,0,1,0,0,1,0,1,2005
14439,"Cushing, IA","Sutherland, IA",1,0,0,1,0,0,1,0,0,1,2005
14440,"Cushing, IA","Thompson, IA",0,1,0,0,1,0,0,1,0,1,2005
14441,"Cushing, IA","Wallingford, IA",0,0,1,0,1,0,0,1,0,1,2005
14442,"Cushing, IA","Webster City, IA",0,1,0,1,0,0,0,1,0,1,2005
14443,"Cushing, IA","Willey, IA",0,0,1,0,1,0,0,1,0,1,2005
14426,"Cushing, IA","Primghar, IA",0,1,0,0,0,1,0,1,0,1,2005
14383,"Cushing, IA","Dakota City, IA",1,0,0,0,1,0,0,0,1,1,2005
14381,"Cushing, IA","Council Bluffs, IA",0,1,0,0,1,0,0,1,0,1,2005
14423,"Cushing, IA","Peterson, IA",1,0,0,1,0,0,0,1,0,1,2005
14395,"Cushing, IA","Havelock, IA",0,0,1,0,1,0,0,1,0,1,2005
14396,"Cushing, IA","Hawarden, IA",1,0,0,0,1,0,0,1,0,1,2005
14398,"Cushing, IA","Humboldt, IA",1,0,0,0,1,0,1,0,0,1,2005
14391,"Cushing, IA","Glidden, IA",0,0,1,0,1,0,0,0,1,1,2005
14400,"Cushing, IA","Kingsley, IA",1,0,0,0,1,0,0,1,0,1,2005
14402,"Cushing, IA","Lake Park, IA",0,1,0,1,0,0,0,1,0,1,2005
14404,"Cushing, IA","Lakeside, IA",0,1,0,1,0,0,0,1,0,1,2005
14405,"Cushing, IA","Lakota, IA",0,1,0,0,1,0,0,1,0,1,2005
14409,"Cushing, IA","Lidderdale, IA",0,1,0,0,1,0,0,0,1,1,2005
14410,"Cushing, IA","Livermore, IA",1,0,0,0,1,0,0,1,0,1,2005
14411,"Cushing, IA","Manson, IA",0,1,0,0,1,0,0,1,0,1,2005
14414,"Cushing, IA","Mason City, IA",1,0,0,0,1,0,1,0,0,1,2005
14415,"Cushing, IA","Melcher-Dallas, IA",1,0,0,0,0,1,1,0,0,1,2005
14386,"Cushing, IA","Estherville, IA",0,1,0,0,1,0,1,0,0,1,2005
14392,"Cushing, IA","Goldfield, IA",0,0,1,0,1,0,0,1,0,1,2005
14420,"Cushing, IA","Nora Springs, IA",0,1,0,0,0,1,0,0,1,1,2005
14421,"Cushing, IA","Northwood, IA",0,1,0,0,0,1,0,0,1,1,2005
14367,"Cushing, IA","Adair, IA",0,1,0,0,0,1,0,0,1,1,2005
