,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
17147,"Diagonal, IA","Diagonal, IA",21,23,6,14,25,11,10,27,13,50,2005
17161,"Diagonal, IA","Mount Ayr, IA",3,25,4,10,22,0,18,5,9,32,2005
17151,"Diagonal, IA","Grand River, IA",12,13,3,10,11,7,12,10,6,28,2005
17144,"Diagonal, IA","Creston, IA",3,9,0,10,2,0,1,7,4,12,2005
17154,"Diagonal, IA","Lamoni, IA",4,8,0,3,6,3,7,5,0,12,2005
17141,"Diagonal, IA","Clearfield, IA",3,4,4,4,6,1,3,7,1,11,2005
17155,"Diagonal, IA","Lenox, IA",3,4,1,2,6,0,4,3,1,8,2005
17139,"Diagonal, IA","Bedford, IA",1,4,0,4,1,0,1,4,0,5,2005
17153,"Diagonal, IA","Kellerton, IA",0,3,1,1,2,1,1,2,1,4,2005
17169,"Diagonal, IA","Redding, IA",1,1,2,0,3,1,3,1,0,4,2005
17159,"Diagonal, IA","Missouri Valley, IA",0,3,0,3,0,0,0,3,0,3,2005
17158,"Diagonal, IA","McClelland, IA",2,0,1,2,1,0,0,2,1,3,2005
17164,"Diagonal, IA","Oskaloosa, IA",0,1,2,1,1,1,2,0,1,3,2005
17172,"Diagonal, IA","Sigourney, IA",1,1,1,1,0,2,2,1,0,3,2005
17145,"Diagonal, IA","Cromwell, IA",1,1,0,1,1,0,0,2,0,2,2005
17156,"Diagonal, IA","Lorimor, IA",0,2,0,2,0,0,0,2,0,2,2005
17170,"Diagonal, IA","Shannon City, IA",0,2,0,1,1,0,0,1,1,2,2005
17152,"Diagonal, IA","Grant, IA",1,1,0,0,1,1,0,1,1,2,2005
17165,"Diagonal, IA","Parkersburg, IA",1,0,0,0,0,1,0,0,1,1,2005
17166,"Diagonal, IA","Pleasant Hill, IA",1,0,0,0,1,0,1,0,0,1,2005
17162,"Diagonal, IA","Murray, IA",0,1,0,1,0,0,0,1,0,1,2005
17168,"Diagonal, IA","Readlyn, IA",1,0,0,0,1,0,0,0,1,1,2005
17171,"Diagonal, IA","Sharpsburg, IA",1,0,0,1,0,0,0,1,0,1,2005
17163,"Diagonal, IA","Newton, IA",0,1,0,0,1,0,0,1,0,1,2005
17167,"Diagonal, IA","Protivin, IA",0,1,0,1,0,0,0,0,1,1,2005
17137,"Diagonal, IA","Afton, IA",0,1,0,1,0,0,0,1,0,1,2005
17160,"Diagonal, IA","Mitchellville, IA",0,0,1,1,0,0,0,1,0,1,2005
17157,"Diagonal, IA","Mason City, IA",0,1,0,1,0,0,1,0,0,1,2005
17138,"Diagonal, IA","Ankeny, IA",1,0,0,1,0,0,0,0,1,1,2005
17150,"Diagonal, IA","Gilbert, IA",1,0,0,1,0,0,1,0,0,1,2005
17149,"Diagonal, IA","Eldon, IA",0,0,1,1,0,0,1,0,0,1,2005
17148,"Diagonal, IA","East Peru, IA",1,0,0,1,0,0,0,0,1,1,2005
17146,"Diagonal, IA","Des Moines, IA",0,0,1,0,0,1,0,1,0,1,2005
17143,"Diagonal, IA","Clive, IA",1,0,0,1,0,0,0,0,1,1,2005
17142,"Diagonal, IA","Clio, IA",0,1,0,1,0,0,0,0,1,1,2005
17140,"Diagonal, IA","Buffalo Center, IA",0,1,0,1,0,0,0,1,0,1,2005
17173,"Diagonal, IA","Windsor Heights, IA",0,1,0,1,0,0,0,0,1,1,2005
