,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
26026,"Hancock, IA","Oakland, IA",8,30,16,6,18,30,14,30,10,54,2005
26008,"Hancock, IA","Hancock, IA",11,23,11,13,14,18,7,26,12,45,2005
26000,"Hancock, IA","Carson, IA",0,7,5,0,7,5,3,5,4,12,2005
26001,"Hancock, IA","Council Bluffs, IA",4,3,4,3,3,5,4,7,0,11,2005
26035,"Hancock, IA","Walnut, IA",0,6,2,0,2,6,1,6,1,8,2005
26017,"Hancock, IA","Lewis, IA",1,2,3,1,4,1,3,2,1,6,2005
25998,"Hancock, IA","Atlantic, IA",1,2,1,2,0,2,0,2,2,4,2005
25999,"Hancock, IA","Avoca, IA",1,2,1,0,2,2,0,2,2,4,2005
26033,"Hancock, IA","Tennant, IA",0,2,1,0,0,3,0,1,2,3,2005
26020,"Hancock, IA","Logan, IA",0,0,3,2,0,1,0,3,0,3,2005
26009,"Hancock, IA","Harlan, IA",0,1,2,0,0,3,0,2,1,3,2005
26014,"Hancock, IA","Kimballton, IA",0,2,0,0,0,2,2,0,0,2,2005
26031,"Hancock, IA","Silver City, IA",0,1,1,0,1,1,2,0,0,2,2005
26030,"Hancock, IA","Shelby, IA",0,2,0,0,1,1,0,2,0,2,2005
26016,"Hancock, IA","Lake View, IA",0,1,1,0,0,2,0,1,1,2,2005
26037,"Hancock, IA","Yetter, IA",0,0,2,0,0,2,0,1,1,2,2005
26006,"Hancock, IA","Elliott, IA",0,2,0,0,0,2,0,2,0,2,2005
26012,"Hancock, IA","Imogene, IA",2,0,0,0,1,1,1,1,0,2,2005
26002,"Hancock, IA","Defiance, IA",0,2,0,0,0,2,1,1,0,2,2005
26007,"Hancock, IA","Grant, IA",0,1,1,0,0,2,0,2,0,2,2005
26004,"Hancock, IA","Des Moines, IA",0,0,2,0,0,2,0,2,0,2,2005
26027,"Hancock, IA","Pacific Junction, IA",0,1,0,0,0,1,0,1,0,1,2005
26036,"Hancock, IA","Wiota, IA",0,1,0,0,0,1,0,1,0,1,2005
26034,"Hancock, IA","Urbandale, IA",0,0,1,0,0,1,0,1,0,1,2005
26003,"Hancock, IA","Denison, IA",0,1,0,0,0,1,0,1,0,1,2005
26032,"Hancock, IA","Spencer, IA",0,1,0,0,0,1,1,0,0,1,2005
26005,"Hancock, IA","Elk Horn, IA",1,0,0,0,1,0,0,1,0,1,2005
26029,"Hancock, IA","Schleswig, IA",0,1,0,0,0,1,0,0,1,1,2005
26028,"Hancock, IA","Riverside, IA",0,0,1,0,0,1,1,0,0,1,2005
26013,"Hancock, IA","Irwin, IA",0,1,0,0,0,1,0,1,0,1,2005
26015,"Hancock, IA","Kirkman, IA",0,1,0,0,0,1,0,0,1,1,2005
26025,"Hancock, IA","Nevada, IA",0,0,1,0,0,1,0,0,1,1,2005
26024,"Hancock, IA","Mitchellville, IA",1,0,0,0,0,1,0,1,0,1,2005
26023,"Hancock, IA","Manning, IA",0,0,1,0,0,1,0,1,0,1,2005
26022,"Hancock, IA","Manilla, IA",1,0,0,0,0,1,0,1,0,1,2005
26021,"Hancock, IA","Macedonia, IA",0,1,0,0,0,1,0,1,0,1,2005
26019,"Hancock, IA","Linden, IA",1,0,0,0,0,1,1,0,0,1,2005
26010,"Hancock, IA","Hartwick, IA",0,0,1,0,0,1,0,1,0,1,2005
26011,"Hancock, IA","Henderson, IA",0,1,0,1,0,0,0,0,1,1,2005
26018,"Hancock, IA","Lidderdale, IA",0,0,1,0,1,0,0,1,0,1,2005
