,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27582,"Houghton, IA","Franklin, IA",11,29,6,4,14,28,13,24,9,46,2005
27585,"Houghton, IA","Houghton, IA",8,24,11,6,13,24,15,20,8,43,2005
27597,"Houghton, IA","St. Paul, IA",8,21,12,8,10,23,10,22,9,41,2005
27581,"Houghton, IA","Fort Madison, IA",7,31,1,7,12,20,11,17,11,39,2005
27577,"Houghton, IA","Donnellson, IA",10,25,0,2,9,24,9,18,8,35,2005
27590,"Houghton, IA","Montrose, IA",3,2,7,1,4,7,4,7,1,12,2005
27574,"Houghton, IA","Burlington, IA",1,8,1,3,1,6,2,4,4,10,2005
27593,"Houghton, IA","Mount Pleasant, IA",3,4,2,0,4,5,5,1,3,9,2005
27595,"Houghton, IA","Rome, IA",2,5,2,1,1,7,0,5,4,9,2005
27596,"Houghton, IA","Salem, IA",4,4,0,2,2,4,2,5,1,8,2005
27594,"Houghton, IA","New London, IA",5,3,0,1,1,6,0,6,2,8,2005
27586,"Houghton, IA","Lockridge, IA",1,3,2,1,1,4,0,4,2,6,2005
27589,"Houghton, IA","Milton, IA",1,2,1,1,1,2,2,1,1,4,2005
27584,"Houghton, IA","Hillsboro, IA",3,0,0,1,1,1,0,2,1,3,2005
27599,"Houghton, IA","Wayland, IA",0,3,0,0,2,1,1,1,1,3,2005
27598,"Houghton, IA","Washington, IA",2,0,0,0,0,2,0,0,2,2,2005
27600,"Houghton, IA","West Burlington, IA",2,0,0,0,2,0,2,0,0,2,2005
27592,"Houghton, IA","Mount Ayr, IA",1,0,1,0,0,2,0,0,2,2,2005
27571,"Houghton, IA","Birmingham, IA",2,0,0,0,0,2,1,1,0,2,2005
27572,"Houghton, IA","Bonaparte, IA",0,2,0,0,0,2,0,2,0,2,2005
27580,"Houghton, IA","Farmington, IA",0,2,0,2,0,0,2,0,0,2,2005
27579,"Houghton, IA","Fairfield, IA",0,2,0,0,2,0,0,1,1,2,2005
27601,"Houghton, IA","West Point, IA",1,1,0,1,0,1,0,2,0,2,2005
27588,"Houghton, IA","Mediapolis, IA",0,1,0,0,1,0,0,1,0,1,2005
27591,"Houghton, IA","Morning Sun, IA",0,1,0,0,0,1,0,1,0,1,2005
27587,"Houghton, IA","Marshalltown, IA",0,1,0,0,0,1,0,1,0,1,2005
27583,"Houghton, IA","Grundy Center, IA",1,0,0,1,0,0,1,0,0,1,2005
27578,"Houghton, IA","Eldon, IA",1,0,0,0,0,1,1,0,0,1,2005
27576,"Houghton, IA","Denver, IA",0,0,1,0,0,1,0,0,1,1,2005
27575,"Houghton, IA","Central City, IA",1,0,0,1,0,0,1,0,0,1,2005
27573,"Houghton, IA","Brighton, IA",0,1,0,0,0,1,0,0,1,1,2005
