,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27667,"Hudson, IA","Cedar Falls, IA",30,38,14,19,47,16,32,21,29,82,2005
27725,"Hudson, IA","Waterloo, IA",17,39,13,25,33,11,23,31,15,69,2005
27690,"Hudson, IA","Hudson, IA",6,23,9,4,28,6,21,9,8,38,2005
27680,"Hudson, IA","Evansdale, IA",7,13,4,7,8,9,9,12,3,24,2005
27717,"Hudson, IA","Reinbeck, IA",5,11,6,1,17,4,13,3,6,22,2005
27701,"Hudson, IA","Morrison, IA",2,3,2,1,5,1,1,4,2,7,2005
27677,"Hudson, IA","Elk Run Heights, IA",2,3,1,3,2,1,2,3,1,6,2005
27662,"Hudson, IA","Bettendorf, IA",1,3,2,3,3,0,1,1,4,6,2005
27687,"Hudson, IA","Guttenberg, IA",0,5,1,0,6,0,0,2,4,6,2005
27698,"Hudson, IA","Luana, IA",0,3,3,0,6,0,0,5,1,6,2005
27727,"Hudson, IA","Waverly, IA",3,1,1,3,2,0,2,3,0,5,2005
27693,"Hudson, IA","Janesville, IA",2,2,1,2,1,2,3,0,2,5,2005
27702,"Hudson, IA","Mount Auburn, IA",2,3,0,2,3,0,1,2,2,5,2005
27674,"Hudson, IA","Denver, IA",0,4,1,3,2,0,4,1,0,5,2005
27700,"Hudson, IA","Monona, IA",0,2,2,0,4,0,1,2,1,4,2005
27707,"Hudson, IA","Ottumwa, IA",3,1,0,4,0,0,0,2,2,4,2005
27694,"Hudson, IA","La Porte City, IA",2,1,1,1,3,0,1,2,1,4,2005
27724,"Hudson, IA","Vinton, IA",4,0,0,0,2,2,4,0,0,4,2005
27691,"Hudson, IA","Independence, IA",1,2,0,2,1,0,0,2,1,3,2005
27681,"Hudson, IA","Fairbank, IA",1,1,1,1,2,0,2,1,0,3,2005
27714,"Hudson, IA","Polk City, IA",1,2,0,2,1,0,1,2,0,3,2005
27699,"Hudson, IA","Marquette, IA",0,2,1,0,3,0,1,0,2,3,2005
27723,"Hudson, IA","Urbana, IA",0,3,0,0,3,0,2,0,1,3,2005
27726,"Hudson, IA","Waukon, IA",0,2,1,0,3,0,0,2,1,3,2005
27689,"Hudson, IA","Hazleton, IA",1,1,1,1,2,0,1,2,0,3,2005
27675,"Hudson, IA","Dike, IA",2,1,0,1,2,0,0,2,1,3,2005
27709,"Hudson, IA","Panorama Park, IA",1,1,0,0,2,0,1,1,0,2,2005
27710,"Hudson, IA","Parkersburg, IA",0,2,0,0,1,1,1,1,0,2,2005
27705,"Hudson, IA","Nora Springs, IA",0,2,0,0,1,1,0,1,1,2,2005
27712,"Hudson, IA","Pleasant Hill, IA",1,1,0,1,1,0,1,0,1,2,2005
27715,"Hudson, IA","Raymond, IA",0,2,0,1,1,0,1,0,1,2,2005
27722,"Hudson, IA","Traer, IA",1,1,0,0,1,1,1,0,1,2,2005
27659,"Hudson, IA","Ackley, IA",0,1,1,0,0,2,0,1,1,2,2005
27682,"Hudson, IA","Farmersburg, IA",0,1,1,0,2,0,1,0,1,2,2005
27676,"Hudson, IA","Dyersville, IA",0,2,0,0,2,0,0,1,1,2,2005
27678,"Hudson, IA","Elkader, IA",0,1,1,0,2,0,0,2,0,2,2005
27672,"Hudson, IA","Council Bluffs, IA",1,0,0,0,1,0,1,0,0,1,2005
27671,"Hudson, IA","Corydon, IA",0,1,0,0,1,0,1,0,0,1,2005
27670,"Hudson, IA","Clutier, IA",0,1,0,0,1,0,0,1,0,1,2005
27716,"Hudson, IA","Readlyn, IA",1,0,0,1,0,0,0,1,0,1,2005
27669,"Hudson, IA","Clear Lake, IA",0,0,1,0,0,1,0,0,1,1,2005
27718,"Hudson, IA","Sandyville, IA",1,0,0,0,0,1,1,0,0,1,2005
27719,"Hudson, IA","Shueyville, IA",0,1,0,0,1,0,1,0,0,1,2005
27692,"Hudson, IA","Iowa Falls, IA",1,0,0,0,0,1,1,0,0,1,2005
27720,"Hudson, IA","Spring Hill, IA",0,1,0,1,0,0,0,0,1,1,2005
27721,"Hudson, IA","Springbrook, IA",0,0,1,0,0,1,0,1,0,1,2005
27668,"Hudson, IA","Center Junction, IA",1,0,0,0,1,0,1,0,0,1,2005
