,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27860,"Humboldt, IA","Humboldt, IA",187,435,182,303,400,101,287,353,164,804,2005
27810,"Humboldt, IA","Dakota City, IA",130,241,89,146,257,57,192,185,83,460,2005
27838,"Humboldt, IA","Fort Dodge, IA",41,90,15,68,46,32,41,78,27,146,2005
27916,"Humboldt, IA","Ottosen, IA",34,75,18,69,42,16,34,78,15,127,2005
27884,"Humboldt, IA","Livermore, IA",20,74,17,45,52,14,40,50,21,111,2005
27941,"Humboldt, IA","Rutland, IA",32,59,11,46,39,17,33,52,17,102,2005
27851,"Humboldt, IA","Hardy, IA",19,71,12,41,49,12,26,50,26,102,2005
27844,"Humboldt, IA","Goldfield, IA",20,62,17,44,40,15,23,56,20,99,2005
27854,"Humboldt, IA","Havelock, IA",6,24,4,22,5,7,9,22,3,34,2005
27925,"Humboldt, IA","Pocahontas, IA",8,21,0,22,3,4,5,20,4,29,2005
27769,"Humboldt, IA","Algona, IA",2,21,4,19,3,5,3,20,4,27,2005
27825,"Humboldt, IA","Eagle Grove, IA",0,17,5,7,5,10,10,11,1,22,2005
27926,"Humboldt, IA","Pomeroy, IA",4,12,6,11,8,3,3,13,6,22,2005
27978,"Humboldt, IA","Whittemore, IA",3,15,3,9,8,4,5,8,8,21,2005
27897,"Humboldt, IA","Mason City, IA",6,9,5,7,7,6,6,5,9,20,2005
27915,"Humboldt, IA","Otho, IA",4,11,3,8,6,4,6,6,6,18,2005
27893,"Humboldt, IA","Manson, IA",4,12,2,8,2,8,3,9,6,18,2005
27836,"Humboldt, IA","Fonda, IA",3,6,4,5,4,4,2,9,2,13,2005
27917,"Humboldt, IA","Palmer, IA",4,7,2,4,6,3,2,6,5,13,2005
27948,"Humboldt, IA","Sioux Center, IA",6,4,1,1,7,3,7,2,2,11,2005
27973,"Humboldt, IA","Webster City, IA",2,8,1,4,3,4,3,3,5,11,2005
27862,"Humboldt, IA","Ida Grove, IA",3,3,4,5,4,1,1,3,6,10,2005
27912,"Humboldt, IA","Orange City, IA",6,4,0,0,8,2,7,3,0,10,2005
27815,"Humboldt, IA","Des Moines, IA",4,4,1,0,5,4,5,4,0,9,2005
27850,"Humboldt, IA","Hampton, IA",3,5,0,0,0,8,4,1,3,8,2005
27927,"Humboldt, IA","Popejoy, IA",0,3,5,5,3,0,0,0,8,8,2005
27822,"Humboldt, IA","Duncombe, IA",1,6,1,7,1,0,2,3,3,8,2005
27776,"Humboldt, IA","Ashton, IA",2,5,0,3,2,2,2,4,1,7,2005
27939,"Humboldt, IA","Rockwell City, IA",2,4,1,1,2,4,1,5,1,7,2005
27800,"Humboldt, IA","Clarion, IA",3,3,1,1,6,0,3,1,3,7,2005
27772,"Humboldt, IA","Ankeny, IA",3,2,1,1,3,2,4,1,1,6,2005
27982,"Humboldt, IA","Woden, IA",1,4,1,2,1,3,1,5,0,6,2005
27955,"Humboldt, IA","Storm Lake, IA",3,2,1,1,3,2,2,3,1,6,2005
27794,"Humboldt, IA","Cedar Rapids, IA",1,4,1,1,2,3,2,0,4,6,2005
27944,"Humboldt, IA","Schleswig, IA",0,4,2,1,3,2,3,2,1,6,2005
27971,"Humboldt, IA","Waterloo, IA",1,2,2,1,1,3,1,1,3,5,2005
27829,"Humboldt, IA","Emmetsburg, IA",2,3,0,1,3,1,2,2,1,5,2005
27830,"Humboldt, IA","Estherville, IA",1,3,1,2,1,2,2,1,2,5,2005
27951,"Humboldt, IA","Spencer, IA",2,2,1,1,2,2,3,1,1,5,2005
27983,"Humboldt, IA","Woolstock, IA",3,2,0,4,1,0,1,4,0,5,2005
27911,"Humboldt, IA","Northwood, IA",4,0,0,0,3,1,3,1,0,4,2005
27768,"Humboldt, IA","Alden, IA",0,3,1,1,0,3,2,1,1,4,2005
27855,"Humboldt, IA","Hawarden, IA",2,2,0,0,3,1,3,0,1,4,2005
27867,"Humboldt, IA","Jefferson, IA",0,3,1,0,3,1,2,2,0,4,2005
27878,"Humboldt, IA","Larchwood, IA",1,3,0,1,3,0,1,2,1,4,2005
27929,"Humboldt, IA","Primghar, IA",3,1,0,1,3,0,3,1,0,4,2005
27942,"Humboldt, IA","Sac City, IA",0,3,1,3,1,0,2,1,1,4,2005
27803,"Humboldt, IA","Clinton, IA",1,3,0,3,0,1,1,2,1,4,2005
27949,"Humboldt, IA","Sioux City, IA",0,3,1,0,3,1,3,0,1,4,2005
27943,"Humboldt, IA","Schaller, IA",0,1,3,2,1,1,2,2,0,4,2005
27961,"Humboldt, IA","Titonka, IA",1,2,1,1,3,0,1,3,0,4,2005
27881,"Humboldt, IA","Le Mars, IA",1,2,0,0,3,0,1,2,0,3,2005
27880,"Humboldt, IA","Laurens, IA",1,2,0,1,0,2,1,2,0,3,2005
27960,"Humboldt, IA","Terril, IA",1,1,1,1,1,1,1,0,2,3,2005
27845,"Humboldt, IA","Graettinger, IA",3,0,0,0,3,0,2,1,0,3,2005
27858,"Humboldt, IA","Hospers, IA",1,2,0,0,1,2,1,0,2,3,2005
27898,"Humboldt, IA","Maurice, IA",1,1,1,0,2,1,1,1,1,3,2005
27866,"Humboldt, IA","Ireton, IA",2,1,0,1,2,0,2,1,0,3,2005
27976,"Humboldt, IA","West Des Moines, IA",1,1,1,1,0,2,1,2,0,3,2005
27852,"Humboldt, IA","Harris, IA",2,1,0,0,3,0,2,1,0,3,2005
27774,"Humboldt, IA","Arnolds Park, IA",1,0,2,1,2,0,2,1,0,3,2005
27773,"Humboldt, IA","Armstrong, IA",2,1,0,1,1,1,1,1,1,3,2005
27771,"Humboldt, IA","Ames, IA",1,2,0,2,0,1,2,1,0,3,2005
27789,"Humboldt, IA","Burlington, IA",0,3,0,0,0,3,1,2,0,3,2005
27952,"Humboldt, IA","Spirit Lake, IA",3,0,0,0,3,0,3,0,0,3,2005
27801,"Humboldt, IA","Clear Lake, IA",2,0,1,1,0,2,1,2,0,3,2005
