,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
30911,"Keokuk, IA","Keokuk, IA",703,1896,620,955,1758,506,1043,1348,828,3219,2005
30939,"Keokuk, IA","Montrose, IA",109,430,148,271,318,98,187,254,246,687,2005
30897,"Keokuk, IA","Fort Madison, IA",75,108,28,41,128,42,81,76,54,211,2005
30888,"Keokuk, IA","Donnellson, IA",37,95,22,50,60,44,54,50,50,154,2005
30864,"Keokuk, IA","Burlington, IA",26,76,16,25,58,35,42,49,27,118,2005
30944,"Keokuk, IA","Mount Pleasant, IA",6,19,7,8,11,13,14,10,8,32,2005
30992,"Keokuk, IA","West Burlington, IA",10,16,5,8,10,13,9,14,8,31,2005
30908,"Keokuk, IA","Iowa City, IA",23,6,1,0,16,14,15,11,4,30,2005
30883,"Keokuk, IA","Davenport, IA",7,15,6,2,5,21,11,12,5,28,2005
30956,"Keokuk, IA","Ottumwa, IA",13,8,3,1,9,14,12,10,2,24,2005
30981,"Keokuk, IA","St. Paul, IA",6,14,2,7,11,4,8,8,6,22,2005
30866,"Keokuk, IA","Cedar Rapids, IA",10,10,2,4,11,7,6,12,4,22,2005
30947,"Keokuk, IA","Muscatine, IA",10,5,5,0,8,12,12,7,1,20,2005
30858,"Keokuk, IA","Bettendorf, IA",5,5,6,2,3,11,10,4,2,16,2005
30898,"Keokuk, IA","Franklin, IA",5,5,5,7,6,2,7,3,5,15,2005
30995,"Keokuk, IA","West Point, IA",6,6,3,3,9,3,7,6,2,15,2005
30948,"Keokuk, IA","New London, IA",3,8,4,3,5,7,1,11,3,15,2005
30906,"Keokuk, IA","Houghton, IA",1,12,1,2,12,0,3,6,5,14,2005
30889,"Keokuk, IA","Dubuque, IA",7,4,2,3,6,4,5,5,3,13,2005
30894,"Keokuk, IA","Fairfield, IA",6,5,1,2,7,3,4,7,1,12,2005
30934,"Keokuk, IA","Middletown, IA",3,7,1,2,2,7,2,8,1,11,2005
