,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
31595,"Knoxville, IA","Knoxville, IA",339,868,324,408,870,253,567,573,391,1531,2005
31627,"Knoxville, IA","Melcher-Dallas, IA",77,179,57,82,177,54,119,125,69,313,2005
31570,"Knoxville, IA","Harvey, IA",30,78,29,37,70,30,43,69,25,137,2005
31675,"Knoxville, IA","Pella, IA",30,76,16,44,49,29,40,47,35,122,2005
31623,"Knoxville, IA","Marysville, IA",22,61,16,25,45,29,33,40,26,99,2005
31680,"Knoxville, IA","Pleasantville, IA",18,42,13,24,33,16,31,17,25,73,2005
31467,"Knoxville, IA","Albia, IA",14,46,7,28,22,17,12,29,26,67,2005
31472,"Knoxville, IA","Ames, IA",17,26,9,35,2,15,10,23,19,52,2005
31664,"Knoxville, IA","Oskaloosa, IA",13,32,5,15,22,13,14,21,15,50,2005
31534,"Knoxville, IA","Des Moines, IA",13,19,4,4,15,17,15,11,10,36,2005
31505,"Knoxville, IA","Chariton, IA",0,27,5,9,10,13,7,16,9,32,2005
31651,"Knoxville, IA","Newton, IA",6,18,6,9,9,12,10,11,9,30,2005
31580,"Knoxville, IA","Indianola, IA",12,14,4,12,7,11,12,9,9,30,2005
31727,"Knoxville, IA","University Park, IA",8,19,2,7,16,6,9,10,10,29,2005
31666,"Knoxville, IA","Ottumwa, IA",13,11,5,1,14,14,13,13,3,29,2005
31496,"Knoxville, IA","Bussey, IA",13,13,2,13,8,7,9,11,8,28,2005
31636,"Knoxville, IA","Moravia, IA",2,20,2,10,8,6,4,13,7,24,2005
31663,"Knoxville, IA","Osceola, IA",12,9,2,18,4,1,4,1,18,23,2005
31504,"Knoxville, IA","Centerville, IA",8,12,2,2,15,5,13,6,3,22,2005
31649,"Knoxville, IA","New Sharon, IA",7,15,0,4,14,4,5,11,6,22,2005
31699,"Knoxville, IA","Russell, IA",6,15,0,9,9,3,7,5,9,21,2005
31632,"Knoxville, IA","Monroe, IA",5,14,2,7,8,6,10,5,6,21,2005
31489,"Knoxville, IA","Boone, IA",5,12,2,13,4,2,3,8,8,19,2005
31624,"Knoxville, IA","Mason City, IA",4,11,1,16,0,0,0,10,6,16,2005
31475,"Knoxville, IA","Ankeny, IA",4,9,2,3,5,7,6,2,7,15,2005
31567,"Knoxville, IA","Grinnell, IA",7,8,0,2,6,7,3,6,6,15,2005
31512,"Knoxville, IA","Clive, IA",4,9,1,7,5,2,1,8,5,14,2005
31657,"Knoxville, IA","Norwalk, IA",5,6,2,4,4,5,2,5,6,13,2005
31689,"Knoxville, IA","Reasnor, IA",2,9,1,4,8,0,5,3,4,12,2005
31581,"Knoxville, IA","Iowa City, IA",5,7,0,1,1,10,4,5,3,12,2005
31541,"Knoxville, IA","Eddyville, IA",4,7,0,6,4,1,1,6,4,11,2005
31486,"Knoxville, IA","Blakesburg, IA",0,8,2,5,2,3,0,8,2,10,2005
31585,"Knoxville, IA","Johnston, IA",1,8,1,2,3,5,4,4,2,10,2005
31677,"Knoxville, IA","Perry, IA",4,6,0,5,2,3,2,4,4,10,2005
31550,"Knoxville, IA","Fairfield, IA",5,0,4,1,4,4,3,5,1,9,2005
31465,"Knoxville, IA","Agency, IA",3,4,2,4,1,4,2,7,0,9,2005
31555,"Knoxville, IA","Fort Dodge, IA",0,8,1,3,2,4,1,3,5,9,2005
31679,"Knoxville, IA","Pleasant Hill, IA",2,6,1,2,4,3,3,2,4,9,2005
31734,"Knoxville, IA","Waukee, IA",2,4,3,8,0,1,1,3,5,9,2005
31596,"Knoxville, IA","Lacona, IA",2,4,2,2,3,3,1,3,4,8,2005
31638,"Knoxville, IA","Moulton, IA",3,4,1,3,3,2,3,2,3,8,2005
31462,"Knoxville, IA","Ackworth, IA",3,3,2,0,2,6,3,3,2,8,2005
31502,"Knoxville, IA","Cedar Rapids, IA",1,7,0,1,2,5,0,4,4,8,2005
31707,"Knoxville, IA","Sigourney, IA",3,4,1,0,4,4,2,3,3,8,2005
31498,"Knoxville, IA","Carlisle, IA",2,6,0,1,3,4,2,5,1,8,2005
31733,"Knoxville, IA","Waterloo, IA",4,4,0,1,5,2,3,4,1,8,2005
31740,"Knoxville, IA","West Des Moines, IA",3,1,4,1,3,4,3,2,3,8,2005
31482,"Knoxville, IA","Belle Plaine, IA",2,3,2,2,3,2,1,5,1,7,2005
31481,"Knoxville, IA","Bedford, IA",1,2,4,2,4,1,2,2,3,7,2005
31520,"Knoxville, IA","Creston, IA",3,3,1,0,0,7,5,2,0,7,2005
31720,"Knoxville, IA","Swan, IA",0,6,1,5,1,1,1,1,5,7,2005
31501,"Knoxville, IA","Cedar Falls, IA",1,4,2,0,3,4,2,5,0,7,2005
31747,"Knoxville, IA","Windsor Heights, IA",3,4,0,1,4,2,4,1,2,7,2005
31569,"Knoxville, IA","Hampton, IA",0,6,0,6,0,0,0,4,2,6,2005
31647,"Knoxville, IA","Nevada, IA",1,4,1,4,2,0,1,4,1,6,2005
31507,"Knoxville, IA","Cincinnati, IA",1,3,2,2,4,0,2,2,2,6,2005
31560,"Knoxville, IA","Gilman, IA",3,1,2,4,1,1,0,5,1,6,2005
31495,"Knoxville, IA","Burlington, IA",2,3,1,0,4,2,3,2,1,6,2005
31621,"Knoxville, IA","Marshalltown, IA",3,3,0,1,2,3,3,3,0,6,2005
31687,"Knoxville, IA","Rathbun, IA",4,2,0,0,5,1,6,0,0,6,2005
31572,"Knoxville, IA","Hiawatha, IA",2,4,0,1,1,4,2,3,1,6,2005
31510,"Knoxville, IA","Clinton, IA",2,3,1,0,1,5,4,1,1,6,2005
31659,"Knoxville, IA","Ogden, IA",2,2,1,3,0,2,1,1,3,5,2005
31499,"Knoxville, IA","Carroll, IA",2,3,0,1,0,4,2,0,3,5,2005
31628,"Knoxville, IA","Millerton, IA",3,2,0,0,4,1,4,1,0,5,2005
31578,"Knoxville, IA","Huxley, IA",3,2,0,2,0,3,3,1,1,5,2005
31610,"Knoxville, IA","Liscomb, IA",0,4,1,4,1,0,0,1,4,5,2005
31678,"Knoxville, IA","Plano, IA",2,3,0,2,2,1,1,2,2,5,2005
31538,"Knoxville, IA","Dubuque, IA",1,4,0,0,2,3,3,2,0,5,2005
31696,"Knoxville, IA","Riverside, IA",0,4,1,1,0,4,1,3,1,5,2005
31729,"Knoxville, IA","Urbandale, IA",1,4,0,0,4,1,1,3,1,5,2005
31471,"Knoxville, IA","Altoona, IA",1,2,2,1,1,3,1,3,1,5,2005
31517,"Knoxville, IA","Corydon, IA",1,3,1,0,3,2,2,1,2,5,2005
31725,"Knoxville, IA","Unionville, IA",1,1,2,1,2,1,3,0,1,4,2005
31469,"Knoxville, IA","Algona, IA",0,4,0,4,0,0,0,3,1,4,2005
31645,"Knoxville, IA","Muscatine, IA",1,3,0,0,0,4,4,0,0,4,2005
31629,"Knoxville, IA","Milton, IA",1,2,1,0,1,3,2,1,1,4,2005
31617,"Knoxville, IA","Madrid, IA",2,1,1,2,0,2,1,2,1,4,2005
31735,"Knoxville, IA","Waverly, IA",2,1,1,0,2,2,3,1,0,4,2005
31591,"Knoxville, IA","Keokuk, IA",2,1,1,0,2,2,2,1,1,4,2005
31515,"Knoxville, IA","Colwell, IA",0,4,0,4,0,0,0,3,1,4,2005
31715,"Knoxville, IA","Stanhope, IA",1,3,0,4,0,0,0,2,2,4,2005
31693,"Knoxville, IA","Rhodes, IA",1,3,0,2,0,2,1,1,2,4,2005
31518,"Knoxville, IA","Council Bluffs, IA",1,2,1,0,0,4,2,2,0,4,2005
31713,"Knoxville, IA","St. Marys, IA",0,2,2,2,2,0,1,1,2,4,2005
31513,"Knoxville, IA","Colfax, IA",2,2,0,2,2,0,2,0,2,4,2005
31593,"Knoxville, IA","Kirkville, IA",0,2,1,0,3,0,0,2,1,3,2005
31681,"Knoxville, IA","Polk City, IA",1,1,1,0,2,1,1,2,0,3,2005
31525,"Knoxville, IA","Davenport, IA",2,1,0,0,3,0,1,2,0,3,2005
31694,"Knoxville, IA","Richland, IA",0,3,0,0,0,3,0,0,3,3,2005
31738,"Knoxville, IA","West Burlington, IA",1,1,1,0,2,1,2,1,0,3,2005
31697,"Knoxville, IA","Robins, IA",1,2,0,0,0,3,2,1,0,3,2005
31615,"Knoxville, IA","Lynnville, IA",0,2,1,2,1,0,1,2,0,3,2005
31565,"Knoxville, IA","Gravity, IA",0,2,1,2,1,0,1,0,2,3,2005
31509,"Knoxville, IA","Clear Lake, IA",0,3,0,3,0,0,0,1,2,3,2005
31508,"Knoxville, IA","Clarinda, IA",0,2,1,0,0,3,1,1,1,3,2005
31463,"Knoxville, IA","Adel, IA",1,1,1,2,0,1,0,2,1,3,2005
31506,"Knoxville, IA","Charles City, IA",0,3,0,3,0,0,0,2,1,3,2005
31599,"Knoxville, IA","Lambs Grove, IA",0,2,1,1,1,1,1,0,2,3,2005
31748,"Knoxville, IA","Winterset, IA",1,2,0,0,2,1,2,1,0,3,2005
31749,"Knoxville, IA","Woodward, IA",0,3,0,3,0,0,0,0,3,3,2005
31566,"Knoxville, IA","Greenfield, IA",0,3,0,1,0,2,0,2,1,3,2005
31703,"Knoxville, IA","Sandyville, IA",0,1,2,1,1,1,1,0,2,3,2005
31562,"Knoxville, IA","Grand River, IA",2,0,1,0,1,2,3,0,0,3,2005
31658,"Knoxville, IA","Oelwein, IA",0,1,2,1,0,2,1,1,1,3,2005
31717,"Knoxville, IA","Story City, IA",0,3,0,2,1,0,0,1,2,3,2005
31711,"Knoxville, IA","Spring Hill, IA",0,1,2,0,1,2,2,1,0,3,2005
31557,"Knoxville, IA","Fraser, IA",1,0,2,2,1,0,0,3,0,3,2005
31648,"Knoxville, IA","New Hampton, IA",0,2,1,1,1,1,2,1,0,3,2005
31714,"Knoxville, IA","Stacyville, IA",1,2,0,3,0,0,0,2,1,3,2005
31708,"Knoxville, IA","Silver City, IA",2,0,0,0,0,2,1,1,0,2,2005
31665,"Knoxville, IA","Ottosen, IA",0,2,0,2,0,0,0,1,1,2,2005
31655,"Knoxville, IA","North Liberty, IA",0,2,0,0,1,1,1,1,0,2,2005
31603,"Knoxville, IA","Le Mars, IA",0,2,0,0,1,1,0,2,0,2,2005
31605,"Knoxville, IA","Leon, IA",1,1,0,0,1,1,1,0,1,2,2005
31719,"Knoxville, IA","Strawberry Point, IA",1,1,0,1,0,1,1,1,0,2,2005
31662,"Knoxville, IA","Osage, IA",0,2,0,2,0,0,0,2,0,2,2005
31608,"Knoxville, IA","Linden, IA",1,1,0,0,1,1,1,0,1,2,2005
31698,"Knoxville, IA","Rockford, IA",0,1,1,2,0,0,0,1,1,2,2005
31643,"Knoxville, IA","Mount Vernon, IA",1,1,0,0,1,1,0,2,0,2,2005
31631,"Knoxville, IA","Mitchellville, IA",0,1,1,1,1,0,0,1,1,2,2005
31641,"Knoxville, IA","Mount Pleasant, IA",0,1,1,0,0,2,1,1,0,2,2005
31726,"Knoxville, IA","University Heights, IA",1,1,0,0,0,2,0,2,0,2,2005
31622,"Knoxville, IA","Martelle, IA",1,1,0,1,1,0,1,0,1,2,2005
31640,"Knoxville, IA","Mount Ayr, IA",0,2,0,0,1,1,0,0,2,2,2005
31736,"Knoxville, IA","Webster City, IA",1,1,0,0,0,2,2,0,0,2,2005
31709,"Knoxville, IA","Slater, IA",1,1,0,1,1,0,1,0,1,2,2005
31670,"Knoxville, IA","Palmer, IA",1,1,0,0,2,0,0,1,1,2,2005
31674,"Knoxville, IA","Patterson, IA",1,0,1,0,0,2,1,1,0,2,2005
31661,"Knoxville, IA","Orient, IA",0,2,0,2,0,0,0,0,2,2,2005
31750,"Knoxville, IA","Zearing, IA",1,1,0,1,1,0,0,1,1,2,2005
31559,"Knoxville, IA","Gilbert, IA",1,1,0,1,0,1,1,0,1,2,2005
31579,"Knoxville, IA","Independence, IA",1,1,0,0,1,1,1,1,0,2,2005
31497,"Knoxville, IA","Cambridge, IA",1,1,0,1,1,0,1,0,1,2,2005
31556,"Knoxville, IA","Fort Madison, IA",0,2,0,0,0,2,0,2,0,2,2005
31554,"Knoxville, IA","Fort Atkinson, IA",0,2,0,0,1,1,0,2,0,2,2005
31500,"Knoxville, IA","Carter Lake, IA",2,0,0,0,1,1,2,0,0,2,2005
31553,"Knoxville, IA","Forest City, IA",0,2,0,2,0,0,0,2,0,2,2005
31552,"Knoxville, IA","Floris, IA",0,0,2,0,1,1,1,0,1,2,2005
31551,"Knoxville, IA","Ferguson, IA",0,2,0,0,2,0,0,0,2,2,2005
31548,"Knoxville, IA","Exline, IA",0,2,0,1,1,0,1,0,1,2,2005
31511,"Knoxville, IA","Clio, IA",1,0,1,0,1,1,1,1,0,2,2005
31546,"Knoxville, IA","Evansdale, IA",0,2,0,1,1,0,0,1,1,2,2005
31516,"Knoxville, IA","Coralville, IA",1,0,1,0,0,2,0,2,0,2,2005
31543,"Knoxville, IA","Eldon, IA",0,1,1,0,0,2,2,0,0,2,2005
31542,"Knoxville, IA","Elberon, IA",0,1,1,0,0,2,1,1,0,2,2005
31537,"Knoxville, IA","Donnellson, IA",1,1,0,0,2,0,1,1,0,2,2005
31535,"Knoxville, IA","Dexter, IA",0,2,0,0,1,1,2,0,0,2,2005
31523,"Knoxville, IA","Danbury, IA",0,2,0,0,1,1,0,1,1,2,2005
31524,"Knoxville, IA","Danville, IA",0,2,0,1,1,0,1,1,0,2,2005
31558,"Knoxville, IA","Fremont, IA",1,1,0,1,1,0,1,1,0,2,2005
31527,"Knoxville, IA","De Soto, IA",0,2,0,2,0,0,0,0,2,2,2005
31464,"Knoxville, IA","Afton, IA",2,0,0,0,2,0,0,2,0,2,2005
31730,"Knoxville, IA","Vining, IA",1,0,0,0,0,1,1,0,0,1,2005
31521,"Knoxville, IA","Cumberland, IA",0,1,0,0,1,0,0,1,0,1,2005
31470,"Knoxville, IA","Alton, IA",0,1,0,0,0,1,1,0,0,1,2005
31503,"Knoxville, IA","Center Junction, IA",0,0,1,0,1,0,1,0,0,1,2005
31702,"Knoxville, IA","Sac City, IA",0,1,0,0,0,1,0,1,0,1,2005
31701,"Knoxville, IA","Sabula, IA",1,0,0,0,0,1,1,0,0,1,2005
31700,"Knoxville, IA","Rutland, IA",1,0,0,0,0,1,1,0,0,1,2005
31741,"Knoxville, IA","West Liberty, IA",0,1,0,0,0,1,1,0,0,1,2005
31742,"Knoxville, IA","West Union, IA",1,0,0,0,1,0,0,1,0,1,2005
31514,"Knoxville, IA","Colo, IA",0,0,1,1,0,0,0,1,0,1,2005
31743,"Knoxville, IA","Westfield, IA",0,1,0,0,0,1,0,1,0,1,2005
31519,"Knoxville, IA","Cresco, IA",0,1,0,1,0,0,0,0,1,1,2005
31744,"Knoxville, IA","Westside, IA",0,1,0,0,0,1,0,0,1,1,2005
31695,"Knoxville, IA","Rinard, IA",0,1,0,0,0,1,0,1,0,1,2005
31745,"Knoxville, IA","Williams, IA",0,1,0,1,0,0,0,0,1,1,2005
31522,"Knoxville, IA","Dallas Center, IA",0,1,0,1,0,0,0,1,0,1,2005
31739,"Knoxville, IA","West Chester, IA",0,1,0,0,0,1,0,1,0,1,2005
31746,"Knoxville, IA","Wilton, IA",1,0,0,0,1,0,1,0,0,1,2005
31692,"Knoxville, IA","Renwick, IA",0,0,1,0,1,0,1,0,0,1,2005
31468,"Knoxville, IA","Alden, IA",1,0,0,1,0,0,0,0,1,1,2005
31691,"Knoxville, IA","Remsen, IA",0,1,0,0,0,1,0,0,1,1,2005
31690,"Knoxville, IA","Red Oak, IA",0,1,0,0,0,1,0,1,0,1,2005
31466,"Knoxville, IA","Akron, IA",1,0,0,0,1,0,1,0,0,1,2005
31688,"Knoxville, IA","Readlyn, IA",1,0,0,0,0,1,0,1,0,1,2005
31686,"Knoxville, IA","Randall, IA",0,1,0,1,0,0,0,0,1,1,2005
31685,"Knoxville, IA","Quimby, IA",0,1,0,0,0,1,0,0,1,1,2005
31684,"Knoxville, IA","Promise City, IA",0,0,1,0,0,1,0,0,1,1,2005
31683,"Knoxville, IA","Prairie City, IA",0,1,0,0,1,0,0,0,1,1,2005
31682,"Knoxville, IA","Popejoy, IA",0,1,0,1,0,0,0,1,0,1,2005
31526,"Knoxville, IA","Dayton, IA",0,1,0,0,1,0,1,0,0,1,2005
31704,"Knoxville, IA","Seymour, IA",0,1,0,0,0,1,0,1,0,1,2005
