,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55777,"Urbana, IA","Urbana, IA",56,111,31,58,83,57,72,87,39,198,2005
55761,"Urbana, IA","Palo, IA",25,31,16,14,34,24,37,26,9,72,2005
55780,"Urbana, IA","Vinton, IA",22,38,5,19,22,24,28,28,9,65,2005
55713,"Urbana, IA","Cedar Rapids, IA",23,21,7,17,17,17,15,19,17,51,2005
55715,"Urbana, IA","Center Point, IA",5,26,11,3,25,14,20,15,7,42,2005
55790,"Urbana, IA","Winthrop, IA",8,9,5,10,4,8,13,6,3,22,2005
55784,"Urbana, IA","Waterloo, IA",4,15,1,9,4,7,3,12,5,20,2005
55711,"Urbana, IA","Brandon, IA",4,9,6,5,3,11,7,8,4,19,2005
55783,"Urbana, IA","Walker, IA",3,10,5,4,5,9,7,7,4,18,2005
55766,"Urbana, IA","Robins, IA",2,15,1,2,7,9,7,5,6,18,2005
55727,"Urbana, IA","Elberon, IA",3,11,3,7,2,8,4,7,6,17,2005
55742,"Urbana, IA","Hiawatha, IA",5,9,3,5,3,9,6,7,4,17,2005
55744,"Urbana, IA","Independence, IA",7,5,1,7,2,4,6,6,1,13,2005
55741,"Urbana, IA","Hazleton, IA",4,6,1,7,0,4,3,6,2,11,2005
55732,"Urbana, IA","Fairbank, IA",1,8,2,2,0,9,1,5,5,11,2005
55755,"Urbana, IA","Mount Auburn, IA",4,6,0,3,3,4,5,4,1,10,2005
55759,"Urbana, IA","Oelwein, IA",1,3,2,2,0,4,1,1,4,6,2005
55752,"Urbana, IA","Marion, IA",4,1,0,0,3,2,1,3,1,5,2005
55753,"Urbana, IA","Marshalltown, IA",1,3,1,4,0,1,1,1,3,5,2005
55773,"Urbana, IA","Strawberry Point, IA",0,4,1,3,1,1,0,2,3,5,2005
55730,"Urbana, IA","Ely, IA",1,2,2,2,2,1,1,3,1,5,2005
55724,"Urbana, IA","Dubuque, IA",2,3,0,0,3,2,1,3,1,5,2005
55758,"Urbana, IA","Norway, IA",1,1,3,0,4,1,4,0,1,5,2005
55720,"Urbana, IA","Council Bluffs, IA",1,3,1,0,0,5,0,4,1,5,2005
55705,"Urbana, IA","Atkins, IA",0,3,2,2,2,1,1,3,1,5,2005
55707,"Urbana, IA","Bellevue, IA",2,2,1,0,2,3,2,2,1,5,2005
55764,"Urbana, IA","Prairieburg, IA",3,2,0,1,3,1,3,0,2,5,2005
55716,"Urbana, IA","Central City, IA",1,3,0,0,4,0,1,0,3,4,2005
55710,"Urbana, IA","Blairstown, IA",2,2,0,0,1,3,2,2,0,4,2005
55704,"Urbana, IA","Asbury, IA",1,2,1,2,1,1,3,1,0,4,2005
55722,"Urbana, IA","Delaware, IA",1,3,0,2,0,2,1,3,0,4,2005
55733,"Urbana, IA","Fairfax, IA",0,2,2,0,2,2,4,0,0,4,2005
55787,"Urbana, IA","Waverly, IA",2,1,1,1,2,1,1,2,1,4,2005
55708,"Urbana, IA","Bertram, IA",0,1,2,0,2,1,1,1,1,3,2005
55748,"Urbana, IA","Jesup, IA",1,1,1,0,0,3,2,0,1,3,2005
55712,"Urbana, IA","Cedar Falls, IA",0,3,0,0,2,1,0,1,2,3,2005
55706,"Urbana, IA","Aurora, IA",1,1,1,2,1,0,2,0,1,3,2005
55785,"Urbana, IA","Waucoma, IA",2,0,1,2,0,1,1,1,1,3,2005
55751,"Urbana, IA","Manchester, IA",0,2,1,0,0,3,0,0,3,3,2005
55746,"Urbana, IA","Iowa City, IA",1,1,0,1,0,1,0,2,0,2,2005
55756,"Urbana, IA","Muscatine, IA",0,2,0,1,0,1,0,0,2,2,2005
55770,"Urbana, IA","Springville, IA",0,2,0,0,1,1,1,1,0,2,2005
55771,"Urbana, IA","St. Lucas, IA",2,0,0,0,1,1,2,0,0,2,2005
55763,"Urbana, IA","Parkersburg, IA",0,2,0,0,0,2,0,0,2,2,2005
55782,"Urbana, IA","Walford, IA",1,1,0,1,0,1,1,1,0,2,2005
55786,"Urbana, IA","Waukon, IA",0,2,0,0,0,2,0,1,1,2,2005
55721,"Urbana, IA","Decorah, IA",0,2,0,2,0,0,0,0,2,2,2005
55743,"Urbana, IA","Hopkinton, IA",0,2,0,0,1,1,1,1,0,2,2005
55709,"Urbana, IA","Bettendorf, IA",0,2,0,1,0,1,0,1,1,2,2005
55714,"Urbana, IA","Center Junction, IA",1,1,0,1,0,1,1,1,0,2,2005
55718,"Urbana, IA","Coggon, IA",1,1,0,0,1,1,2,0,0,2,2005
