,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
56567,"Vining, IA","Toledo, IA",1,4,0,0,4,1,1,2,2,5,2005
56566,"Vining, IA","Tama, IA",0,2,2,0,2,2,1,2,1,4,2005
56563,"Vining, IA","Montour, IA",0,0,2,0,2,0,2,0,0,2,2005
56568,"Vining, IA","Vining, IA",1,1,0,0,0,2,2,0,0,2,2005
56556,"Vining, IA","Dysart, IA",1,0,0,0,1,0,1,0,0,1,2005
56557,"Vining, IA","Elberon, IA",0,1,0,0,1,0,0,1,0,1,2005
56558,"Vining, IA","Ferguson, IA",0,1,0,0,1,0,0,1,0,1,2005
56559,"Vining, IA","Hiawatha, IA",0,0,1,0,1,0,0,1,0,1,2005
56560,"Vining, IA","Iowa City, IA",0,1,0,0,1,0,0,1,0,1,2005
56561,"Vining, IA","Lincoln, IA",0,1,0,0,1,0,1,0,0,1,2005
56562,"Vining, IA","Marshalltown, IA",1,0,0,1,0,0,0,1,0,1,2005
56564,"Vining, IA","Morrison, IA",0,0,1,0,1,0,0,1,0,1,2005
56565,"Vining, IA","Ottumwa, IA",0,0,1,0,1,0,1,0,0,1,2005
