,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
12389,"Corwith, IA","Corwith, IA",30,64,32,22,55,49,54,51,21,126,2006
12382,"Corwith, IA","Britt, IA",14,49,20,12,57,14,32,30,21,83,2006
12392,"Corwith, IA","Crystal Lake, IA",12,51,16,68,7,4,8,64,7,79,2006
12404,"Corwith, IA","Garner, IA",2,37,11,18,26,6,6,26,18,50,2006
12451,"Corwith, IA","Woden, IA",8,16,3,1,16,10,16,9,2,27,2006
12424,"Corwith, IA","Mason City, IA",4,14,7,4,17,4,10,9,6,25,2006
12376,"Corwith, IA","Algona, IA",7,11,2,3,12,5,7,12,1,20,2006
12386,"Corwith, IA","Clarion, IA",6,12,1,1,14,4,2,14,3,19,2006
12380,"Corwith, IA","Belmond, IA",2,13,3,8,8,2,4,8,6,18,2006
12402,"Corwith, IA","Forest City, IA",6,4,3,1,8,4,5,8,0,13,2006
12377,"Corwith, IA","Ames, IA",4,4,3,1,8,2,6,2,3,11,2006
12387,"Corwith, IA","Clear Lake, IA",2,7,2,2,8,1,5,1,5,11,2006
12407,"Corwith, IA","Hampton, IA",2,3,2,4,2,1,2,4,1,7,2006
12395,"Corwith, IA","Des Moines, IA",1,6,0,0,7,0,2,4,1,7,2006
12405,"Corwith, IA","Goldfield, IA",1,3,2,0,1,5,1,3,2,6,2006
12403,"Corwith, IA","Fort Dodge, IA",2,2,2,0,5,1,2,1,3,6,2006
12439,"Corwith, IA","Spencer, IA",5,0,0,0,0,5,5,0,0,5,2006
12378,"Corwith, IA","Ankeny, IA",2,2,1,0,1,4,1,2,2,5,2006
12383,"Corwith, IA","Buffalo Center, IA",3,1,1,0,2,3,4,1,0,5,2006
12412,"Corwith, IA","Iowa City, IA",0,4,0,4,0,0,0,0,4,4,2006
12444,"Corwith, IA","Titonka, IA",0,3,1,0,3,1,2,1,1,4,2006
12390,"Corwith, IA","Council Bluffs, IA",1,2,1,2,1,1,2,1,1,4,2006
12423,"Corwith, IA","Marble Rock, IA",0,4,0,3,0,1,0,4,0,4,2006
12420,"Corwith, IA","Livermore, IA",1,0,3,0,4,0,4,0,0,4,2006
12394,"Corwith, IA","Davenport, IA",1,2,1,0,3,1,2,2,0,4,2006
12417,"Corwith, IA","Lake Mills, IA",2,1,0,0,3,0,2,0,1,3,2006
12413,"Corwith, IA","Johnston, IA",1,2,0,0,1,2,3,0,0,3,2006
12388,"Corwith, IA","Clive, IA",1,2,0,0,2,1,2,1,0,3,2006
12421,"Corwith, IA","Lone Rock, IA",0,2,1,0,1,2,0,3,0,3,2006
12398,"Corwith, IA","Eagle Grove, IA",1,2,0,1,0,2,0,1,2,3,2006
12442,"Corwith, IA","Swea City, IA",0,3,0,1,1,1,1,1,1,3,2006
12445,"Corwith, IA","University Heights, IA",0,0,2,0,2,0,0,1,1,2,2006
12446,"Corwith, IA","Webster City, IA",1,1,0,0,1,1,1,1,0,2,2006
12418,"Corwith, IA","Lakota, IA",0,1,1,0,0,2,0,2,0,2,2006
12414,"Corwith, IA","Joice, IA",0,2,0,2,0,0,0,2,0,2,2006
12384,"Corwith, IA","Cedar Rapids, IA",0,1,1,0,1,1,1,0,1,2,2006
12406,"Corwith, IA","Graettinger, IA",0,2,0,2,0,0,0,2,0,2,2006
12401,"Corwith, IA","Floyd, IA",1,0,1,1,1,0,2,0,0,2,2006
12399,"Corwith, IA","Estherville, IA",0,1,1,0,2,0,2,0,0,2,2006
12385,"Corwith, IA","Charles City, IA",0,1,1,0,2,0,0,1,1,2,2006
12443,"Corwith, IA","Thompson, IA",1,0,0,0,1,0,0,1,0,1,2006
12436,"Corwith, IA","Rock Rapids, IA",0,1,0,0,1,0,0,1,0,1,2006
12437,"Corwith, IA","Sioux City, IA",0,1,0,0,0,1,0,0,1,1,2006
12438,"Corwith, IA","Sioux Rapids, IA",0,0,1,0,1,0,0,1,0,1,2006
12393,"Corwith, IA","Cushing, IA",1,0,0,0,0,1,1,0,0,1,2006
12440,"Corwith, IA","Storm Lake, IA",0,0,1,0,0,1,1,0,0,1,2006
12441,"Corwith, IA","Strawberry Point, IA",1,0,0,0,0,1,0,0,1,1,2006
12391,"Corwith, IA","Cresco, IA",0,1,0,1,0,0,1,0,0,1,2006
12411,"Corwith, IA","Humboldt, IA",1,0,0,0,1,0,1,0,0,1,2006
12434,"Corwith, IA","Randalia, IA",0,0,1,1,0,0,0,1,0,1,2006
12381,"Corwith, IA","Bettendorf, IA",0,1,0,0,1,0,0,1,0,1,2006
12447,"Corwith, IA","West Burlington, IA",1,0,0,0,1,0,1,0,0,1,2006
12448,"Corwith, IA","West Des Moines, IA",0,1,0,0,1,0,1,0,0,1,2006
12449,"Corwith, IA","West Union, IA",0,1,0,0,0,1,0,1,0,1,2006
12450,"Corwith, IA","Whittemore, IA",0,1,0,0,0,1,0,0,1,1,2006
12379,"Corwith, IA","Bancroft, IA",0,1,0,0,1,0,1,0,0,1,2006
12435,"Corwith, IA","Renwick, IA",0,1,0,0,0,1,0,1,0,1,2006
12432,"Corwith, IA","Parkersburg, IA",1,0,0,0,1,0,1,0,0,1,2006
12433,"Corwith, IA","Rake, IA",0,1,0,0,0,1,0,1,0,1,2006
12397,"Corwith, IA","Dubuque, IA",1,0,0,0,0,1,0,0,1,1,2006
12409,"Corwith, IA","Havelock, IA",0,1,0,1,0,0,0,1,0,1,2006
12408,"Corwith, IA","Harlan, IA",1,0,0,0,0,1,0,1,0,1,2006
12415,"Corwith, IA","Klemme, IA",0,0,1,0,0,1,0,0,1,1,2006
12416,"Corwith, IA","Knoxville, IA",0,1,0,1,0,0,0,1,0,1,2006
12419,"Corwith, IA","Leland, IA",0,1,0,0,1,0,0,0,1,1,2006
12400,"Corwith, IA","Fairfax, IA",1,0,0,0,1,0,0,0,1,1,2006
12422,"Corwith, IA","Macedonia, IA",0,1,0,0,0,1,1,0,0,1,2006
12396,"Corwith, IA","Dike, IA",0,1,0,1,0,0,0,0,1,1,2006
12410,"Corwith, IA","Hiawatha, IA",1,0,0,0,0,1,1,0,0,1,2006
12425,"Corwith, IA","Muscatine, IA",0,1,0,0,0,1,1,0,0,1,2006
12426,"Corwith, IA","Nevada, IA",1,0,0,0,0,1,1,0,0,1,2006
12427,"Corwith, IA","Newell, IA",0,1,0,0,1,0,1,0,0,1,2006
