,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
13323,"Cromwell, IA","Creston, IA",27,137,46,65,104,41,53,112,45,210,2006
13346,"Cromwell, IA","Lenox, IA",7,15,7,13,12,4,10,16,3,29,2006
13359,"Cromwell, IA","Nodaway, IA",3,15,9,10,14,3,8,15,4,27,2006
13325,"Cromwell, IA","Des Moines, IA",12,10,5,5,16,6,13,10,4,27,2006
13321,"Cromwell, IA","Corning, IA",7,10,9,3,18,5,10,12,4,26,2006
13301,"Cromwell, IA","Afton, IA",3,15,6,4,15,5,8,13,3,24,2006
13369,"Cromwell, IA","Shannon City, IA",5,13,4,5,16,1,5,12,5,22,2006
13307,"Cromwell, IA","Atlantic, IA",3,10,3,4,5,7,5,8,3,16,2006
13319,"Cromwell, IA","Clive, IA",1,11,1,0,11,2,3,6,4,13,2006
13333,"Cromwell, IA","Grant, IA",7,5,1,8,4,1,7,5,1,13,2006
13334,"Cromwell, IA","Greenfield, IA",1,11,0,10,1,1,0,6,6,12,2006
13304,"Cromwell, IA","Ames, IA",2,5,4,0,8,3,4,3,4,11,2006
13354,"Cromwell, IA","Mount Ayr, IA",1,5,3,1,5,3,6,3,0,9,2006
13327,"Cromwell, IA","East Peru, IA",0,8,1,7,1,1,3,6,0,9,2006
13312,"Cromwell, IA","Burlington, IA",2,4,1,0,3,4,2,3,2,7,2006
13383,"Cromwell, IA","Windsor Heights, IA",3,2,1,0,5,1,5,1,0,6,2006
13317,"Cromwell, IA","Clearfield, IA",2,3,1,4,1,1,2,4,0,6,2006
13362,"Cromwell, IA","Osceola, IA",0,5,1,3,0,3,0,4,2,6,2006
13324,"Cromwell, IA","Cromwell, IA",1,3,2,1,1,4,2,3,1,6,2006
13326,"Cromwell, IA","Diagonal, IA",3,3,0,3,2,1,0,5,1,6,2006
13361,"Cromwell, IA","Orient, IA",0,5,0,0,5,0,4,1,0,5,2006
13341,"Cromwell, IA","Indianola, IA",3,1,1,0,4,1,4,1,0,5,2006
13316,"Cromwell, IA","Clarinda, IA",0,5,0,0,3,2,1,2,2,5,2006
13370,"Cromwell, IA","Shenandoah, IA",3,2,0,3,1,1,2,3,0,5,2006
13381,"Cromwell, IA","West Des Moines, IA",2,3,0,3,1,1,2,2,1,5,2006
13309,"Cromwell, IA","Bedford, IA",0,3,1,0,3,1,3,0,1,4,2006
13374,"Cromwell, IA","Stanton, IA",1,0,3,0,3,1,3,1,0,4,2006
13377,"Cromwell, IA","Urbandale, IA",2,2,0,1,1,2,2,1,1,4,2006
13338,"Cromwell, IA","Hiawatha, IA",2,1,0,0,1,2,1,2,0,3,2006
