,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24643,"Hancock, IA","Council Bluffs, IA",24,57,13,26,53,15,17,40,37,94,2006
24665,"Hancock, IA","Lewis, IA",33,36,11,70,8,2,11,59,10,80,2006
24671,"Hancock, IA","Oakland, IA",15,31,21,4,55,8,27,27,13,67,2006
24657,"Hancock, IA","Hancock, IA",13,29,16,10,17,31,14,31,13,58,2006
24637,"Hancock, IA","Carson, IA",11,11,5,2,20,5,15,10,2,27,2006
24632,"Hancock, IA","Atlantic, IA",6,10,4,8,11,1,4,12,4,20,2006
24678,"Hancock, IA","Shelby, IA",3,5,7,0,9,6,9,3,3,15,2006
24646,"Hancock, IA","Des Moines, IA",3,4,4,1,6,4,1,5,5,11,2006
24639,"Hancock, IA","Cedar Falls, IA",6,2,1,0,7,2,6,1,2,9,2006
24687,"Hancock, IA","Walnut, IA",0,4,3,0,7,0,4,0,3,7,2006
24688,"Hancock, IA","Waterloo, IA",2,2,1,0,3,2,3,2,0,5,2006
24655,"Hancock, IA","Glenwood, IA",0,4,1,0,5,0,2,0,3,5,2006
24685,"Hancock, IA","Tennant, IA",0,2,2,2,2,0,0,2,2,4,2006
24658,"Hancock, IA","Harlan, IA",0,1,3,2,1,1,1,0,3,4,2006
24638,"Hancock, IA","Carter Lake, IA",2,2,0,1,1,2,1,3,0,4,2006
24654,"Hancock, IA","Fort Dodge, IA",1,0,2,0,0,3,0,2,1,3,2006
24669,"Hancock, IA","Melcher-Dallas, IA",0,2,1,3,0,0,0,3,0,3,2006
24629,"Hancock, IA","Ames, IA",2,0,1,0,0,3,3,0,0,3,2006
24683,"Hancock, IA","Sioux City, IA",0,2,1,0,2,1,0,1,2,3,2006
24634,"Hancock, IA","Avoca, IA",1,2,0,0,2,1,1,2,0,3,2006
24642,"Hancock, IA","Coralville, IA",2,1,0,0,1,2,3,0,0,3,2006
24672,"Hancock, IA","Onawa, IA",1,1,0,0,2,0,0,2,0,2,2006
24679,"Hancock, IA","Shenandoah, IA",1,1,0,1,0,1,0,2,0,2,2006
24668,"Hancock, IA","McClelland, IA",0,2,0,0,0,2,2,0,0,2,2006
24681,"Hancock, IA","Silver City, IA",1,1,0,0,1,1,0,2,0,2,2006
24663,"Hancock, IA","Iowa City, IA",1,0,1,0,1,1,2,0,0,2,2006
24661,"Hancock, IA","Henderson, IA",0,2,0,0,1,1,0,1,1,2,2006
24689,"Hancock, IA","West Des Moines, IA",0,2,0,1,1,0,0,2,0,2,2006
24656,"Hancock, IA","Grimes, IA",1,0,0,0,0,1,1,0,0,1,2006
24674,"Hancock, IA","Pleasant Hill, IA",0,1,0,0,0,1,0,1,0,1,2006
24631,"Hancock, IA","Ankeny, IA",0,1,0,0,0,1,0,1,0,1,2006
24633,"Hancock, IA","Audubon, IA",0,1,0,0,0,1,1,0,0,1,2006
24686,"Hancock, IA","Urbandale, IA",0,1,0,0,0,1,0,0,1,1,2006
24635,"Hancock, IA","Bedford, IA",1,0,0,0,1,0,1,0,0,1,2006
24684,"Hancock, IA","Spirit Lake, IA",0,0,1,0,0,1,0,1,0,1,2006
24636,"Hancock, IA","Camanche, IA",0,1,0,0,1,0,1,0,0,1,2006
24682,"Hancock, IA","Sioux Center, IA",0,1,0,1,0,0,0,1,0,1,2006
24640,"Hancock, IA","Cedar Rapids, IA",1,0,0,0,0,1,0,1,0,1,2006
24680,"Hancock, IA","Shueyville, IA",0,1,0,0,0,1,0,1,0,1,2006
24641,"Hancock, IA","Clive, IA",0,1,0,0,1,0,1,0,0,1,2006
24644,"Hancock, IA","Cushing, IA",0,1,0,0,0,1,0,0,1,1,2006
24677,"Hancock, IA","Sergeant Bluff, IA",1,0,0,0,1,0,1,0,0,1,2006
24676,"Hancock, IA","Rock Rapids, IA",0,0,1,0,1,0,1,0,0,1,2006
24675,"Hancock, IA","Randolph, IA",1,0,0,0,0,1,1,0,0,1,2006
24673,"Hancock, IA","Pacific Junction, IA",0,1,0,1,0,0,0,0,1,1,2006
24653,"Hancock, IA","Farragut, IA",0,0,1,1,0,0,0,0,1,1,2006
24645,"Hancock, IA","Denison, IA",0,0,1,0,1,0,0,0,1,1,2006
24647,"Hancock, IA","Dexter, IA",0,0,1,1,0,0,1,0,0,1,2006
24670,"Hancock, IA","Newton, IA",0,0,1,0,1,0,0,0,1,1,2006
24648,"Hancock, IA","Duncombe, IA",1,0,0,0,0,1,0,1,0,1,2006
24649,"Hancock, IA","Elk Run Heights, IA",0,1,0,0,1,0,0,1,0,1,2006
24667,"Hancock, IA","Macedonia, IA",1,0,0,0,0,1,1,0,0,1,2006
24666,"Hancock, IA","Low Moor, IA",0,1,0,0,0,1,0,1,0,1,2006
24650,"Hancock, IA","Estherville, IA",0,1,0,0,1,0,0,1,0,1,2006
24664,"Hancock, IA","Johnston, IA",0,1,0,1,0,0,0,0,1,1,2006
24651,"Hancock, IA","Evansdale, IA",1,0,0,0,0,1,1,0,0,1,2006
24662,"Hancock, IA","Hiawatha, IA",1,0,0,0,1,0,0,1,0,1,2006
24652,"Hancock, IA","Exira, IA",0,1,0,0,1,0,0,1,0,1,2006
24660,"Hancock, IA","Harvey, IA",0,0,1,0,1,0,1,0,0,1,2006
24630,"Hancock, IA","Anita, IA",0,1,0,0,1,0,0,0,1,1,2006
24659,"Hancock, IA","Harris, IA",0,1,0,1,0,0,1,0,0,1,2006
