,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
34700,"Manning, IA","Manning, IA",56,134,89,13,189,77,123,114,42,279,2006
34647,"Manning, IA","Carroll, IA",49,110,41,51,115,34,64,116,20,200,2006
34638,"Manning, IA","Audubon, IA",34,75,30,64,56,19,37,71,31,139,2006
34676,"Manning, IA","Gray, IA",18,39,7,17,24,23,25,29,10,64,2006
34660,"Manning, IA","Denison, IA",6,18,8,15,6,11,4,12,16,32,2006
34661,"Manning, IA","Des Moines, IA",9,13,5,4,19,4,9,9,9,27,2006
34637,"Manning, IA","Atlantic, IA",7,17,3,5,17,5,13,13,1,27,2006
34668,"Manning, IA","Exira, IA",3,10,7,2,15,3,11,6,3,20,2006
34665,"Manning, IA","Elk Horn, IA",5,10,3,0,15,3,13,4,1,18,2006
34681,"Manning, IA","Harlan, IA",6,10,1,1,10,6,6,7,4,17,2006
34633,"Manning, IA","Ames, IA",7,7,1,0,13,2,6,5,4,15,2006
34699,"Manning, IA","Manilla, IA",6,4,4,0,11,3,10,4,0,14,2006
34657,"Manning, IA","Council Bluffs, IA",5,2,5,1,6,5,8,1,3,12,2006
34731,"Manning, IA","Willey, IA",1,10,0,3,4,4,2,6,3,11,2006
34721,"Manning, IA","Sioux City, IA",3,5,2,0,8,2,4,2,4,10,2006
34654,"Manning, IA","Clive, IA",1,7,2,1,7,2,2,7,1,10,2006
34655,"Manning, IA","Coon Rapids, IA",4,3,3,0,7,3,4,3,3,10,2006
34703,"Manning, IA","Melcher-Dallas, IA",3,5,2,10,0,0,2,7,1,10,2006
34631,"Manning, IA","Algona, IA",1,5,3,2,4,3,4,2,3,9,2006
34696,"Manning, IA","Lidderdale, IA",0,5,2,6,1,0,3,3,1,7,2006
34686,"Manning, IA","Irwin, IA",2,3,2,0,4,3,2,4,1,7,2006
34635,"Manning, IA","Ankeny, IA",3,2,2,0,4,3,5,1,1,7,2006
34663,"Manning, IA","Eagle Grove, IA",0,3,3,4,1,1,2,3,1,6,2006
34717,"Manning, IA","Sergeant Bluff, IA",3,3,0,5,1,0,1,5,0,6,2006
34730,"Manning, IA","Westside, IA",1,1,3,3,0,2,0,4,1,5,2006
34677,"Manning, IA","Greenfield, IA",3,1,1,1,2,2,2,2,1,5,2006
34724,"Manning, IA","Storm Lake, IA",1,1,3,0,2,3,1,2,2,5,2006
34728,"Manning, IA","Urbandale, IA",3,2,0,2,1,2,1,2,2,5,2006
34671,"Manning, IA","Fort Dodge, IA",2,0,3,0,2,3,3,0,2,5,2006
34690,"Manning, IA","Kirkman, IA",0,4,0,0,1,3,1,2,1,4,2006
34658,"Manning, IA","Defiance, IA",0,4,0,0,3,1,1,2,1,4,2006
34650,"Manning, IA","Cedar Rapids, IA",2,2,0,0,2,2,2,1,1,4,2006
34687,"Manning, IA","Jefferson, IA",3,1,0,0,2,2,2,2,0,4,2006
34726,"Manning, IA","Tennant, IA",0,4,0,0,2,2,0,1,3,4,2006
34673,"Manning, IA","Glidden, IA",2,2,0,0,2,2,3,0,1,4,2006
34634,"Manning, IA","Anita, IA",0,3,0,2,1,0,0,2,1,3,2006
34704,"Manning, IA","Missouri Valley, IA",0,2,1,1,0,2,1,2,0,3,2006
34713,"Manning, IA","Pleasant Hill, IA",1,1,1,1,0,2,1,1,1,3,2006
34644,"Manning, IA","Boone, IA",1,1,1,0,2,1,1,2,0,3,2006
34695,"Manning, IA","Le Mars, IA",2,0,1,0,3,0,0,3,0,3,2006
34708,"Manning, IA","Onawa, IA",0,3,0,0,3,0,0,3,0,3,2006
34649,"Manning, IA","Casey, IA",1,2,0,2,1,0,3,0,0,3,2006
34732,"Manning, IA","Windsor Heights, IA",0,2,1,0,3,0,2,0,1,3,2006
34685,"Manning, IA","Iowa City, IA",1,1,0,1,1,0,1,0,1,2,2006
34684,"Manning, IA","Indianola, IA",2,0,0,0,1,1,1,1,0,2,2006
34698,"Manning, IA","Magnolia, IA",0,0,2,0,0,2,0,2,0,2,2006
34712,"Manning, IA","Perry, IA",0,1,1,0,1,1,2,0,0,2,2006
34689,"Manning, IA","Kimballton, IA",0,1,1,0,2,0,0,2,0,2,2006
34692,"Manning, IA","Knoxville, IA",0,1,1,0,0,2,0,1,1,2,2006
34701,"Manning, IA","Marshalltown, IA",1,1,0,0,0,2,1,1,0,2,2006
34710,"Manning, IA","Ottumwa, IA",1,1,0,0,0,2,1,0,1,2,2006
34630,"Manning, IA","Akron, IA",1,0,1,0,2,0,1,1,0,2,2006
34711,"Manning, IA","Panora, IA",0,2,0,0,2,0,2,0,0,2,2006
34734,"Manning, IA","Woden, IA",2,0,0,0,1,1,1,1,0,2,2006
