,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
40452,"New Albin, IA","Waukon, IA",50,185,65,53,171,76,112,145,43,300,2006
40414,"New Albin, IA","Lansing, IA",20,46,26,8,51,33,40,42,10,92,2006
40428,"New Albin, IA","New Albin, IA",34,38,11,25,40,18,39,35,9,83,2006
40383,"New Albin, IA","Decorah, IA",23,45,10,23,41,14,29,32,17,78,2006
40423,"New Albin, IA","Mason City, IA",8,7,6,6,7,8,11,7,3,21,2006
40438,"New Albin, IA","Postville, IA",0,17,3,11,5,4,3,9,8,20,2006
40417,"New Albin, IA","Luana, IA",4,12,3,7,11,1,6,11,2,19,2006
40406,"New Albin, IA","Harpers Ferry, IA",6,8,1,4,5,6,7,3,5,15,2006
40450,"New Albin, IA","Waterloo, IA",8,5,2,4,7,4,4,7,4,15,2006
40437,"New Albin, IA","Perry, IA",4,9,1,8,3,3,3,8,3,14,2006
40398,"New Albin, IA","Fort Atkinson, IA",1,13,0,1,13,0,9,4,1,14,2006
40407,"New Albin, IA","Hiawatha, IA",1,11,0,5,3,4,2,6,4,12,2006
40422,"New Albin, IA","Marshalltown, IA",3,5,2,3,5,2,4,3,3,10,2006
40368,"New Albin, IA","Cedar Rapids, IA",3,5,2,2,2,6,4,1,5,10,2006
40387,"New Albin, IA","Dubuque, IA",5,1,4,0,8,2,6,3,1,10,2006
40430,"New Albin, IA","Northwood, IA",3,4,2,4,2,3,4,5,0,9,2006
40356,"New Albin, IA","Ames, IA",3,4,1,1,5,2,3,3,2,8,2006
40361,"New Albin, IA","Atlantic, IA",2,6,0,3,5,0,4,2,2,8,2006
40364,"New Albin, IA","Boone, IA",1,5,2,0,5,3,1,1,6,8,2006
40379,"New Albin, IA","Cresco, IA",6,1,0,3,3,1,6,0,1,7,2006
40385,"New Albin, IA","Des Moines, IA",0,6,0,1,3,2,2,4,0,6,2006
40367,"New Albin, IA","Cedar Falls, IA",1,2,2,0,3,2,2,1,2,5,2006
40409,"New Albin, IA","Independence, IA",2,1,2,0,3,2,3,0,2,5,2006
40363,"New Albin, IA","Bettendorf, IA",3,2,0,0,2,3,1,2,2,5,2006
40448,"New Albin, IA","Tipton, IA",0,3,2,2,1,2,1,3,1,5,2006
40453,"New Albin, IA","Waverly, IA",2,2,1,0,4,1,2,2,1,5,2006
40411,"New Albin, IA","Iowa City, IA",2,1,1,0,3,1,1,2,1,4,2006
40365,"New Albin, IA","Carroll, IA",0,3,1,0,3,1,0,1,3,4,2006
40405,"New Albin, IA","Guttenberg, IA",0,4,0,3,1,0,0,2,2,4,2006
40402,"New Albin, IA","Greenfield, IA",1,1,2,0,2,2,2,1,1,4,2006
40393,"New Albin, IA","Evansdale, IA",1,2,1,0,3,1,2,1,1,4,2006
40378,"New Albin, IA","Council Bluffs, IA",1,2,0,3,0,0,0,3,0,3,2006
40441,"New Albin, IA","Reinbeck, IA",0,2,1,0,3,0,0,2,1,3,2006
40369,"New Albin, IA","Centerville, IA",1,2,0,0,0,3,1,1,1,3,2006
40424,"New Albin, IA","Monona, IA",0,3,0,1,1,1,1,2,0,3,2006
40357,"New Albin, IA","Anamosa, IA",1,1,1,0,3,0,1,0,2,3,2006
40421,"New Albin, IA","Marquette, IA",2,1,0,0,2,1,3,0,0,3,2006
40408,"New Albin, IA","Hudson, IA",0,1,2,0,3,0,0,2,1,3,2006
40380,"New Albin, IA","Davenport, IA",3,0,0,1,2,0,2,1,0,3,2006
40456,"New Albin, IA","West Union, IA",1,2,0,0,0,3,1,2,0,3,2006
40404,"New Albin, IA","Grinnell, IA",0,3,0,2,0,1,2,1,0,3,2006
40389,"New Albin, IA","Dyersville, IA",0,2,1,0,2,1,0,3,0,3,2006
40392,"New Albin, IA","Ely, IA",1,1,0,0,2,0,1,1,0,2,2006
40390,"New Albin, IA","Elgin, IA",0,2,0,0,0,2,0,0,2,2,2006
40419,"New Albin, IA","Manchester, IA",0,2,0,0,0,2,0,1,1,2,2006
40359,"New Albin, IA","Asbury, IA",2,0,0,0,0,2,2,0,0,2,2006
40434,"New Albin, IA","Ottumwa, IA",2,0,0,1,1,0,1,1,0,2,2006
40431,"New Albin, IA","Oelwein, IA",1,1,0,0,2,0,2,0,0,2,2006
40386,"New Albin, IA","Dike, IA",1,1,0,0,1,1,1,1,0,2,2006
40388,"New Albin, IA","Dunkerton, IA",0,0,2,2,0,0,0,1,1,2,2006
40416,"New Albin, IA","Lincoln, IA",1,1,0,0,1,1,1,1,0,2,2006
40444,"New Albin, IA","Sageville, IA",1,0,1,1,1,0,2,0,0,2,2006
40366,"New Albin, IA","Castalia, IA",2,0,0,0,1,1,2,0,0,2,2006
40425,"New Albin, IA","Monticello, IA",0,0,2,1,1,0,0,1,1,2,2006
40400,"New Albin, IA","Garner, IA",1,0,1,0,1,1,2,0,0,2,2006
40447,"New Albin, IA","Tiffin, IA",0,1,1,0,0,2,1,0,1,2,2006
40427,"New Albin, IA","Muscatine, IA",0,1,1,0,0,2,1,1,0,2,2006
40432,"New Albin, IA","Osceola, IA",1,0,0,0,1,0,0,1,0,1,2006
40455,"New Albin, IA","West Burlington, IA",0,1,0,0,0,1,1,0,0,1,2006
40449,"New Albin, IA","Urbandale, IA",0,1,0,0,1,0,0,1,0,1,2006
40446,"New Albin, IA","Sioux City, IA",0,1,0,0,1,0,0,1,0,1,2006
40445,"New Albin, IA","Shenandoah, IA",0,1,0,1,0,0,0,0,1,1,2006
40442,"New Albin, IA","Rhodes, IA",0,1,0,0,1,0,0,0,1,1,2006
40458,"New Albin, IA","Williamsburg, IA",1,0,0,0,0,1,1,0,0,1,2006
40433,"New Albin, IA","Oskaloosa, IA",0,1,0,0,0,1,1,0,0,1,2006
40440,"New Albin, IA","Rathbun, IA",0,1,0,0,1,0,0,1,0,1,2006
40436,"New Albin, IA","Peosta, IA",0,1,0,1,0,0,0,1,0,1,2006
40454,"New Albin, IA","Webster City, IA",0,0,1,1,0,0,0,0,1,1,2006
40457,"New Albin, IA","Williams, IA",0,1,0,1,0,0,0,0,1,1,2006
40429,"New Albin, IA","New Hampton, IA",0,1,0,1,0,0,0,0,1,1,2006
40443,"New Albin, IA","Robins, IA",0,1,0,1,0,0,0,1,0,1,2006
40439,"New Albin, IA","Protivin, IA",0,1,0,0,1,0,0,1,0,1,2006
40451,"New Albin, IA","Waucoma, IA",0,1,0,0,0,1,0,0,1,1,2006
40435,"New Albin, IA","Oxford, IA",0,1,0,0,0,1,0,1,0,1,2006
40355,"New Albin, IA","Allison, IA",0,0,1,1,0,0,0,1,0,1,2006
40426,"New Albin, IA","Mount Pleasant, IA",1,0,0,0,1,0,1,0,0,1,2006
40420,"New Albin, IA","Manilla, IA",0,0,1,0,1,0,0,0,1,1,2006
40358,"New Albin, IA","Ankeny, IA",0,1,0,1,0,0,0,0,1,1,2006
40360,"New Albin, IA","Atalissa, IA",1,0,0,0,1,0,1,0,0,1,2006
40362,"New Albin, IA","Baldwin, IA",0,1,0,0,0,1,1,0,0,1,2006
40370,"New Albin, IA","Chariton, IA",0,1,0,0,0,1,0,1,0,1,2006
40371,"New Albin, IA","Charles City, IA",0,1,0,0,1,0,0,1,0,1,2006
40372,"New Albin, IA","Clarksville, IA",0,1,0,0,1,0,1,0,0,1,2006
40373,"New Albin, IA","Clear Lake, IA",0,1,0,0,1,0,0,1,0,1,2006
40374,"New Albin, IA","Clive, IA",1,0,0,0,1,0,1,0,0,1,2006
40375,"New Albin, IA","Columbus Junction, IA",1,0,0,1,0,0,0,0,1,1,2006
40376,"New Albin, IA","Colwell, IA",0,1,0,0,0,1,0,1,0,1,2006
40377,"New Albin, IA","Corning, IA",1,0,0,0,0,1,1,0,0,1,2006
40381,"New Albin, IA","De Soto, IA",0,1,0,0,1,0,1,0,0,1,2006
40382,"New Albin, IA","De Witt, IA",0,0,1,0,1,0,0,1,0,1,2006
40384,"New Albin, IA","Denison, IA",0,1,0,0,1,0,1,0,0,1,2006
40391,"New Albin, IA","Elkader, IA",0,0,1,0,1,0,1,0,0,1,2006
40394,"New Albin, IA","Fairbank, IA",0,0,1,0,0,1,0,1,0,1,2006
40395,"New Albin, IA","Fairfield, IA",0,0,1,0,1,0,0,1,0,1,2006
40396,"New Albin, IA","Farmersburg, IA",1,0,0,0,0,1,1,0,0,1,2006
40397,"New Albin, IA","Floyd, IA",0,0,1,0,1,0,0,1,0,1,2006
40399,"New Albin, IA","Fort Dodge, IA",0,1,0,0,0,1,0,0,1,1,2006
40401,"New Albin, IA","Garwin, IA",0,0,1,0,0,1,0,1,0,1,2006
40403,"New Albin, IA","Grimes, IA",0,1,0,1,0,0,0,0,1,1,2006
40410,"New Albin, IA","Ionia, IA",1,0,0,0,1,0,1,0,0,1,2006
