,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
48632,"Reinbeck, IA","Waterloo, IA",67,183,48,75,181,42,69,118,111,298,2006
48539,"Reinbeck, IA","Cedar Falls, IA",48,134,45,55,128,44,69,73,85,227,2006
48626,"Reinbeck, IA","Traer, IA",21,52,30,1,66,36,50,32,21,103,2006
48612,"Reinbeck, IA","Reinbeck, IA",12,26,8,2,27,17,19,16,11,46,2006
48561,"Reinbeck, IA","Evansdale, IA",9,19,10,7,24,7,15,19,4,38,2006
48625,"Reinbeck, IA","Toledo, IA",5,15,12,0,32,0,7,22,3,32,2006
48575,"Reinbeck, IA","Hudson, IA",8,12,10,5,21,4,13,4,13,30,2006
48559,"Reinbeck, IA","Elk Run Heights, IA",2,21,7,27,1,2,1,8,21,30,2006
48590,"Reinbeck, IA","Marshalltown, IA",3,21,3,8,16,3,4,14,9,27,2006
48556,"Reinbeck, IA","Elberon, IA",4,18,4,26,0,0,3,13,10,26,2006
48596,"Reinbeck, IA","Morrison, IA",4,10,8,11,8,3,5,8,9,22,2006
48551,"Reinbeck, IA","Des Moines, IA",4,10,4,0,14,4,5,9,4,18,2006
48540,"Reinbeck, IA","Cedar Rapids, IA",6,8,3,2,7,8,5,6,6,17,2006
48553,"Reinbeck, IA","Dike, IA",3,5,6,1,10,3,5,6,3,14,2006
48574,"Reinbeck, IA","Hiawatha, IA",4,9,1,1,9,4,3,5,6,14,2006
48567,"Reinbeck, IA","Garwin, IA",2,12,0,0,11,3,7,6,1,14,2006
48529,"Reinbeck, IA","Ames, IA",2,6,5,1,6,6,4,6,3,13,2006
48628,"Reinbeck, IA","Urbandale, IA",6,4,3,2,4,7,8,5,0,13,2006
48530,"Reinbeck, IA","Ankeny, IA",5,7,0,7,2,3,4,2,6,12,2006
48591,"Reinbeck, IA","Mason City, IA",0,10,1,0,9,2,1,1,9,11,2006
48580,"Reinbeck, IA","Johnston, IA",1,7,2,2,1,7,3,4,3,10,2006
48554,"Reinbeck, IA","Dubuque, IA",2,7,0,2,2,5,1,4,4,9,2006
48605,"Reinbeck, IA","Ottumwa, IA",2,5,2,4,3,2,2,5,2,9,2006
48543,"Reinbeck, IA","Clive, IA",2,3,4,0,2,7,4,4,1,9,2006
48577,"Reinbeck, IA","Iowa City, IA",4,4,1,0,6,3,5,2,2,9,2006
48555,"Reinbeck, IA","Dysart, IA",3,3,2,6,2,0,2,5,1,8,2006
48584,"Reinbeck, IA","Lincoln, IA",1,6,1,0,4,4,2,4,2,8,2006
48622,"Reinbeck, IA","Tama, IA",1,6,0,4,2,1,0,3,4,7,2006
48582,"Reinbeck, IA","La Porte City, IA",1,5,0,1,3,2,0,2,4,6,2006
48579,"Reinbeck, IA","Jesup, IA",1,3,2,1,2,3,2,2,2,6,2006
48634,"Reinbeck, IA","Waverly, IA",1,4,1,2,3,1,1,2,3,6,2006
48531,"Reinbeck, IA","Asbury, IA",1,3,2,0,2,4,2,4,0,6,2006
48547,"Reinbeck, IA","Council Bluffs, IA",1,4,0,3,1,1,1,2,2,5,2006
48635,"Reinbeck, IA","Wellsburg, IA",1,4,0,1,0,4,1,2,2,5,2006
48593,"Reinbeck, IA","Melcher-Dallas, IA",0,3,2,0,4,1,3,2,0,5,2006
48627,"Reinbeck, IA","University Park, IA",2,1,2,1,2,2,2,2,1,5,2006
48570,"Reinbeck, IA","Grundy Center, IA",2,3,0,0,2,3,2,1,2,5,2006
48558,"Reinbeck, IA","Eldridge, IA",2,2,0,0,1,3,2,2,0,4,2006
48528,"Reinbeck, IA","Altoona, IA",2,2,0,0,0,4,1,2,1,4,2006
48640,"Reinbeck, IA","Windsor Heights, IA",1,3,0,0,3,1,2,0,2,4,2006
48534,"Reinbeck, IA","Blairstown, IA",1,3,0,2,2,0,0,4,0,4,2006
48541,"Reinbeck, IA","Charles City, IA",1,1,2,1,3,0,2,2,0,4,2006
48545,"Reinbeck, IA","Conrad, IA",2,1,1,1,3,0,1,2,1,4,2006
48621,"Reinbeck, IA","Sumner, IA",1,1,2,0,4,0,1,1,2,4,2006
48562,"Reinbeck, IA","Fairfax, IA",0,4,0,0,0,4,0,3,1,4,2006
48630,"Reinbeck, IA","Vinton, IA",0,3,0,1,2,0,0,2,1,3,2006
48550,"Reinbeck, IA","Denver, IA",1,1,1,1,1,1,1,0,2,3,2006
48637,"Reinbeck, IA","West Des Moines, IA",1,0,2,0,2,1,2,1,0,3,2006
48546,"Reinbeck, IA","Coralville, IA",2,1,0,0,1,2,0,3,0,3,2006
48588,"Reinbeck, IA","Marengo, IA",1,2,0,1,1,1,0,1,2,3,2006
48576,"Reinbeck, IA","Indianola, IA",1,1,1,0,2,1,1,2,0,3,2006
48601,"Reinbeck, IA","Newton, IA",1,0,2,1,2,0,1,1,1,3,2006
48604,"Reinbeck, IA","Oskaloosa, IA",1,1,0,2,0,0,0,1,1,2,2006
48603,"Reinbeck, IA","Norwalk, IA",1,1,0,0,2,0,1,1,0,2,2006
48615,"Reinbeck, IA","Sageville, IA",1,1,0,2,0,0,0,0,2,2,2006
48599,"Reinbeck, IA","Muscatine, IA",1,1,0,0,1,1,1,1,0,2,2006
48609,"Reinbeck, IA","Pleasant Hill, IA",1,1,0,0,1,1,0,2,0,2,2006
48587,"Reinbeck, IA","Manchester, IA",2,0,0,1,1,0,2,0,0,2,2006
48597,"Reinbeck, IA","Mount Auburn, IA",0,1,1,0,2,0,0,1,1,2,2006
48606,"Reinbeck, IA","Oxford, IA",0,0,2,0,0,2,0,2,0,2,2006
48569,"Reinbeck, IA","Grinnell, IA",1,1,0,0,0,2,1,1,0,2,2006
48586,"Reinbeck, IA","Lynnville, IA",1,1,0,1,1,0,0,1,1,2,2006
48631,"Reinbeck, IA","Washington, IA",0,0,2,2,0,0,2,0,0,2,2006
48537,"Reinbeck, IA","Burlington, IA",0,2,0,0,1,1,0,0,2,2,2006
48538,"Reinbeck, IA","Carlisle, IA",0,0,2,0,2,0,1,0,1,2,2006
48542,"Reinbeck, IA","Clinton, IA",2,0,0,2,0,0,0,0,2,2,2006
48544,"Reinbeck, IA","Clutier, IA",0,2,0,2,0,0,1,1,0,2,2006
48549,"Reinbeck, IA","Davenport, IA",1,1,0,0,1,1,0,2,0,2,2006
48611,"Reinbeck, IA","Raymond, IA",2,0,0,0,2,0,2,0,0,2,2006
48566,"Reinbeck, IA","Fremont, IA",1,1,0,0,2,0,1,0,1,2,2006
48629,"Reinbeck, IA","Victor, IA",1,1,0,1,1,0,0,2,0,2,2006
48571,"Reinbeck, IA","Hampton, IA",0,0,2,2,0,0,2,0,0,2,2006
48619,"Reinbeck, IA","Steamboat Rock, IA",0,1,0,0,1,0,0,1,0,1,2006
48633,"Reinbeck, IA","Waukee, IA",0,0,1,0,1,0,0,1,0,1,2006
48618,"Reinbeck, IA","Stanhope, IA",1,0,0,1,0,0,0,0,1,1,2006
48620,"Reinbeck, IA","Strawberry Point, IA",1,0,0,0,1,0,0,1,0,1,2006
48623,"Reinbeck, IA","Tiffin, IA",1,0,0,0,1,0,1,0,0,1,2006
48636,"Reinbeck, IA","West Burlington, IA",0,1,0,1,0,0,0,0,1,1,2006
48616,"Reinbeck, IA","Shell Rock, IA",0,1,0,0,0,1,0,0,1,1,2006
48624,"Reinbeck, IA","Tipton, IA",1,0,0,1,0,0,0,1,0,1,2006
48638,"Reinbeck, IA","West Liberty, IA",0,0,1,1,0,0,1,0,0,1,2006
48614,"Reinbeck, IA","Riverside, IA",1,0,0,0,1,0,1,0,0,1,2006
48639,"Reinbeck, IA","Williamsburg, IA",0,1,0,1,0,0,0,0,1,1,2006
48613,"Reinbeck, IA","Rhodes, IA",1,0,0,1,0,0,1,0,0,1,2006
48617,"Reinbeck, IA","Sioux City, IA",0,1,0,0,0,1,0,0,1,1,2006
48527,"Reinbeck, IA","Algona, IA",0,0,1,0,1,0,1,0,0,1,2006
48610,"Reinbeck, IA","Pleasantville, IA",1,0,0,0,1,0,0,1,0,1,2006
48572,"Reinbeck, IA","Hartwick, IA",0,0,1,0,0,1,1,0,0,1,2006
48532,"Reinbeck, IA","Baxter, IA",1,0,0,1,0,0,0,1,0,1,2006
48533,"Reinbeck, IA","Bettendorf, IA",0,0,1,0,0,1,1,0,0,1,2006
48535,"Reinbeck, IA","Bloomfield, IA",0,1,0,0,1,0,0,1,0,1,2006
48536,"Reinbeck, IA","Boone, IA",1,0,0,0,1,0,1,0,0,1,2006
48548,"Reinbeck, IA","Danbury, IA",1,0,0,0,1,0,1,0,0,1,2006
48552,"Reinbeck, IA","Dexter, IA",0,1,0,0,0,1,1,0,0,1,2006
48557,"Reinbeck, IA","Eldora, IA",0,1,0,0,1,0,0,0,1,1,2006
48560,"Reinbeck, IA","Ely, IA",0,1,0,0,1,0,1,0,0,1,2006
48563,"Reinbeck, IA","Fairfield, IA",0,0,1,0,1,0,0,1,0,1,2006
48564,"Reinbeck, IA","Fort Atkinson, IA",0,1,0,0,0,1,0,0,1,1,2006
48565,"Reinbeck, IA","Fort Dodge, IA",1,0,0,0,0,1,1,0,0,1,2006
48568,"Reinbeck, IA","Gilman, IA",0,1,0,0,1,0,0,1,0,1,2006
48573,"Reinbeck, IA","Harvey, IA",0,1,0,1,0,0,0,0,1,1,2006
48608,"Reinbeck, IA","Peosta, IA",0,0,1,0,0,1,1,0,0,1,2006
48578,"Reinbeck, IA","Iowa Falls, IA",1,0,0,0,1,0,1,0,0,1,2006
48581,"Reinbeck, IA","Keokuk, IA",0,1,0,0,1,0,1,0,0,1,2006
48583,"Reinbeck, IA","Le Mars, IA",0,1,0,0,0,1,0,1,0,1,2006
48585,"Reinbeck, IA","Long Grove, IA",0,1,0,0,1,0,1,0,0,1,2006
48589,"Reinbeck, IA","Marion, IA",1,0,0,0,1,0,1,0,0,1,2006
48592,"Reinbeck, IA","Melbourne, IA",1,0,0,0,0,1,0,1,0,1,2006
