,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
53629,"Spirit Lake, IA","Spirit Lake, IA",268,696,296,436,646,178,361,633,266,1260,2006
53554,"Spirit Lake, IA","Arnolds Park, IA",146,137,30,13,207,93,165,98,50,313,2006
53628,"Spirit Lake, IA","Spencer, IA",41,58,14,14,79,20,37,42,34,113,2006
53605,"Spirit Lake, IA","Milford, IA",17,51,26,50,34,10,15,66,13,94,2006
53576,"Spirit Lake, IA","Estherville, IA",14,38,22,6,47,21,42,23,9,74,2006
53631,"Spirit Lake, IA","Superior, IA",32,27,14,15,57,1,41,23,9,73,2006
53595,"Spirit Lake, IA","Lake Park, IA",5,20,7,10,17,5,9,21,2,32,2006
53634,"Spirit Lake, IA","Wahpeton, IA",17,10,2,11,18,0,15,9,5,29,2006
53630,"Spirit Lake, IA","Storm Lake, IA",11,11,4,2,14,10,14,9,3,26,2006
53627,"Spirit Lake, IA","Sioux City, IA",7,19,0,1,14,11,8,17,1,26,2006
53623,"Spirit Lake, IA","Sheldon, IA",9,12,2,14,3,6,7,8,8,23,2006
53599,"Spirit Lake, IA","Le Mars, IA",8,4,5,0,2,15,7,7,3,17,2006
53584,"Spirit Lake, IA","Harris, IA",3,10,2,6,2,7,7,7,1,15,2006
53632,"Spirit Lake, IA","Terril, IA",3,7,4,2,10,2,4,7,3,14,2006
53571,"Spirit Lake, IA","Des Moines, IA",2,7,4,0,10,3,3,7,3,13,2006
53579,"Spirit Lake, IA","Fort Dodge, IA",3,4,4,0,6,5,7,3,1,11,2006
53564,"Spirit Lake, IA","Council Bluffs, IA",5,4,2,7,2,2,2,8,1,11,2006
53553,"Spirit Lake, IA","Armstrong, IA",0,10,0,8,1,1,0,7,3,10,2006
53618,"Spirit Lake, IA","Rock Valley, IA",5,5,0,0,10,0,4,6,0,10,2006
53569,"Spirit Lake, IA","Davenport, IA",2,5,2,2,6,1,3,2,4,9,2006
53551,"Spirit Lake, IA","Ames, IA",7,1,1,1,5,3,7,0,2,9,2006
53622,"Spirit Lake, IA","Sergeant Bluff, IA",2,5,2,0,1,8,3,5,1,9,2006
53575,"Spirit Lake, IA","Emmetsburg, IA",3,3,3,0,9,0,9,0,0,9,2006
53582,"Spirit Lake, IA","Graettinger, IA",4,5,0,7,2,0,6,0,3,9,2006
53562,"Spirit Lake, IA","Clive, IA",3,4,1,1,4,3,7,0,1,8,2006
53625,"Spirit Lake, IA","Sibley, IA",2,6,0,1,6,1,2,6,0,8,2006
53642,"Spirit Lake, IA","West Okoboji, IA",4,2,0,0,5,1,3,2,1,6,2006
53552,"Spirit Lake, IA","Ankeny, IA",2,2,2,1,0,5,2,3,1,6,2006
53598,"Spirit Lake, IA","Larrabee, IA",1,1,4,0,1,5,3,1,2,6,2006
53626,"Spirit Lake, IA","Sioux Center, IA",2,2,1,1,0,4,2,1,2,5,2006
53550,"Spirit Lake, IA","Algona, IA",1,1,3,0,1,4,1,3,1,5,2006
53638,"Spirit Lake, IA","Webster City, IA",1,3,1,0,1,4,1,3,1,5,2006
53572,"Spirit Lake, IA","Dolliver, IA",1,3,0,0,4,0,1,2,1,4,2006
53601,"Spirit Lake, IA","Marshalltown, IA",4,0,0,1,1,2,2,2,0,4,2006
53635,"Spirit Lake, IA","Wall Lake, IA",0,1,3,3,1,0,0,1,3,4,2006
53561,"Spirit Lake, IA","Cherokee, IA",0,2,2,0,3,1,0,2,2,4,2006
53577,"Spirit Lake, IA","Everly, IA",0,2,1,0,3,0,2,0,1,3,2006
53610,"Spirit Lake, IA","Onawa, IA",0,3,0,0,2,1,0,2,1,3,2006
53556,"Spirit Lake, IA","Bettendorf, IA",2,1,0,0,2,1,2,1,0,3,2006
53640,"Spirit Lake, IA","West Burlington, IA",2,1,0,0,0,3,1,2,0,3,2006
53560,"Spirit Lake, IA","Cedar Rapids, IA",3,0,0,1,2,0,2,0,1,3,2006
53602,"Spirit Lake, IA","Melcher-Dallas, IA",0,3,0,3,0,0,0,2,1,3,2006
53591,"Spirit Lake, IA","Iowa City, IA",2,1,0,0,2,1,2,1,0,3,2006
53603,"Spirit Lake, IA","Meriden, IA",0,2,0,0,1,1,0,0,2,2,2006
53609,"Spirit Lake, IA","Ocheyedan, IA",0,1,1,1,0,1,1,0,1,2,2006
53617,"Spirit Lake, IA","Rock Rapids, IA",1,1,0,0,1,1,1,1,0,2,2006
53619,"Spirit Lake, IA","Royal, IA",0,2,0,0,2,0,1,1,0,2,2006
53641,"Spirit Lake, IA","West Des Moines, IA",1,1,0,0,2,0,2,0,0,2,2006
53624,"Spirit Lake, IA","Shenandoah, IA",0,2,0,2,0,0,0,1,1,2,2006
53643,"Spirit Lake, IA","Whittemore, IA",0,0,2,0,0,2,0,0,2,2,2006
53604,"Spirit Lake, IA","Merrill, IA",0,2,0,0,1,1,0,1,1,2,2006
53633,"Spirit Lake, IA","Urbandale, IA",2,0,0,0,2,0,2,0,0,2,2006
53616,"Spirit Lake, IA","Robins, IA",2,0,0,0,0,2,2,0,0,2,2006
53597,"Spirit Lake, IA","Lamoni, IA",1,1,0,0,2,0,1,1,0,2,2006
53600,"Spirit Lake, IA","Little Rock, IA",2,0,0,2,0,0,0,2,0,2,2006
53590,"Spirit Lake, IA","Indianola, IA",1,1,0,0,2,0,2,0,0,2,2006
53563,"Spirit Lake, IA","Columbus Junction, IA",0,2,0,1,1,0,0,2,0,2,2006
53568,"Spirit Lake, IA","Dakota City, IA",1,1,0,1,0,1,1,1,0,2,2006
53580,"Spirit Lake, IA","Fostoria, IA",0,1,1,0,0,2,0,1,1,2,2006
53583,"Spirit Lake, IA","Greenville, IA",0,2,0,2,0,0,1,1,0,2,2006
53586,"Spirit Lake, IA","Hawarden, IA",0,1,1,0,0,2,1,1,0,2,2006
53588,"Spirit Lake, IA","Humboldt, IA",2,0,0,1,1,0,2,0,0,2,2006
53585,"Spirit Lake, IA","Hartley, IA",0,2,0,0,1,1,0,1,1,2,2006
53594,"Spirit Lake, IA","Lake Mills, IA",0,2,0,1,1,0,0,1,1,2,2006
53593,"Spirit Lake, IA","Johnston, IA",1,1,0,2,0,0,0,1,1,2,2006
53613,"Spirit Lake, IA","Pierson, IA",0,1,0,0,0,1,1,0,0,1,2006
53636,"Spirit Lake, IA","Wallingford, IA",0,1,0,0,1,0,0,1,0,1,2006
53607,"Spirit Lake, IA","Montezuma, IA",0,0,1,0,0,1,1,0,0,1,2006
53567,"Spirit Lake, IA","Curlew, IA",0,1,0,1,0,0,0,1,0,1,2006
53566,"Spirit Lake, IA","Crystal Lake, IA",0,1,0,1,0,0,0,0,1,1,2006
53565,"Spirit Lake, IA","Creston, IA",0,1,0,0,1,0,1,0,0,1,2006
53637,"Spirit Lake, IA","Webb, IA",0,1,0,1,0,0,0,0,1,1,2006
53573,"Spirit Lake, IA","Early, IA",0,1,0,0,1,0,0,1,0,1,2006
53606,"Spirit Lake, IA","Millerton, IA",0,1,0,0,1,0,1,0,0,1,2006
53639,"Spirit Lake, IA","West Bend, IA",0,1,0,1,0,0,0,1,0,1,2006
53559,"Spirit Lake, IA","Carter Lake, IA",1,0,0,0,0,1,0,1,0,1,2006
53558,"Spirit Lake, IA","Burlington, IA",0,0,1,0,1,0,0,0,1,1,2006
53557,"Spirit Lake, IA","Britt, IA",1,0,0,0,0,1,1,0,0,1,2006
