,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54291,"St. Olaf, IA","Elkader, IA",21,83,26,10,98,22,53,52,25,130,2006
54297,"St. Olaf, IA","Garnavillo, IA",8,16,7,7,17,7,11,17,3,31,2006
54299,"St. Olaf, IA","Guttenberg, IA",6,16,5,6,17,4,9,15,3,27,2006
54321,"St. Olaf, IA","St. Olaf, IA",5,13,4,14,5,3,6,6,10,22,2006
54276,"St. Olaf, IA","Cedar Rapids, IA",3,5,1,2,3,4,2,3,4,9,2006
54316,"St. Olaf, IA","Postville, IA",3,5,1,5,4,0,3,5,1,9,2006
54303,"St. Olaf, IA","Luana, IA",3,2,2,4,1,2,2,5,0,7,2006
54283,"St. Olaf, IA","Decorah, IA",3,1,1,2,2,1,1,3,1,5,2006
54301,"St. Olaf, IA","Hiawatha, IA",0,3,2,0,3,2,4,1,0,5,2006
54322,"St. Olaf, IA","Strawberry Point, IA",3,1,1,3,2,0,2,3,0,5,2006
54273,"St. Olaf, IA","Asbury, IA",1,2,1,0,2,2,0,2,2,4,2006
54286,"St. Olaf, IA","Dubuque, IA",1,2,1,0,2,2,1,3,0,4,2006
54304,"St. Olaf, IA","Manchester, IA",0,4,0,1,3,0,0,3,1,4,2006
54289,"St. Olaf, IA","Edgewood, IA",0,1,2,0,3,0,1,0,2,3,2006
54294,"St. Olaf, IA","Fairfax, IA",1,1,1,1,0,2,2,0,1,3,2006
54302,"St. Olaf, IA","Iowa City, IA",2,1,0,0,2,1,3,0,0,3,2006
54292,"St. Olaf, IA","Elkport, IA",2,0,1,2,1,0,3,0,0,3,2006
54325,"St. Olaf, IA","West Union, IA",1,2,0,0,2,1,2,1,0,3,2006
54306,"St. Olaf, IA","Marquette, IA",0,3,0,0,2,1,2,0,1,3,2006
54307,"St. Olaf, IA","Marshalltown, IA",0,3,0,0,3,0,1,1,1,3,2006
54284,"St. Olaf, IA","Delaware, IA",1,1,1,1,2,0,1,2,0,3,2006
54324,"St. Olaf, IA","Waukon, IA",1,1,1,0,3,0,2,1,0,3,2006
54281,"St. Olaf, IA","Cresco, IA",1,0,2,2,1,0,0,3,0,3,2006
54313,"St. Olaf, IA","Oelwein, IA",0,2,0,0,1,1,2,0,0,2,2006
54319,"St. Olaf, IA","Reinbeck, IA",0,1,1,0,2,0,0,2,0,2,2006
54271,"St. Olaf, IA","Ames, IA",0,1,1,0,1,1,2,0,0,2,2006
54278,"St. Olaf, IA","Clive, IA",1,1,0,0,1,1,1,1,0,2,2006
54288,"St. Olaf, IA","Dysart, IA",0,2,0,0,0,2,0,2,0,2,2006
54279,"St. Olaf, IA","Coralville, IA",1,1,0,0,2,0,1,1,0,2,2006
54285,"St. Olaf, IA","Des Moines, IA",0,2,0,0,1,1,0,2,0,2,2006
54287,"St. Olaf, IA","Dyersville, IA",1,1,0,1,0,1,0,2,0,2,2006
54282,"St. Olaf, IA","Davenport, IA",1,1,0,0,1,1,0,2,0,2,2006
54274,"St. Olaf, IA","Aurora, IA",1,1,0,1,0,1,1,0,1,2,2006
54277,"St. Olaf, IA","Clarion, IA",0,1,0,0,1,0,0,0,1,1,2006
54323,"St. Olaf, IA","Wadena, IA",1,0,0,1,0,0,1,0,0,1,2006
54315,"St. Olaf, IA","Ottumwa, IA",1,0,0,0,0,1,0,1,0,1,2006
54275,"St. Olaf, IA","Castalia, IA",0,1,0,1,0,0,0,0,1,1,2006
54320,"St. Olaf, IA","Sac City, IA",1,0,0,0,1,0,1,0,0,1,2006
54326,"St. Olaf, IA","Winthrop, IA",0,1,0,1,0,0,0,0,1,1,2006
54318,"St. Olaf, IA","Randall, IA",0,1,0,0,0,1,0,1,0,1,2006
54317,"St. Olaf, IA","Randalia, IA",0,1,0,0,1,0,0,1,0,1,2006
54280,"St. Olaf, IA","Council Bluffs, IA",0,1,0,0,1,0,1,0,0,1,2006
54296,"St. Olaf, IA","Fayette, IA",0,0,1,1,0,0,0,1,0,1,2006
54312,"St. Olaf, IA","Newell, IA",0,1,0,0,1,0,0,1,0,1,2006
54314,"St. Olaf, IA","Osage, IA",0,0,1,0,0,1,1,0,0,1,2006
54298,"St. Olaf, IA","Grinnell, IA",1,0,0,0,0,1,1,0,0,1,2006
54311,"St. Olaf, IA","New Hampton, IA",0,1,0,0,1,0,0,1,0,1,2006
54310,"St. Olaf, IA","New Albin, IA",0,1,0,0,1,0,1,0,0,1,2006
54309,"St. Olaf, IA","Mount Pleasant, IA",0,1,0,0,0,1,0,1,0,1,2006
54308,"St. Olaf, IA","Morley, IA",0,1,0,0,1,0,0,1,0,1,2006
54305,"St. Olaf, IA","Maquoketa, IA",0,1,0,1,0,0,0,1,0,1,2006
54290,"St. Olaf, IA","Elgin, IA",0,1,0,1,0,0,0,1,0,1,2006
54293,"St. Olaf, IA","Evansdale, IA",0,1,0,1,0,0,0,1,0,1,2006
54295,"St. Olaf, IA","Farmersburg, IA",0,1,0,0,1,0,1,0,0,1,2006
54300,"St. Olaf, IA","Harvey, IA",1,0,0,0,1,0,0,1,0,1,2006
54272,"St. Olaf, IA","Anamosa, IA",0,0,1,0,1,0,1,0,0,1,2006
54327,"St. Olaf, IA","Worthington, IA",1,0,0,0,0,1,0,1,0,1,2006
