,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59949,"Waukon, IA","Waukon, IA",317,638,350,263,759,283,486,643,176,1305,2006
59835,"Waukon, IA","Decorah, IA",108,170,44,123,156,43,74,180,68,322,2006
59919,"Waukon, IA","Postville, IA",44,119,51,107,59,48,66,97,51,214,2006
59888,"Waukon, IA","Luana, IA",34,62,22,33,74,11,46,55,17,118,2006
59905,"Waukon, IA","New Albin, IA",28,39,21,26,44,18,36,42,10,88,2006
59882,"Waukon, IA","Lansing, IA",8,35,15,3,26,29,13,43,2,58,2006
59812,"Waukon, IA","Cedar Rapids, IA",15,18,10,4,22,17,15,13,15,43,2006
59854,"Waukon, IA","Fort Atkinson, IA",3,20,10,4,24,5,14,7,12,33,2006
59810,"Waukon, IA","Castalia, IA",2,22,8,18,8,6,6,16,10,32,2006
59805,"Waukon, IA","Boone, IA",10,15,5,0,9,21,12,12,6,30,2006
59837,"Waukon, IA","Des Moines, IA",3,16,9,0,21,7,7,11,10,28,2006
59897,"Waukon, IA","Mason City, IA",9,12,7,2,14,12,12,10,6,28,2006
59954,"Waukon, IA","West Union, IA",8,12,5,4,16,5,9,15,1,25,2006
59946,"Waukon, IA","Waterloo, IA",11,9,5,1,20,4,8,10,7,25,2006
59868,"Waukon, IA","Harpers Ferry, IA",7,9,7,1,17,5,9,7,7,23,2006
59838,"Waukon, IA","Dubuque, IA",11,8,3,4,10,8,9,10,3,22,2006
59811,"Waukon, IA","Cedar Falls, IA",10,9,2,2,13,6,10,5,6,21,2006
59809,"Waukon, IA","Carroll, IA",8,12,1,0,8,13,9,9,3,21,2006
59896,"Waukon, IA","Marshalltown, IA",5,12,2,2,8,9,6,6,7,19,2006
59834,"Waukon, IA","De Witt, IA",5,9,2,1,10,5,11,4,1,16,2006
59873,"Waukon, IA","Iowa City, IA",9,5,1,1,11,3,7,7,1,15,2006
59832,"Waukon, IA","Davenport, IA",6,6,3,1,10,4,4,4,7,15,2006
59911,"Waukon, IA","Oelwein, IA",5,5,4,0,13,1,9,4,1,14,2006
59917,"Waukon, IA","Perry, IA",5,9,0,11,0,3,2,8,4,14,2006
59869,"Waukon, IA","Hiawatha, IA",5,7,1,7,3,3,3,9,1,13,2006
59830,"Waukon, IA","Cresco, IA",1,10,1,10,1,1,2,9,1,12,2006
59916,"Waukon, IA","Parkersburg, IA",2,4,5,2,6,3,2,7,2,11,2006
59900,"Waukon, IA","Monona, IA",4,5,2,6,3,2,1,8,2,11,2006
59792,"Waukon, IA","Ames, IA",7,2,2,0,6,5,7,3,1,11,2006
59865,"Waukon, IA","Guttenberg, IA",1,8,0,3,5,1,2,7,0,9,2006
59890,"Waukon, IA","Manchester, IA",1,8,0,1,6,2,5,3,1,9,2006
59793,"Waukon, IA","Anamosa, IA",0,8,0,0,8,0,0,1,7,8,2006
59950,"Waukon, IA","Waverly, IA",4,2,2,2,5,1,2,6,0,8,2006
59796,"Waukon, IA","Asbury, IA",6,1,0,0,2,5,5,2,0,7,2006
59895,"Waukon, IA","Marquette, IA",5,2,0,4,0,3,4,3,0,7,2006
59852,"Waukon, IA","Floyd, IA",4,2,1,0,3,4,3,4,0,7,2006
59929,"Waukon, IA","Robins, IA",1,5,1,1,4,2,4,1,2,7,2006
59821,"Waukon, IA","Clive, IA",3,2,1,0,4,2,3,3,0,6,2006
59839,"Waukon, IA","Dyersville, IA",1,3,2,0,3,3,3,2,1,6,2006
59927,"Waukon, IA","Ridgeway, IA",0,4,2,2,2,2,3,1,2,6,2006
59844,"Waukon, IA","Elkader, IA",1,5,0,0,4,2,0,3,3,6,2006
59836,"Waukon, IA","Denison, IA",2,3,0,1,3,1,1,2,2,5,2006
59826,"Waukon, IA","Coralville, IA",2,3,0,1,1,3,2,3,0,5,2006
59876,"Waukon, IA","Joice, IA",1,2,2,2,1,2,2,3,0,5,2006
59798,"Waukon, IA","Atlantic, IA",2,3,0,1,3,1,2,1,2,5,2006
59829,"Waukon, IA","Council Bluffs, IA",2,1,1,3,0,1,1,3,0,4,2006
59870,"Waukon, IA","Hudson, IA",0,4,0,0,4,0,0,2,2,4,2006
59853,"Waukon, IA","Forest City, IA",3,0,1,0,2,2,3,0,1,4,2006
59933,"Waukon, IA","Shell Rock, IA",2,0,2,0,3,1,1,2,1,4,2006
59841,"Waukon, IA","Eldora, IA",0,1,3,2,1,1,0,3,1,4,2006
59871,"Waukon, IA","Independence, IA",1,2,1,2,1,1,2,2,0,4,2006
59892,"Waukon, IA","Marble Rock, IA",3,1,0,3,0,1,0,3,1,4,2006
59957,"Waukon, IA","Wilton, IA",1,2,1,4,0,0,1,1,2,4,2006
59926,"Waukon, IA","Reinbeck, IA",0,0,4,0,4,0,0,4,0,4,2006
