,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
7786,"Cantril, IA","Farmington, IA",3,4,2,4,0,5,3,4,2,9,2006
7780,"Cantril, IA","Bonaparte, IA",1,4,3,4,1,3,5,3,0,8,2006
7784,"Cantril, IA","Eldon, IA",3,4,0,4,1,2,3,4,0,7,2006
7792,"Cantril, IA","Milton, IA",3,4,0,6,1,0,0,7,0,7,2006
7779,"Cantril, IA","Bloomfield, IA",0,5,1,6,0,0,3,3,0,6,2006
7782,"Cantril, IA","Cantril, IA",1,4,1,3,0,3,2,2,2,6,2006
7783,"Cantril, IA","Donnellson, IA",1,4,0,1,4,0,3,2,0,5,2006
7791,"Cantril, IA","Keosauqua, IA",1,1,1,2,1,0,0,3,0,3,2006
7788,"Cantril, IA","Fort Madison, IA",1,1,0,1,0,1,0,2,0,2,2006
7795,"Cantril, IA","Ottumwa, IA",0,2,0,2,0,0,0,2,0,2,2006
7794,"Cantril, IA","Mount Pleasant, IA",0,2,0,2,0,0,2,0,0,2,2006
7793,"Cantril, IA","Moulton, IA",0,2,0,2,0,0,1,1,0,2,2006
7799,"Cantril, IA","Wapello, IA",0,2,0,2,0,0,0,2,0,2,2006
7789,"Cantril, IA","Hillsboro, IA",1,1,0,0,2,0,0,2,0,2,2006
7785,"Cantril, IA","Fairfield, IA",0,1,1,1,0,1,2,0,0,2,2006
7790,"Cantril, IA","Keokuk, IA",0,1,0,0,0,1,0,1,0,1,2006
7778,"Cantril, IA","Birmingham, IA",0,1,0,1,0,0,0,1,0,1,2006
7787,"Cantril, IA","Floris, IA",1,0,0,0,0,1,1,0,0,1,2006
7781,"Cantril, IA","Burlington, IA",1,0,0,0,0,1,1,0,0,1,2006
7796,"Cantril, IA","Packwood, IA",0,1,0,1,0,0,0,1,0,1,2006
7797,"Cantril, IA","Salem, IA",0,1,0,0,1,0,1,0,0,1,2006
7798,"Cantril, IA","St. Paul, IA",0,0,1,0,0,1,0,1,0,1,2006
7777,"Cantril, IA","Albia, IA",0,1,0,1,0,0,0,1,0,1,2006
