,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8247,"Cascade, IA","Dyersville, IA",19,49,23,22,55,14,31,41,19,91,2006
8246,"Cascade, IA","Dubuque, IA",14,13,10,4,30,3,10,22,5,37,2006
8268,"Cascade, IA","Peosta, IA",4,17,15,4,27,5,14,15,7,36,2006
8265,"Cascade, IA","New Vienna, IA",4,19,9,6,22,4,7,20,5,32,2006
8235,"Cascade, IA","Cascade, IA",7,12,11,8,15,7,8,16,6,30,2006
8253,"Cascade, IA","Farley, IA",3,13,10,4,20,2,9,9,8,26,2006
8230,"Cascade, IA","Asbury, IA",4,12,5,3,16,2,8,8,5,21,2006
8281,"Cascade, IA","Worthington, IA",4,9,5,3,10,5,11,5,2,18,2006
8264,"Cascade, IA","Monticello, IA",1,10,7,3,12,3,4,7,7,18,2006
8244,"Cascade, IA","Delaware, IA",9,6,2,7,6,4,6,7,4,17,2006
8282,"Cascade, IA","Zwingle, IA",0,8,6,0,13,1,2,9,3,14,2006
8261,"Cascade, IA","Manchester, IA",3,8,2,1,12,0,7,5,1,13,2006
8252,"Cascade, IA","Epworth, IA",4,5,4,3,7,3,3,5,5,13,2006
8238,"Cascade, IA","Center Junction, IA",3,5,4,5,7,0,2,7,3,12,2006
8259,"Cascade, IA","Hopkinton, IA",3,5,1,1,2,6,4,5,0,9,2006
8256,"Cascade, IA","Greeley, IA",2,6,0,1,4,3,5,3,0,8,2006
8232,"Cascade, IA","Balltown, IA",0,4,2,5,1,0,1,4,1,6,2006
8251,"Cascade, IA","Elkport, IA",5,0,0,1,3,1,1,3,1,5,2006
8254,"Cascade, IA","Graf, IA",0,3,2,0,5,0,2,2,1,5,2006
8257,"Cascade, IA","Guttenberg, IA",3,1,0,1,3,0,3,1,0,4,2006
8231,"Cascade, IA","Baldwin, IA",0,3,1,0,3,1,1,3,0,4,2006
8233,"Cascade, IA","Bellevue, IA",0,1,3,0,4,0,4,0,0,4,2006
8260,"Cascade, IA","Iowa City, IA",2,1,1,0,2,2,2,1,1,4,2006
8237,"Cascade, IA","Cedar Rapids, IA",0,2,1,1,2,0,0,2,1,3,2006
8279,"Cascade, IA","Waterloo, IA",0,1,2,0,3,0,1,0,2,3,2006
8276,"Cascade, IA","Urbana, IA",0,1,2,0,3,0,1,2,0,3,2006
8273,"Cascade, IA","Ryan, IA",0,1,2,1,1,1,0,3,0,3,2006
8266,"Cascade, IA","North Liberty, IA",0,0,2,1,1,0,1,1,0,2,2006
8243,"Cascade, IA","Decorah, IA",0,2,0,0,2,0,1,1,0,2,2006
8263,"Cascade, IA","Millville, IA",2,0,0,0,2,0,1,1,0,2,2006
8269,"Cascade, IA","Prairieburg, IA",1,1,0,0,1,1,0,2,0,2,2006
8258,"Cascade, IA","Hiawatha, IA",1,1,0,0,2,0,1,1,0,2,2006
8271,"Cascade, IA","Ridgeway, IA",1,0,1,0,2,0,2,0,0,2,2006
8241,"Cascade, IA","Davenport, IA",1,1,0,0,2,0,1,0,1,2,2006
8274,"Cascade, IA","Sageville, IA",0,1,0,0,1,0,1,0,0,1,2006
8275,"Cascade, IA","Strawberry Point, IA",1,0,0,1,0,0,0,1,0,1,2006
8277,"Cascade, IA","Wadena, IA",0,0,1,0,0,1,0,1,0,1,2006
8278,"Cascade, IA","Washington, IA",0,1,0,0,1,0,1,0,0,1,2006
8272,"Cascade, IA","Robins, IA",0,1,0,0,1,0,0,1,0,1,2006
8280,"Cascade, IA","Waverly, IA",0,1,0,0,1,0,0,1,0,1,2006
8245,"Cascade, IA","Denver, IA",1,0,0,0,1,0,0,1,0,1,2006
8234,"Cascade, IA","Blue Grass, IA",1,0,0,0,1,0,1,0,0,1,2006
8270,"Cascade, IA","Protivin, IA",0,0,1,0,1,0,1,0,0,1,2006
8267,"Cascade, IA","Oxford Junction, IA",0,1,0,0,1,0,0,1,0,1,2006
8262,"Cascade, IA","Marion, IA",0,1,0,0,1,0,0,1,0,1,2006
8236,"Cascade, IA","Castalia, IA",1,0,0,0,1,0,1,0,0,1,2006
8239,"Cascade, IA","Clinton, IA",1,0,0,0,1,0,1,0,0,1,2006
8255,"Cascade, IA","Grand Mound, IA",0,1,0,0,1,0,1,0,0,1,2006
8240,"Cascade, IA","Coralville, IA",0,1,0,0,0,1,1,0,0,1,2006
8250,"Cascade, IA","Elkader, IA",0,0,1,0,1,0,1,0,0,1,2006
8249,"Cascade, IA","Eldridge, IA",0,1,0,0,1,0,0,1,0,1,2006
8248,"Cascade, IA","Edgewood, IA",0,0,1,1,0,0,0,1,0,1,2006
8242,"Cascade, IA","De Witt, IA",0,1,0,0,1,0,0,0,1,1,2006
8229,"Cascade, IA","Anamosa, IA",0,0,1,0,1,0,1,0,0,1,2006
