,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
12398,"Colwell, IA","Osage, IA",8,12,13,4,22,7,19,13,1,33,2006
12390,"Colwell, IA","McIntire, IA",18,12,3,4,22,7,17,15,1,33,2006
12370,"Colwell, IA","Colwell, IA",7,10,9,4,12,10,17,8,1,26,2006
12405,"Colwell, IA","Stacyville, IA",6,11,4,3,13,5,10,9,2,21,2006
12368,"Colwell, IA","Chester, IA",5,7,4,0,10,6,9,7,0,16,2006
12367,"Colwell, IA","Charles City, IA",4,7,4,2,10,3,9,6,0,15,2006
12375,"Colwell, IA","Floyd, IA",0,5,6,1,4,6,3,7,1,11,2006
12384,"Colwell, IA","Lawler, IA",1,4,4,3,6,0,7,2,0,9,2006
12389,"Colwell, IA","Mason City, IA",1,8,0,1,5,3,4,1,4,9,2006
12373,"Colwell, IA","Elma, IA",1,6,0,1,4,2,4,3,0,7,2006
12395,"Colwell, IA","New Hampton, IA",2,3,1,2,4,0,2,4,0,6,2006
12388,"Colwell, IA","Marble Rock, IA",1,3,2,1,4,1,3,3,0,6,2006
12393,"Colwell, IA","Nashua, IA",2,1,2,0,4,1,4,1,0,5,2006
12365,"Colwell, IA","Alta Vista, IA",0,2,2,1,3,0,1,3,0,4,2006
12391,"Colwell, IA","Mitchell, IA",0,2,1,0,3,0,1,2,0,3,2006
12369,"Colwell, IA","Clear Lake, IA",2,1,0,0,1,2,0,1,2,3,2006
12404,"Colwell, IA","St. Ansgar, IA",0,3,0,1,1,1,1,1,1,3,2006
12381,"Colwell, IA","Ionia, IA",0,1,1,0,2,0,2,0,0,2,2006
12396,"Colwell, IA","Nora Springs, IA",0,2,0,0,2,0,2,0,0,2,2006
12407,"Colwell, IA","Waukon, IA",2,0,0,0,0,2,0,2,0,2,2006
12399,"Colwell, IA","Parkersburg, IA",0,2,0,0,2,0,0,2,0,2,2006
12400,"Colwell, IA","Plainfield, IA",0,1,1,1,1,0,0,2,0,2,2006
12401,"Colwell, IA","Protivin, IA",0,2,0,1,1,0,2,0,0,2,2006
12377,"Colwell, IA","Fredericksburg, IA",1,1,0,0,2,0,2,0,0,2,2006
12397,"Colwell, IA","Northwood, IA",0,1,0,0,1,0,0,1,0,1,2006
12392,"Colwell, IA","Mount Auburn, IA",0,1,0,0,0,1,1,0,0,1,2006
12394,"Colwell, IA","New Albin, IA",0,1,0,0,0,1,0,1,0,1,2006
12402,"Colwell, IA","Rockford, IA",1,0,0,0,1,0,0,1,0,1,2006
12403,"Colwell, IA","Sioux City, IA",0,1,0,1,0,0,0,1,0,1,2006
12406,"Colwell, IA","Waterloo, IA",0,1,0,0,0,1,0,1,0,1,2006
12362,"Colwell, IA","Akron, IA",1,0,0,0,0,1,1,0,0,1,2006
12387,"Colwell, IA","Manly, IA",0,1,0,0,1,0,0,1,0,1,2006
12386,"Colwell, IA","Liscomb, IA",1,0,0,0,0,1,0,1,0,1,2006
12363,"Colwell, IA","Algona, IA",1,0,0,1,0,0,0,1,0,1,2006
12383,"Colwell, IA","La Porte City, IA",0,1,0,0,1,0,1,0,0,1,2006
12382,"Colwell, IA","Iowa City, IA",0,1,0,0,0,1,0,0,1,1,2006
12380,"Colwell, IA","Humboldt, IA",1,0,0,0,0,1,1,0,0,1,2006
12379,"Colwell, IA","Hazleton, IA",0,0,1,0,1,0,1,0,0,1,2006
12378,"Colwell, IA","Hampton, IA",1,0,0,0,1,0,0,1,0,1,2006
12376,"Colwell, IA","Forest City, IA",0,1,0,1,0,0,0,1,0,1,2006
12374,"Colwell, IA","Fairfield, IA",0,1,0,1,0,0,0,1,0,1,2006
12372,"Colwell, IA","Decorah, IA",0,0,1,1,0,0,1,0,0,1,2006
12371,"Colwell, IA","Cresco, IA",1,0,0,0,1,0,0,1,0,1,2006
12366,"Colwell, IA","Castalia, IA",1,0,0,0,1,0,1,0,0,1,2006
12364,"Colwell, IA","Allison, IA",1,0,0,0,1,0,0,1,0,1,2006
12385,"Colwell, IA","Ledyard, IA",0,0,1,1,0,0,0,1,0,1,2006
