,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
16459,"Denver, IA","Denver, IA",53,115,71,65,153,21,110,83,46,239,2006
16452,"Denver, IA","Cedar Falls, IA",55,74,34,71,78,14,55,65,43,163,2006
16534,"Denver, IA","Waterloo, IA",27,102,25,78,56,20,30,102,22,154,2006
16486,"Denver, IA","Janesville, IA",23,61,31,32,71,12,52,37,26,115,2006
16516,"Denver, IA","Readlyn, IA",19,45,13,38,38,1,21,39,17,77,2006
16535,"Denver, IA","Waverly, IA",15,38,14,44,19,4,17,31,19,67,2006
16521,"Denver, IA","Shell Rock, IA",10,11,8,19,4,6,4,18,7,29,2006
16463,"Denver, IA","Elk Run Heights, IA",4,23,1,14,12,2,4,14,10,28,2006
16464,"Denver, IA","Evansdale, IA",3,14,4,14,6,1,4,11,6,21,2006
16501,"Denver, IA","New Hampton, IA",1,16,3,14,3,3,2,13,5,20,2006
16515,"Denver, IA","Raymond, IA",2,16,1,12,7,0,7,10,2,19,2006
16500,"Denver, IA","Nashua, IA",5,7,7,17,0,2,3,8,8,19,2006
16511,"Denver, IA","Parkersburg, IA",6,10,2,13,3,2,2,11,5,18,2006
16505,"Denver, IA","Oelwein, IA",7,6,3,13,2,1,6,8,2,16,2006
16502,"Denver, IA","New Hartford, IA",5,5,1,9,2,0,1,4,6,11,2006
16469,"Denver, IA","Frederika, IA",3,6,1,6,3,1,5,4,1,10,2006
16465,"Denver, IA","Fairbank, IA",2,7,1,4,4,2,3,3,4,10,2006
16453,"Denver, IA","Charles City, IA",0,9,0,9,0,0,1,0,8,9,2006
16513,"Denver, IA","Plainfield, IA",1,5,2,3,5,0,3,3,2,8,2006
16495,"Denver, IA","Marshalltown, IA",2,2,3,4,1,2,4,1,2,7,2006
16532,"Denver, IA","Vinton, IA",3,4,0,7,0,0,0,7,0,7,2006
16526,"Denver, IA","Sumner, IA",2,4,0,2,4,0,4,1,1,6,2006
16530,"Denver, IA","Tripoli, IA",2,3,1,1,5,0,2,3,1,6,2006
16471,"Denver, IA","Gilbertville, IA",2,2,1,4,1,0,1,2,2,5,2006
16479,"Denver, IA","Hazleton, IA",1,3,1,0,5,0,2,1,2,5,2006
16456,"Denver, IA","Council Bluffs, IA",3,2,0,2,3,0,3,0,2,5,2006
16478,"Denver, IA","Hawkeye, IA",1,3,0,1,3,0,0,1,3,4,2006
16499,"Denver, IA","Morrison, IA",3,1,0,1,2,1,1,2,1,4,2006
16537,"Denver, IA","West Union, IA",2,2,0,2,0,2,1,1,2,4,2006
16484,"Denver, IA","Iowa City, IA",4,0,0,0,2,2,3,1,0,4,2006
16483,"Denver, IA","Indianola, IA",3,1,0,1,2,1,3,0,1,4,2006
16461,"Denver, IA","Dunkerton, IA",1,1,2,1,3,0,3,1,0,4,2006
16507,"Denver, IA","Owasa, IA",2,1,1,0,3,1,4,0,0,4,2006
16538,"Denver, IA","Winthrop, IA",0,3,0,3,0,0,0,0,3,3,2006
16517,"Denver, IA","Reinbeck, IA",1,1,1,1,1,1,1,0,2,3,2006
16522,"Denver, IA","Springville, IA",1,2,0,1,1,1,2,0,1,3,2006
16466,"Denver, IA","Floyd, IA",1,2,0,0,2,1,3,0,0,3,2006
16454,"Denver, IA","Clear Lake, IA",0,0,3,2,1,0,1,2,0,3,2006
16450,"Denver, IA","Carlisle, IA",2,1,0,1,2,0,2,0,1,3,2006
16503,"Denver, IA","Nora Springs, IA",0,3,0,3,0,0,0,0,3,3,2006
16487,"Denver, IA","Jesup, IA",1,2,0,2,1,0,2,1,0,3,2006
16458,"Denver, IA","Decorah, IA",1,1,1,1,0,2,2,1,0,3,2006
16473,"Denver, IA","Grundy Center, IA",2,1,0,2,0,1,0,3,0,3,2006
16496,"Denver, IA","Mason City, IA",1,2,0,0,1,2,2,1,0,3,2006
16481,"Denver, IA","Hudson, IA",0,2,1,3,0,0,1,2,0,3,2006
16474,"Denver, IA","Guttenberg, IA",2,1,0,0,0,3,2,1,0,3,2006
16475,"Denver, IA","Hampton, IA",0,3,0,0,3,0,0,0,3,3,2006
16514,"Denver, IA","Randalia, IA",2,0,0,2,0,0,0,2,0,2,2006
16512,"Denver, IA","Peosta, IA",2,0,0,0,0,2,2,0,0,2,2006
16519,"Denver, IA","Riverside, IA",2,0,0,0,2,0,1,1,0,2,2006
16533,"Denver, IA","Walker, IA",0,2,0,1,0,1,0,1,1,2,2006
16498,"Denver, IA","Monona, IA",1,1,0,0,0,2,2,0,0,2,2006
16468,"Denver, IA","Fredericksburg, IA",0,2,0,1,1,0,0,2,0,2,2006
16444,"Denver, IA","Allison, IA",2,0,0,1,1,0,0,2,0,2,2006
16492,"Denver, IA","Lisbon, IA",2,0,0,2,0,0,0,1,1,2,2006
16531,"Denver, IA","Urbana, IA",1,1,0,0,2,0,1,1,0,2,2006
16491,"Denver, IA","Lincoln, IA",0,1,1,0,1,1,1,1,0,2,2006
16490,"Denver, IA","Le Grand, IA",0,1,1,0,1,1,0,2,0,2,2006
16462,"Denver, IA","Dysart, IA",1,1,0,0,1,1,1,1,0,2,2006
16488,"Denver, IA","La Porte City, IA",0,1,1,1,1,0,1,1,0,2,2006
16493,"Denver, IA","Luana, IA",0,2,0,1,1,0,0,1,1,2,2006
16482,"Denver, IA","Independence, IA",1,0,1,1,0,1,0,2,0,2,2006
16460,"Denver, IA","Dike, IA",1,0,1,1,1,0,0,1,1,2,2006
16527,"Denver, IA","Swan, IA",0,1,0,1,0,0,0,0,1,1,2006
16539,"Denver, IA","Worthington, IA",1,0,0,0,0,1,1,0,0,1,2006
16529,"Denver, IA","Tennant, IA",1,0,0,1,0,0,0,1,0,1,2006
16528,"Denver, IA","Tama, IA",0,1,0,0,0,1,1,0,0,1,2006
16523,"Denver, IA","St. Ansgar, IA",1,0,0,0,1,0,1,0,0,1,2006
16518,"Denver, IA","Ridgeway, IA",0,1,0,1,0,0,0,0,1,1,2006
16525,"Denver, IA","Stanley, IA",1,0,0,1,0,0,0,0,1,1,2006
16536,"Denver, IA","Wellsburg, IA",1,0,0,1,0,0,0,0,1,1,2006
16524,"Denver, IA","St. Marys, IA",0,1,0,1,0,0,0,1,0,1,2006
16520,"Denver, IA","Sandyville, IA",0,1,0,1,0,0,0,1,0,1,2006
16443,"Denver, IA","Ackley, IA",1,0,0,0,1,0,0,1,0,1,2006
16510,"Denver, IA","Panorama Park, IA",0,1,0,0,0,1,1,0,0,1,2006
16509,"Denver, IA","Palo, IA",0,0,1,1,0,0,0,1,0,1,2006
16445,"Denver, IA","Asbury, IA",0,1,0,0,0,1,1,0,0,1,2006
16446,"Denver, IA","Atkins, IA",1,0,0,0,0,1,1,0,0,1,2006
16447,"Denver, IA","Aurora, IA",0,1,0,0,1,0,0,1,0,1,2006
16448,"Denver, IA","Balltown, IA",1,0,0,0,1,0,1,0,0,1,2006
16449,"Denver, IA","Bristow, IA",0,1,0,0,1,0,1,0,0,1,2006
16451,"Denver, IA","Castalia, IA",0,0,1,1,0,0,0,1,0,1,2006
16455,"Denver, IA","Colwell, IA",0,1,0,1,0,0,0,1,0,1,2006
16457,"Denver, IA","Cresco, IA",1,0,0,0,0,1,0,1,0,1,2006
16467,"Denver, IA","Fort Atkinson, IA",0,1,0,1,0,0,0,0,1,1,2006
16470,"Denver, IA","Garwin, IA",0,1,0,1,0,0,0,0,1,1,2006
16472,"Denver, IA","Greene, IA",1,0,0,1,0,0,0,1,0,1,2006
16476,"Denver, IA","Harlan, IA",1,0,0,1,0,0,0,1,0,1,2006
16477,"Denver, IA","Harpers Ferry, IA",0,0,1,0,1,0,0,1,0,1,2006
16480,"Denver, IA","Hills, IA",1,0,0,0,1,0,0,1,0,1,2006
16485,"Denver, IA","Iowa Falls, IA",0,1,0,0,0,1,1,0,0,1,2006
16489,"Denver, IA","Lawler, IA",0,1,0,1,0,0,0,1,0,1,2006
16494,"Denver, IA","Marquette, IA",0,1,0,0,0,1,0,1,0,1,2006
16497,"Denver, IA","Melcher-Dallas, IA",1,0,0,0,0,1,1,0,0,1,2006
16504,"Denver, IA","Norwalk, IA",0,1,0,1,0,0,0,0,1,1,2006
16506,"Denver, IA","Osage, IA",1,0,0,0,0,1,1,0,0,1,2006
16508,"Denver, IA","Oxford, IA",1,0,0,0,0,1,1,0,0,1,2006
16540,"Denver, IA","Zwingle, IA",1,0,0,0,1,0,1,0,0,1,2006
