,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
17503,"Dolliver, IA","Estherville, IA",36,32,9,19,57,1,14,56,7,77,2006
17499,"Dolliver, IA","Dolliver, IA",4,9,7,5,13,2,6,12,2,20,2006
17506,"Dolliver, IA","Graettinger, IA",4,9,0,5,8,0,1,12,0,13,2006
17491,"Dolliver, IA","Armstrong, IA",2,6,2,5,3,2,0,7,3,10,2006
17502,"Dolliver, IA","Emmetsburg, IA",3,5,1,2,6,1,2,5,2,9,2006
17523,"Dolliver, IA","Wallingford, IA",1,5,2,3,3,2,2,4,2,8,2006
17518,"Dolliver, IA","Spencer, IA",3,1,3,1,4,2,2,3,2,7,2006
17493,"Dolliver, IA","Audubon, IA",1,3,1,2,3,0,0,2,3,5,2006
17504,"Dolliver, IA","Fort Dodge, IA",1,1,3,0,4,1,2,3,0,5,2006
17519,"Dolliver, IA","Spirit Lake, IA",1,3,0,0,4,0,1,2,1,4,2006
17516,"Dolliver, IA","Ruthven, IA",0,3,1,1,2,1,1,2,1,4,2006
17490,"Dolliver, IA","Ankeny, IA",2,0,0,0,2,0,1,1,0,2,2006
17511,"Dolliver, IA","Mason City, IA",2,0,0,0,1,1,0,2,0,2,2006
17521,"Dolliver, IA","Terril, IA",0,2,0,0,2,0,0,2,0,2,2006
17514,"Dolliver, IA","Norwalk, IA",1,0,0,0,1,0,0,1,0,1,2006
17513,"Dolliver, IA","Northwood, IA",1,0,0,0,1,0,0,1,0,1,2006
17489,"Dolliver, IA","Ames, IA",0,1,0,0,1,0,0,0,1,1,2006
17517,"Dolliver, IA","Sioux City, IA",0,0,1,0,0,1,0,1,0,1,2006
17515,"Dolliver, IA","Oyens, IA",0,1,0,0,0,1,1,0,0,1,2006
17520,"Dolliver, IA","Stacyville, IA",1,0,0,0,1,0,0,1,0,1,2006
17522,"Dolliver, IA","Urbandale, IA",0,1,0,0,1,0,0,1,0,1,2006
17512,"Dolliver, IA","Merrill, IA",0,1,0,0,0,1,0,0,1,1,2006
17507,"Dolliver, IA","Kingsley, IA",0,1,0,1,0,0,1,0,0,1,2006
17510,"Dolliver, IA","Little Rock, IA",0,0,1,0,0,1,0,0,1,1,2006
17509,"Dolliver, IA","Le Mars, IA",0,1,0,0,0,1,0,0,1,1,2006
17508,"Dolliver, IA","Laurens, IA",1,0,0,1,0,0,0,1,0,1,2006
17505,"Dolliver, IA","Gilbert, IA",0,1,0,0,1,0,0,1,0,1,2006
17501,"Dolliver, IA","Duncombe, IA",1,0,0,0,1,0,0,1,0,1,2006
17500,"Dolliver, IA","Dubuque, IA",0,1,0,0,0,1,0,1,0,1,2006
17498,"Dolliver, IA","Curlew, IA",0,1,0,0,1,0,0,1,0,1,2006
17497,"Dolliver, IA","Clarion, IA",0,1,0,0,0,1,0,1,0,1,2006
17496,"Dolliver, IA","Charles City, IA",0,1,0,0,1,0,0,1,0,1,2006
17495,"Dolliver, IA","Cedar Rapids, IA",0,1,0,1,0,0,0,1,0,1,2006
17494,"Dolliver, IA","Boone, IA",1,0,0,0,1,0,1,0,0,1,2006
17492,"Dolliver, IA","Arnolds Park, IA",1,0,0,0,1,0,0,1,0,1,2006
17524,"Dolliver, IA","West Bend, IA",0,1,0,0,1,0,0,1,0,1,2006
