,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
22417,"Fort Atkinson, IA","Decorah, IA",27,118,42,21,153,13,68,63,56,187,2006
22432,"Fort Atkinson, IA","Fort Atkinson, IA",28,77,20,44,58,23,55,42,28,125,2006
22420,"Fort Atkinson, IA","Dubuque, IA",10,61,29,1,99,0,53,27,20,100,2006
22486,"Fort Atkinson, IA","Ridgeway, IA",19,51,16,28,45,13,39,31,16,86,2006
22482,"Fort Atkinson, IA","Protivin, IA",17,46,16,18,41,20,31,31,17,79,2006
22405,"Fort Atkinson, IA","Castalia, IA",15,38,18,8,50,13,33,22,16,71,2006
22471,"Fort Atkinson, IA","New Hampton, IA",3,35,16,2,45,7,16,15,23,54,2006
22412,"Fort Atkinson, IA","Clinton, IA",5,23,23,0,51,0,23,15,13,51,2006
22504,"Fort Atkinson, IA","Waukon, IA",3,20,10,4,24,5,14,7,12,33,2006
22414,"Fort Atkinson, IA","Cresco, IA",6,18,6,0,28,2,19,2,9,30,2006
22433,"Fort Atkinson, IA","Fredericksburg, IA",4,15,5,1,21,2,10,6,8,24,2006
22493,"Fort Atkinson, IA","St. Lucas, IA",5,13,5,2,14,7,10,11,2,23,2006
22508,"Fort Atkinson, IA","West Union, IA",7,8,7,2,10,10,7,10,5,22,2006
22396,"Fort Atkinson, IA","Asbury, IA",3,12,5,0,19,1,10,8,2,20,2006
22456,"Fort Atkinson, IA","Luana, IA",3,11,5,1,10,8,2,10,7,19,2006
22503,"Fort Atkinson, IA","Waucoma, IA",2,8,8,2,14,2,9,7,2,18,2006
22483,"Fort Atkinson, IA","Randalia, IA",6,5,4,2,10,3,9,5,1,15,2006
22470,"Fort Atkinson, IA","New Albin, IA",1,13,0,1,13,0,9,4,1,14,2006
22457,"Fort Atkinson, IA","Manchester, IA",1,7,6,0,14,0,6,4,4,14,2006
22491,"Fort Atkinson, IA","Sageville, IA",1,7,5,0,13,0,5,5,3,13,2006
22458,"Fort Atkinson, IA","Maquoketa, IA",1,6,5,0,12,0,6,6,0,12,2006
22445,"Fort Atkinson, IA","Hopkinton, IA",2,4,5,0,11,0,7,3,1,11,2006
22413,"Fort Atkinson, IA","Colwell, IA",1,9,0,0,8,2,3,5,2,10,2006
22401,"Fort Atkinson, IA","Bellevue, IA",1,5,4,0,10,0,6,3,1,10,2006
22416,"Fort Atkinson, IA","De Witt, IA",0,4,6,0,10,0,6,3,1,10,2006
22447,"Fort Atkinson, IA","Ionia, IA",0,8,1,1,8,0,3,3,3,9,2006
22468,"Fort Atkinson, IA","Monticello, IA",0,6,3,1,8,0,6,0,3,9,2006
22443,"Fort Atkinson, IA","Hawkeye, IA",3,4,2,3,5,1,4,5,0,9,2006
22418,"Fort Atkinson, IA","Delaware, IA",0,5,3,0,8,0,4,2,2,8,2006
