,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
23807,"George, IA","George, IA",15,37,21,11,48,14,44,22,7,73,2006
23822,"George, IA","Rock Rapids, IA",22,30,18,11,50,9,38,21,11,70,2006
23796,"George, IA","Ashton, IA",16,17,15,1,38,9,30,12,6,48,2006
23824,"George, IA","Sibley, IA",0,6,4,3,6,1,1,8,1,10,2006
23823,"George, IA","Sheldon, IA",0,6,1,0,5,2,0,4,3,7,2006
23799,"George, IA","Boyden, IA",0,6,1,0,5,2,3,3,1,7,2006
23810,"George, IA","Hospers, IA",0,5,0,0,4,1,1,3,1,5,2006
23812,"George, IA","Inwood, IA",0,1,3,0,3,1,0,1,3,4,2006
23806,"George, IA","Fort Dodge, IA",1,2,0,0,3,0,2,1,0,3,2006
23825,"George, IA","Sioux Center, IA",0,0,2,0,0,2,2,0,0,2,2006
23801,"George, IA","Cherokee, IA",0,2,0,0,2,0,1,0,1,2,2006
23798,"George, IA","Aurelia, IA",0,1,1,0,2,0,0,2,0,2,2006
23814,"George, IA","Larchwood, IA",2,0,0,0,2,0,1,0,1,2,2006
23815,"George, IA","Le Mars, IA",1,1,0,0,2,0,1,1,0,2,2006
23816,"George, IA","Little Rock, IA",1,0,1,1,1,0,0,2,0,2,2006
23826,"George, IA","Sioux City, IA",0,1,0,0,0,1,1,0,0,1,2006
23817,"George, IA","Newell, IA",0,0,1,0,1,0,0,1,0,1,2006
23827,"George, IA","Stanhope, IA",0,0,1,0,1,0,0,1,0,1,2006
23821,"George, IA","Remsen, IA",0,1,0,0,1,0,0,1,0,1,2006
23828,"George, IA","Superior, IA",0,0,1,0,1,0,0,1,0,1,2006
23820,"George, IA","Pocahontas, IA",0,1,0,0,0,1,0,1,0,1,2006
23819,"George, IA","Orange City, IA",0,1,0,0,1,0,1,0,0,1,2006
23818,"George, IA","Ocheyedan, IA",0,0,1,0,0,1,0,0,1,1,2006
23794,"George, IA","Alton, IA",0,1,0,0,0,1,0,1,0,1,2006
23813,"George, IA","Ireton, IA",0,0,1,0,0,1,0,1,0,1,2006
23795,"George, IA","Ames, IA",1,0,0,0,0,1,1,0,0,1,2006
23811,"George, IA","Hull, IA",0,1,0,0,1,0,0,1,0,1,2006
23809,"George, IA","Harris, IA",1,0,0,0,0,1,0,1,0,1,2006
23808,"George, IA","Grant, IA",0,1,0,0,1,0,1,0,0,1,2006
23805,"George, IA","Estherville, IA",0,1,0,0,1,0,0,1,0,1,2006
23804,"George, IA","Early, IA",0,0,1,0,0,1,1,0,0,1,2006
23803,"George, IA","Doon, IA",0,1,0,0,1,0,0,0,1,1,2006
23802,"George, IA","Council Bluffs, IA",1,0,0,0,0,1,1,0,0,1,2006
23800,"George, IA","Carter Lake, IA",0,1,0,0,1,0,1,0,0,1,2006
23797,"George, IA","Audubon, IA",0,1,0,0,0,1,0,1,0,1,2006
23829,"George, IA","Wall Lake, IA",1,0,0,0,0,1,0,1,0,1,2006
