,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
34930,"Lowden, IA","Wheatland, IA",6,16,12,1,27,6,17,14,3,34,2006
34897,"Lowden, IA","Clarence, IA",14,8,6,1,23,4,16,8,4,28,2006
34908,"Lowden, IA","Lowden, IA",3,15,7,1,19,5,15,5,5,25,2006
34926,"Lowden, IA","Tipton, IA",2,5,7,1,8,5,5,6,3,14,2006
34912,"Lowden, IA","Mechanicsville, IA",1,7,4,0,10,2,4,4,4,12,2006
34899,"Lowden, IA","Dixon, IA",5,2,0,0,6,1,6,1,0,7,2006
34931,"Lowden, IA","Wyoming, IA",0,1,3,1,3,0,1,2,1,4,2006
34929,"Lowden, IA","West Branch, IA",2,1,0,0,0,3,1,2,0,3,2006
34903,"Lowden, IA","Grand Mound, IA",2,0,1,0,2,1,3,0,0,3,2006
34907,"Lowden, IA","Lost Nation, IA",0,2,0,0,1,1,0,2,0,2,2006
34915,"Lowden, IA","Mount Vernon, IA",0,1,1,0,2,0,1,0,1,2,2006
34914,"Lowden, IA","Mount Auburn, IA",1,0,1,0,2,0,1,1,0,2,2006
34918,"Lowden, IA","North Liberty, IA",0,2,0,0,2,0,0,0,2,2,2006
34919,"Lowden, IA","Oxford Junction, IA",0,2,0,0,1,1,1,1,0,2,2006
34920,"Lowden, IA","Oxford, IA",0,2,0,0,2,0,0,0,2,2,2006
34916,"Lowden, IA","Muscatine, IA",0,2,0,0,0,2,0,1,1,2,2006
34896,"Lowden, IA","Center Junction, IA",0,1,1,0,1,1,1,1,0,2,2006
34894,"Lowden, IA","Bettendorf, IA",1,1,0,0,2,0,1,1,0,2,2006
34923,"Lowden, IA","Solon, IA",0,1,0,0,0,1,0,0,1,1,2006
34924,"Lowden, IA","Springville, IA",0,1,0,0,0,1,0,1,0,1,2006
34922,"Lowden, IA","Sabula, IA",0,0,1,0,0,1,0,1,0,1,2006
34921,"Lowden, IA","Palo, IA",0,1,0,0,1,0,0,0,1,1,2006
34917,"Lowden, IA","New Liberty, IA",1,0,0,0,1,0,1,0,0,1,2006
34927,"Lowden, IA","University Heights, IA",0,1,0,0,0,1,0,0,1,1,2006
34928,"Lowden, IA","Waukon, IA",0,1,0,0,0,1,1,0,0,1,2006
34925,"Lowden, IA","Tiffin, IA",0,1,0,0,1,0,0,0,1,1,2006
34891,"Lowden, IA","Baldwin, IA",0,1,0,0,0,1,0,0,1,1,2006
34913,"Lowden, IA","Morley, IA",0,1,0,0,1,0,0,0,1,1,2006
34892,"Lowden, IA","Bellevue, IA",0,0,1,1,0,0,0,0,1,1,2006
34911,"Lowden, IA","Martelle, IA",0,1,0,0,1,0,0,0,1,1,2006
34910,"Lowden, IA","Marion, IA",0,1,0,0,1,0,0,0,1,1,2006
34909,"Lowden, IA","Manchester, IA",0,0,1,0,0,1,0,1,0,1,2006
34906,"Lowden, IA","Lisbon, IA",1,0,0,0,1,0,1,0,0,1,2006
34905,"Lowden, IA","Iowa City, IA",0,1,0,0,0,1,0,0,1,1,2006
34904,"Lowden, IA","Hopkinton, IA",0,1,0,0,1,0,0,0,1,1,2006
34902,"Lowden, IA","Fairfax, IA",0,0,1,0,1,0,1,0,0,1,2006
34901,"Lowden, IA","Dyersville, IA",0,1,0,0,1,0,1,0,0,1,2006
34900,"Lowden, IA","Dubuque, IA",1,0,0,1,0,0,1,0,0,1,2006
34898,"Lowden, IA","Davenport, IA",1,0,0,0,1,0,1,0,0,1,2006
34895,"Lowden, IA","Blairstown, IA",1,0,0,0,1,0,1,0,0,1,2006
34893,"Lowden, IA","Bennett, IA",0,1,0,1,0,0,0,0,1,1,2006
34932,"Lowden, IA","Zwingle, IA",0,1,0,0,0,1,0,0,1,1,2006
