,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41257,"New Hampton, IA","New Hampton, IA",263,676,275,383,605,226,433,543,238,1214,2006
41212,"New Hampton, IA","Fredericksburg, IA",52,139,52,131,71,41,76,128,39,243,2006
41172,"New Hampton, IA","Alta Vista, IA",42,81,20,58,55,30,35,76,32,143,2006
41190,"New Hampton, IA","Colwell, IA",31,75,33,52,50,37,36,65,38,139,2006
41187,"New Hampton, IA","Charles City, IA",37,72,15,51,42,31,33,68,23,124,2006
41235,"New Hampton, IA","Lawler, IA",23,72,22,47,46,24,44,48,25,117,2006
41224,"New Hampton, IA","Ionia, IA",28,64,19,42,42,27,36,48,27,111,2006
41255,"New Hampton, IA","Nashua, IA",31,46,20,49,38,10,31,45,21,97,2006
41276,"New Hampton, IA","Protivin, IA",9,13,0,6,12,4,3,13,6,22,2006
41278,"New Hampton, IA","Readlyn, IA",4,13,4,8,8,5,3,10,8,21,2006
41188,"New Hampton, IA","Chester, IA",5,9,6,9,7,4,2,11,7,20,2006
41306,"New Hampton, IA","Tripoli, IA",2,15,2,10,5,4,5,10,4,19,2006
41196,"New Hampton, IA","Decorah, IA",1,12,5,4,7,7,3,13,2,18,2006
41194,"New Hampton, IA","Cresco, IA",5,11,2,11,4,3,4,12,2,18,2006
41193,"New Hampton, IA","Council Bluffs, IA",6,8,3,1,6,10,7,4,6,17,2006
41210,"New Hampton, IA","Floyd, IA",1,14,2,7,7,3,3,8,6,17,2006
41294,"New Hampton, IA","St. Lucas, IA",2,13,1,6,6,4,4,9,3,16,2006
41274,"New Hampton, IA","Plainfield, IA",9,6,0,7,7,1,2,8,5,15,2006
41300,"New Hampton, IA","Sumner, IA",2,10,3,11,3,1,3,8,4,15,2006
41254,"New Hampton, IA","Muscatine, IA",9,4,2,1,10,4,4,7,4,15,2006
41199,"New Hampton, IA","Dyersville, IA",0,11,3,0,6,8,0,8,6,14,2006
41312,"New Hampton, IA","Waucoma, IA",1,11,2,7,5,2,6,4,4,14,2006
41248,"New Hampton, IA","McIntire, IA",4,7,3,6,7,1,1,6,7,14,2006
41247,"New Hampton, IA","Mason City, IA",5,8,1,2,7,5,4,7,3,14,2006
41317,"New Hampton, IA","West Union, IA",9,5,0,6,1,7,10,4,0,14,2006
41203,"New Hampton, IA","Elma, IA",5,6,2,6,1,6,3,7,3,13,2006
41219,"New Hampton, IA","Hawkeye, IA",3,5,5,6,6,1,6,6,1,13,2006
41277,"New Hampton, IA","Randalia, IA",3,9,1,8,3,2,6,5,2,13,2006
41223,"New Hampton, IA","Indianola, IA",7,4,2,3,1,9,4,7,2,13,2006
41185,"New Hampton, IA","Cedar Falls, IA",6,6,0,0,7,5,3,4,5,12,2006
41197,"New Hampton, IA","Denver, IA",4,8,0,4,6,2,2,2,8,12,2006
41272,"New Hampton, IA","Parkersburg, IA",1,11,0,6,2,4,1,8,3,12,2006
41244,"New Hampton, IA","Marble Rock, IA",2,6,4,6,2,4,2,6,4,12,2006
41184,"New Hampton, IA","Castalia, IA",3,5,3,1,7,3,2,6,3,11,2006
41246,"New Hampton, IA","Marshalltown, IA",4,4,3,7,1,3,2,5,4,11,2006
41204,"New Hampton, IA","Evansdale, IA",0,7,3,4,6,0,2,4,4,10,2006
41314,"New Hampton, IA","Waverly, IA",4,4,2,4,6,0,2,5,3,10,2006
41177,"New Hampton, IA","Bellevue, IA",0,6,3,0,9,0,5,4,0,9,2006
41250,"New Hampton, IA","Monticello, IA",3,4,2,2,1,6,2,4,3,9,2006
41213,"New Hampton, IA","Frederika, IA",1,5,3,5,2,2,1,4,4,9,2006
41238,"New Hampton, IA","Lime Springs, IA",5,4,0,6,2,1,4,5,0,9,2006
41211,"New Hampton, IA","Fort Atkinson, IA",0,9,0,2,6,1,2,5,2,9,2006
41205,"New Hampton, IA","Fairbank, IA",6,3,0,3,3,3,6,3,0,9,2006
41266,"New Hampton, IA","Oelwein, IA",7,1,0,0,6,2,7,1,0,8,2006
41245,"New Hampton, IA","Marion, IA",2,3,3,0,4,4,1,5,2,8,2006
41281,"New Hampton, IA","Ridgeway, IA",2,4,1,3,4,0,0,5,2,7,2006
41283,"New Hampton, IA","Rockford, IA",4,2,1,3,2,2,3,2,2,7,2006
41178,"New Hampton, IA","Bertram, IA",2,5,0,1,6,0,1,1,5,7,2006
41207,"New Hampton, IA","Farley, IA",3,3,0,0,2,4,4,2,0,6,2006
41315,"New Hampton, IA","Webb, IA",2,4,0,3,1,2,2,3,1,6,2006
41240,"New Hampton, IA","Lisbon, IA",0,5,1,1,5,0,0,5,1,6,2006
41179,"New Hampton, IA","Bettendorf, IA",0,6,0,0,3,3,1,2,3,6,2006
41267,"New Hampton, IA","Osage, IA",3,2,1,1,1,4,0,4,2,6,2006
41232,"New Hampton, IA","La Porte City, IA",0,5,1,2,4,0,2,3,1,6,2006
41288,"New Hampton, IA","Shell Rock, IA",1,4,1,3,1,2,1,4,1,6,2006
41295,"New Hampton, IA","St. Marys, IA",1,3,1,3,2,0,2,2,1,5,2006
41308,"New Hampton, IA","Urbana, IA",1,1,3,1,4,0,2,3,0,5,2006
41253,"New Hampton, IA","Mount Vernon, IA",0,3,2,2,3,0,1,2,2,5,2006
41265,"New Hampton, IA","Norway, IA",4,1,0,0,1,4,0,1,4,5,2006
41227,"New Hampton, IA","Janesville, IA",2,2,1,3,1,1,0,2,3,5,2006
41243,"New Hampton, IA","Maquoketa, IA",2,2,1,1,4,0,4,1,0,5,2006
41291,"New Hampton, IA","Springbrook, IA",1,4,0,0,2,3,1,1,3,5,2006
41206,"New Hampton, IA","Fairfax, IA",2,2,0,0,4,0,2,2,0,4,2006
41168,"New Hampton, IA","Albert City, IA",2,2,0,2,0,2,1,3,0,4,2006
41175,"New Hampton, IA","Baldwin, IA",3,1,0,0,3,1,3,1,0,4,2006
41198,"New Hampton, IA","Dunkerton, IA",2,1,1,3,1,0,1,2,1,4,2006
41225,"New Hampton, IA","Iowa City, IA",1,2,1,3,1,0,0,3,1,4,2006
41222,"New Hampton, IA","Independence, IA",0,3,1,0,3,1,1,3,0,4,2006
41264,"New Hampton, IA","Norwalk, IA",3,1,0,0,0,4,4,0,0,4,2006
41303,"New Hampton, IA","Thornton, IA",2,0,1,1,0,2,2,1,0,3,2006
41268,"New Hampton, IA","Owasa, IA",1,2,0,1,1,1,2,1,0,3,2006
41270,"New Hampton, IA","Palo, IA",2,1,0,0,2,1,1,2,0,3,2006
41301,"New Hampton, IA","Tama, IA",1,2,0,0,0,3,3,0,0,3,2006
41261,"New Hampton, IA","Nora Springs, IA",2,1,0,2,0,1,1,1,1,3,2006
41313,"New Hampton, IA","Waukon, IA",1,0,2,0,0,3,2,1,0,3,2006
41284,"New Hampton, IA","Rockwell, IA",0,2,1,0,0,3,1,0,2,3,2006
41275,"New Hampton, IA","Preston, IA",1,2,0,1,2,0,0,3,0,3,2006
41286,"New Hampton, IA","Sabula, IA",0,3,0,0,3,0,0,3,0,3,2006
41166,"New Hampton, IA","Ackley, IA",1,2,0,0,3,0,1,2,0,3,2006
41220,"New Hampton, IA","Hazleton, IA",0,3,0,1,0,2,0,3,0,3,2006
41170,"New Hampton, IA","Algona, IA",0,3,0,0,1,2,1,2,0,3,2006
41226,"New Hampton, IA","Iowa Falls, IA",3,0,0,0,3,0,3,0,0,3,2006
41186,"New Hampton, IA","Center Junction, IA",0,2,1,0,0,3,1,1,1,3,2006
41218,"New Hampton, IA","Hampton, IA",0,1,2,0,0,3,1,2,0,3,2006
41174,"New Hampton, IA","Asbury, IA",3,0,0,0,1,2,2,0,1,3,2006
41176,"New Hampton, IA","Balltown, IA",0,2,1,0,0,3,0,3,0,3,2006
41182,"New Hampton, IA","Carter Lake, IA",3,0,0,0,3,0,3,0,0,3,2006
41181,"New Hampton, IA","Carlisle, IA",0,0,2,0,2,0,0,0,2,2,2006
41263,"New Hampton, IA","Northwood, IA",0,2,0,0,2,0,2,0,0,2,2006
41215,"New Hampton, IA","Garner, IA",0,2,0,0,0,2,0,0,2,2,2006
41271,"New Hampton, IA","Panama, IA",0,1,1,0,2,0,1,1,0,2,2006
41302,"New Hampton, IA","Tennant, IA",0,2,0,0,2,0,1,1,0,2,2006
41269,"New Hampton, IA","Oxford, IA",1,0,1,0,1,1,1,0,1,2,2006
41209,"New Hampton, IA","Fayette, IA",0,2,0,0,1,1,2,0,0,2,2006
41307,"New Hampton, IA","Truesdale, IA",0,2,0,1,0,1,2,0,0,2,2006
41201,"New Hampton, IA","Elk Run Heights, IA",0,2,0,0,1,1,0,1,1,2,2006
41262,"New Hampton, IA","North Liberty, IA",2,0,0,0,0,2,1,1,0,2,2006
41299,"New Hampton, IA","Strawberry Point, IA",2,0,0,0,2,0,2,0,0,2,2006
41309,"New Hampton, IA","Vinton, IA",0,2,0,1,0,1,0,1,1,2,2006
41318,"New Hampton, IA","Worthington, IA",0,2,0,0,2,0,0,0,2,2,2006
41290,"New Hampton, IA","Spring Hill, IA",0,2,0,1,1,0,0,2,0,2,2006
41289,"New Hampton, IA","Shueyville, IA",0,2,0,0,1,1,0,1,1,2,2006
41237,"New Hampton, IA","Leland, IA",0,2,0,0,0,2,0,0,2,2,2006
41192,"New Hampton, IA","Coulter, IA",2,0,0,0,2,0,2,0,0,2,2006
41287,"New Hampton, IA","Sandyville, IA",0,1,1,1,1,0,1,0,1,2,2006
41233,"New Hampton, IA","Lake Mills, IA",0,0,2,0,0,2,0,0,2,2,2006
41189,"New Hampton, IA","Clear Lake, IA",1,1,0,0,0,2,0,1,1,2,2006
41231,"New Hampton, IA","Kimballton, IA",0,2,0,2,0,0,0,0,2,2,2006
41258,"New Hampton, IA","New Hartford, IA",0,0,2,0,1,1,2,0,0,2,2006
41310,"New Hampton, IA","Wadena, IA",1,1,0,0,1,1,1,0,1,2,2006
41260,"New Hampton, IA","Newell, IA",0,2,0,2,0,0,2,0,0,2,2006
41298,"New Hampton, IA","Stanley, IA",1,1,0,1,0,1,1,0,1,2,2006
41297,"New Hampton, IA","Stacyville, IA",0,1,0,0,1,0,0,1,0,1,2006
41296,"New Hampton, IA","St. Olaf, IA",0,1,0,0,1,0,0,1,0,1,2006
41167,"New Hampton, IA","Ackworth, IA",0,1,0,0,1,0,0,1,0,1,2006
41183,"New Hampton, IA","Cascade, IA",1,0,0,0,1,0,0,1,0,1,2006
41304,"New Hampton, IA","Titonka, IA",0,1,0,0,1,0,1,0,0,1,2006
41305,"New Hampton, IA","Toledo, IA",0,1,0,0,0,1,1,0,0,1,2006
41292,"New Hampton, IA","Springville, IA",0,1,0,0,1,0,0,0,1,1,2006
41180,"New Hampton, IA","Brandon, IA",1,0,0,0,0,1,1,0,0,1,2006
41311,"New Hampton, IA","Walker, IA",1,0,0,0,0,1,1,0,0,1,2006
41173,"New Hampton, IA","Andrew, IA",0,0,1,1,0,0,0,0,1,1,2006
41171,"New Hampton, IA","Allison, IA",0,1,0,0,1,0,0,1,0,1,2006
41316,"New Hampton, IA","Wellsburg, IA",0,1,0,0,0,1,1,0,0,1,2006
41169,"New Hampton, IA","Alden, IA",0,1,0,0,0,1,1,0,0,1,2006
41293,"New Hampton, IA","St. Ansgar, IA",0,1,0,0,1,0,0,1,0,1,2006
41282,"New Hampton, IA","Riverside, IA",0,0,1,0,1,0,0,0,1,1,2006
41191,"New Hampton, IA","Conrad, IA",1,0,0,1,0,0,0,1,0,1,2006
41228,"New Hampton, IA","Jesup, IA",1,0,0,0,0,1,1,0,0,1,2006
41241,"New Hampton, IA","Liscomb, IA",1,0,0,0,1,0,1,0,0,1,2006
41239,"New Hampton, IA","Lincoln, IA",1,0,0,1,0,0,1,0,0,1,2006
41249,"New Hampton, IA","Melbourne, IA",0,1,0,0,0,1,0,0,1,1,2006
41251,"New Hampton, IA","Morley, IA",0,1,0,0,0,1,0,1,0,1,2006
41252,"New Hampton, IA","Mount Auburn, IA",0,1,0,0,1,0,0,1,0,1,2006
41236,"New Hampton, IA","Le Grand, IA",0,1,0,0,0,1,0,0,1,1,2006
41234,"New Hampton, IA","Lansing, IA",0,1,0,0,0,1,1,0,0,1,2006
41256,"New Hampton, IA","New Albin, IA",0,1,0,1,0,0,0,0,1,1,2006
41259,"New Hampton, IA","New Vienna, IA",1,0,0,0,1,0,0,0,1,1,2006
41230,"New Hampton, IA","Keystone, IA",0,0,1,0,1,0,1,0,0,1,2006
41229,"New Hampton, IA","Joice, IA",0,1,0,0,0,1,0,1,0,1,2006
41221,"New Hampton, IA","Hills, IA",0,1,0,0,1,0,0,1,0,1,2006
41195,"New Hampton, IA","Crystal Lake, IA",0,1,0,0,0,1,0,1,0,1,2006
41217,"New Hampton, IA","Guttenberg, IA",0,1,0,0,1,0,1,0,0,1,2006
41273,"New Hampton, IA","Peosta, IA",0,1,0,0,0,1,1,0,0,1,2006
41216,"New Hampton, IA","Grinnell, IA",0,0,1,0,1,0,1,0,0,1,2006
41214,"New Hampton, IA","Garnavillo, IA",0,1,0,0,1,0,0,1,0,1,2006
41208,"New Hampton, IA","Farmersburg, IA",0,1,0,0,0,1,1,0,0,1,2006
41279,"New Hampton, IA","Reinbeck, IA",1,0,0,0,1,0,0,1,0,1,2006
41280,"New Hampton, IA","Rhodes, IA",0,1,0,0,0,1,0,0,1,1,2006
41202,"New Hampton, IA","Elkport, IA",0,1,0,0,0,1,0,1,0,1,2006
41242,"New Hampton, IA","Luana, IA",0,0,1,0,0,1,0,1,0,1,2006
41200,"New Hampton, IA","Elgin, IA",0,1,0,0,1,0,0,0,1,1,2006
41285,"New Hampton, IA","Roland, IA",1,0,0,1,0,0,1,0,0,1,2006
41319,"New Hampton, IA","Zwingle, IA",1,0,0,0,1,0,1,0,0,1,2006
