,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
47747,"Rake, IA","Lake Mills, IA",11,12,2,23,2,0,3,19,3,25,2006
47742,"Rake, IA","Crystal Lake, IA",7,11,2,14,2,4,6,9,5,20,2006
47740,"Rake, IA","Buffalo Center, IA",2,12,5,12,5,2,5,12,2,19,2006
47756,"Rake, IA","Thompson, IA",2,11,4,14,3,0,5,11,1,17,2006
47753,"Rake, IA","Rake, IA",1,8,6,6,5,4,6,7,2,15,2006
47744,"Rake, IA","Forest City, IA",3,8,1,12,0,0,0,10,2,12,2006
47750,"Rake, IA","Leland, IA",4,3,4,10,0,1,2,7,2,11,2006
47754,"Rake, IA","Scarville, IA",5,4,1,9,0,1,2,7,1,10,2006
47738,"Rake, IA","Bancroft, IA",2,4,0,4,2,0,0,5,1,6,2006
47739,"Rake, IA","Britt, IA",0,4,0,3,0,1,0,3,1,4,2006
47755,"Rake, IA","Swea City, IA",0,2,1,0,1,2,2,1,0,3,2006
47751,"Rake, IA","Mason City, IA",0,3,0,3,0,0,0,0,3,3,2006
47748,"Rake, IA","Lakota, IA",1,2,0,3,0,0,0,3,0,3,2006
47746,"Rake, IA","Joice, IA",2,1,0,3,0,0,1,2,0,3,2006
47749,"Rake, IA","Ledyard, IA",2,0,0,2,0,0,0,2,0,2,2006
47752,"Rake, IA","Northwood, IA",1,0,0,1,0,0,1,0,0,1,2006
47745,"Rake, IA","Jefferson, IA",0,1,0,0,0,1,0,0,1,1,2006
47743,"Rake, IA","Des Moines, IA",0,1,0,0,0,1,0,1,0,1,2006
47741,"Rake, IA","Corwith, IA",0,1,0,0,0,1,0,1,0,1,2006
47757,"Rake, IA","Windsor Heights, IA",0,0,1,1,0,0,0,1,0,1,2006
