,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
48968,"Riverdale, IA","Davenport, IA",222,484,144,160,597,93,187,453,210,850,2006
48950,"Riverdale, IA","Bettendorf, IA",168,467,184,89,612,118,209,288,322,819,2006
49034,"Riverdale, IA","Riverdale, IA",53,125,42,45,127,48,80,90,50,220,2006
49029,"Riverdale, IA","Panorama Park, IA",30,120,31,23,137,21,51,60,70,181,2006
48998,"Riverdale, IA","Le Claire, IA",29,82,29,34,81,25,40,54,46,140,2006
49032,"Riverdale, IA","Princeton, IA",21,37,12,12,46,12,18,25,27,70,2006
48981,"Riverdale, IA","Eldridge, IA",10,49,10,8,55,6,12,34,23,69,2006
49002,"Riverdale, IA","Long Grove, IA",10,28,17,13,33,9,9,22,24,55,2006
48961,"Riverdale, IA","Clinton, IA",11,22,2,9,24,2,8,17,10,35,2006
48970,"Riverdale, IA","De Witt, IA",3,25,6,5,27,2,4,11,19,34,2006
48954,"Riverdale, IA","Buffalo, IA",5,17,6,9,18,1,4,13,11,28,2006
48974,"Riverdale, IA","Dixon, IA",4,15,5,12,10,2,3,9,12,24,2006
48952,"Riverdale, IA","Blue Grass, IA",3,17,1,9,9,3,1,13,7,21,2006
48976,"Riverdale, IA","Dubuque, IA",2,10,8,0,12,8,5,6,9,20,2006
48957,"Riverdale, IA","Cedar Rapids, IA",2,12,6,0,9,11,5,9,6,20,2006
49011,"Riverdale, IA","McCausland, IA",4,8,6,4,14,0,4,4,10,18,2006
48994,"Riverdale, IA","Iowa City, IA",8,2,4,0,13,1,3,8,3,14,2006
49050,"Riverdale, IA","Walcott, IA",3,7,4,3,10,1,2,7,5,14,2006
49008,"Riverdale, IA","Maquoketa, IA",2,6,4,6,5,1,3,6,3,12,2006
48955,"Riverdale, IA","Burlington, IA",1,6,3,0,9,1,1,5,4,10,2006
48956,"Riverdale, IA","Camanche, IA",1,5,3,0,6,3,2,3,4,9,2006
49017,"Riverdale, IA","Muscatine, IA",2,6,1,0,7,2,1,6,2,9,2006
48973,"Riverdale, IA","Des Moines, IA",2,7,0,3,2,4,0,4,5,9,2006
48990,"Riverdale, IA","Grand Mound, IA",3,4,1,3,4,1,3,5,0,8,2006
48985,"Riverdale, IA","Fort Madison, IA",2,3,1,1,5,0,2,4,0,6,2006
49031,"Riverdale, IA","Preston, IA",2,3,1,1,3,2,3,0,3,6,2006
48996,"Riverdale, IA","Keokuk, IA",2,4,0,0,5,1,2,3,1,6,2006
49063,"Riverdale, IA","Windsor Heights, IA",1,5,0,3,2,1,2,2,2,6,2006
48946,"Riverdale, IA","Baldwin, IA",0,5,1,4,2,0,0,4,2,6,2006
49061,"Riverdale, IA","Wheatland, IA",2,2,2,3,2,1,1,2,3,6,2006
48942,"Riverdale, IA","Andover, IA",3,3,0,2,2,2,0,5,1,6,2006
49004,"Riverdale, IA","Low Moor, IA",2,1,2,1,2,2,2,2,1,5,2006
48941,"Riverdale, IA","Ames, IA",0,4,0,1,2,1,1,2,1,4,2006
48947,"Riverdale, IA","Bellevue, IA",1,3,0,0,4,0,1,1,2,4,2006
48948,"Riverdale, IA","Bennett, IA",3,1,0,3,0,1,0,4,0,4,2006
49036,"Riverdale, IA","Robins, IA",3,0,1,0,4,0,3,1,0,4,2006
48943,"Riverdale, IA","Ankeny, IA",1,3,0,1,2,1,1,2,1,4,2006
49016,"Riverdale, IA","Mount Pleasant, IA",0,4,0,0,3,1,1,1,2,4,2006
48977,"Riverdale, IA","Dyersville, IA",0,3,0,0,3,0,1,0,2,3,2006
48975,"Riverdale, IA","Donnellson, IA",1,1,1,0,0,3,1,2,0,3,2006
48945,"Riverdale, IA","Atalissa, IA",1,2,0,1,2,0,1,0,2,3,2006
49057,"Riverdale, IA","West Branch, IA",0,1,2,0,0,3,0,1,2,3,2006
49051,"Riverdale, IA","Walford, IA",0,1,1,0,1,1,2,0,0,2,2006
49035,"Riverdale, IA","Riverside, IA",1,1,0,0,0,2,0,0,2,2,2006
49026,"Riverdale, IA","Oelwein, IA",0,1,1,0,1,1,0,0,2,2,2006
49003,"Riverdale, IA","Lost Nation, IA",0,2,0,1,1,0,0,1,1,2,2006
49055,"Riverdale, IA","Wayland, IA",0,2,0,1,1,0,0,1,1,2,2006
49021,"Riverdale, IA","Nichols, IA",0,2,0,0,2,0,0,2,0,2,2006
49038,"Riverdale, IA","Sabula, IA",0,2,0,0,2,0,2,0,0,2,2006
49039,"Riverdale, IA","Sageville, IA",0,1,1,1,0,1,1,1,0,2,2006
48962,"Riverdale, IA","Clive, IA",1,1,0,0,2,0,1,0,1,2,2006
49059,"Riverdale, IA","West Des Moines, IA",1,1,0,1,1,0,1,0,1,2,2006
49019,"Riverdale, IA","New London, IA",1,1,0,0,1,1,1,1,0,2,2006
48993,"Riverdale, IA","Hiawatha, IA",1,1,0,0,1,1,0,2,0,2,2006
48991,"Riverdale, IA","Grandview, IA",0,2,0,0,2,0,0,2,0,2,2006
49028,"Riverdale, IA","Oxford, IA",1,1,0,0,2,0,1,1,0,2,2006
48989,"Riverdale, IA","Garwin, IA",1,0,1,0,0,2,2,0,0,2,2006
49009,"Riverdale, IA","Marshalltown, IA",0,1,1,0,2,0,1,1,0,2,2006
49043,"Riverdale, IA","Swisher, IA",2,0,0,0,2,0,0,0,2,2,2006
48986,"Riverdale, IA","Franklin, IA",1,1,0,0,0,2,1,0,1,2,2006
49044,"Riverdale, IA","Tipton, IA",0,0,2,0,2,0,0,2,0,2,2006
49045,"Riverdale, IA","University Heights, IA",1,0,1,0,2,0,2,0,0,2,2006
48982,"Riverdale, IA","Epworth, IA",0,2,0,0,0,2,0,0,2,2,2006
49024,"Riverdale, IA","Norwalk, IA",1,1,0,0,2,0,1,0,1,2,2006
48960,"Riverdale, IA","Clarence, IA",1,0,1,1,0,1,1,0,1,2,2006
49018,"Riverdale, IA","New Liberty, IA",1,1,0,1,1,0,0,1,1,2,2006
49030,"Riverdale, IA","Perry, IA",0,1,0,0,1,0,0,1,0,1,2006
49027,"Riverdale, IA","Ogden, IA",0,0,1,0,0,1,0,1,0,1,2006
49062,"Riverdale, IA","Wilton, IA",0,1,0,0,0,1,0,0,1,1,2006
49052,"Riverdale, IA","Wapello, IA",0,1,0,0,1,0,0,1,0,1,2006
49040,"Riverdale, IA","Sandyville, IA",0,1,0,0,1,0,1,0,0,1,2006
49033,"Riverdale, IA","Rathbun, IA",1,0,0,0,1,0,1,0,0,1,2006
49037,"Riverdale, IA","Rome, IA",0,0,1,0,1,0,0,1,0,1,2006
