,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
50269,"Sabula, IA","Preston, IA",13,41,21,19,47,9,37,28,10,75,2006
50270,"Sabula, IA","Sabula, IA",12,29,20,12,42,7,40,12,9,61,2006
50254,"Sabula, IA","Andover, IA",0,6,3,0,7,2,3,5,1,9,2006
50265,"Sabula, IA","Maquoketa, IA",0,6,1,1,5,1,2,2,3,7,2006
50256,"Sabula, IA","Bellevue, IA",0,5,0,1,4,0,1,2,2,5,2006
50258,"Sabula, IA","Clinton, IA",2,3,0,1,3,1,2,1,2,5,2006
50264,"Sabula, IA","Low Moor, IA",0,3,2,1,4,0,1,4,0,5,2006
50260,"Sabula, IA","De Witt, IA",0,2,0,0,1,1,1,1,0,2,2006
50266,"Sabula, IA","New London, IA",0,0,1,0,1,0,1,0,0,1,2006
50271,"Sabula, IA","Sageville, IA",0,0,1,0,1,0,1,0,0,1,2006
50268,"Sabula, IA","Panorama Park, IA",0,1,0,0,1,0,0,1,0,1,2006
50267,"Sabula, IA","Nichols, IA",0,1,0,0,1,0,0,0,1,1,2006
50263,"Sabula, IA","Grand Mound, IA",0,0,1,0,0,1,0,1,0,1,2006
50255,"Sabula, IA","Baldwin, IA",0,1,0,0,1,0,0,1,0,1,2006
50262,"Sabula, IA","Dubuque, IA",0,0,1,1,0,0,1,0,0,1,2006
50261,"Sabula, IA","Dixon, IA",1,0,0,0,1,0,0,1,0,1,2006
50259,"Sabula, IA","Davenport, IA",0,0,1,0,0,1,1,0,0,1,2006
50257,"Sabula, IA","Bettendorf, IA",0,1,0,0,1,0,0,1,0,1,2006
50272,"Sabula, IA","Springbrook, IA",1,0,0,1,0,0,0,1,0,1,2006
