,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
63359,"Woodbine, IA","Woodbine, IA",26,85,33,45,53,46,46,64,34,144,2006
63343,"Woodbine, IA","Mondamin, IA",18,61,40,37,42,40,34,60,25,119,2006
63350,"Woodbine, IA","Portsmouth, IA",10,40,14,16,32,16,23,27,14,64,2006
63341,"Woodbine, IA","Magnolia, IA",5,21,10,11,18,7,11,20,5,36,2006
63333,"Woodbine, IA","Dunlap, IA",1,21,11,11,13,9,5,25,3,33,2006
63340,"Woodbine, IA","Logan, IA",4,20,6,8,12,10,12,13,5,30,2006
63339,"Woodbine, IA","Little Sioux, IA",8,17,2,12,8,7,9,13,5,27,2006
63355,"Woodbine, IA","Soldier, IA",2,11,5,1,15,2,8,7,3,18,2006
63342,"Woodbine, IA","Missouri Valley, IA",4,5,5,2,7,5,6,8,0,14,2006
63345,"Woodbine, IA","Moorhead, IA",3,6,2,1,8,2,5,5,1,11,2006
63329,"Woodbine, IA","Charter Oak, IA",4,3,1,1,3,4,4,4,0,8,2006
63330,"Woodbine, IA","Council Bluffs, IA",2,3,1,1,4,1,0,5,1,6,2006
63349,"Woodbine, IA","Panama, IA",2,4,0,2,3,1,1,3,2,6,2006
63357,"Woodbine, IA","Westside, IA",1,1,1,0,2,1,1,2,0,3,2006
63327,"Woodbine, IA","Carson, IA",0,2,0,2,0,0,0,0,2,2,2006
63331,"Woodbine, IA","Denison, IA",2,0,0,0,2,0,1,1,0,2,2006
63356,"Woodbine, IA","Stanton, IA",0,0,2,0,2,0,2,0,0,2,2006
63354,"Woodbine, IA","Sloan, IA",2,0,0,0,2,0,2,0,0,2,2006
63347,"Woodbine, IA","Onawa, IA",1,1,0,1,1,0,1,1,0,2,2006
63352,"Woodbine, IA","Shelby, IA",2,0,0,0,1,1,0,2,0,2,2006
63325,"Woodbine, IA","Buck Grove, IA",0,2,0,0,2,0,0,2,0,2,2006
63323,"Woodbine, IA","Avoca, IA",1,0,0,1,0,0,0,1,0,1,2006
63353,"Woodbine, IA","Shenandoah, IA",0,1,0,0,0,1,0,1,0,1,2006
63351,"Woodbine, IA","Schaller, IA",0,0,1,0,0,1,0,0,1,1,2006
63358,"Woodbine, IA","Wiota, IA",0,1,0,0,1,0,0,1,0,1,2006
63348,"Woodbine, IA","Packwood, IA",0,1,0,0,0,1,0,0,1,1,2006
63324,"Woodbine, IA","Bonaparte, IA",0,1,0,0,0,1,0,0,1,1,2006
63346,"Woodbine, IA","Newell, IA",1,0,0,0,1,0,0,1,0,1,2006
63344,"Woodbine, IA","Montrose, IA",1,0,0,0,0,1,0,1,0,1,2006
63328,"Woodbine, IA","Carter Lake, IA",0,1,0,0,0,1,0,1,0,1,2006
63322,"Woodbine, IA","Atlantic, IA",0,1,0,0,0,1,0,1,0,1,2006
63338,"Woodbine, IA","Le Mars, IA",0,0,1,0,1,0,1,0,0,1,2006
63337,"Woodbine, IA","Hiawatha, IA",1,0,0,0,1,0,0,0,1,1,2006
63336,"Woodbine, IA","Grinnell, IA",0,1,0,0,1,0,0,1,0,1,2006
63335,"Woodbine, IA","Grant, IA",1,0,0,1,0,0,0,1,0,1,2006
63334,"Woodbine, IA","Early, IA",0,1,0,0,1,0,0,1,0,1,2006
63326,"Woodbine, IA","Carroll, IA",0,1,0,0,1,0,0,1,0,1,2006
63332,"Woodbine, IA","Dubuque, IA",1,0,0,0,0,1,1,0,0,1,2006
63321,"Woodbine, IA","Arthur, IA",0,1,0,0,0,1,1,0,0,1,2006
