,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
19367,"Dexter, IA","Des Moines, IA",46,221,60,44,229,54,41,117,169,327,2007
19358,"Dexter, IA","Clive, IA",35,107,18,0,131,29,33,56,71,160,2007
19457,"Dexter, IA","Winterset, IA",27,81,31,14,108,17,47,66,26,139,2007
19446,"Dexter, IA","Urbandale, IA",22,59,12,15,54,24,20,27,46,93,2007
19368,"Dexter, IA","Dexter, IA",18,49,20,29,39,19,29,36,22,87,2007
19454,"Dexter, IA","West Des Moines, IA",17,55,12,22,40,22,13,29,42,84,2007
19450,"Dexter, IA","Waukee, IA",18,43,16,24,38,15,22,28,27,77,2007
19419,"Dexter, IA","Patterson, IA",17,31,19,25,31,11,27,30,10,67,2007
19341,"Dexter, IA","Ankeny, IA",15,24,4,9,13,21,8,15,20,43,2007
19390,"Dexter, IA","Johnston, IA",6,26,8,8,21,11,9,9,22,40,2007
19365,"Dexter, IA","De Soto, IA",5,21,8,12,19,3,12,15,7,34,2007
19456,"Dexter, IA","Windsor Heights, IA",6,19,7,7,20,5,7,11,14,32,2007
19379,"Dexter, IA","Grimes, IA",7,17,2,14,4,8,5,8,13,26,2007
19340,"Dexter, IA","Ames, IA",8,14,2,7,14,3,8,5,11,24,2007
19411,"Dexter, IA","Norwalk, IA",9,9,6,3,17,4,11,4,9,24,2007
19335,"Dexter, IA","Adel, IA",3,15,6,8,11,5,6,9,9,24,2007
19370,"Dexter, IA","East Peru, IA",4,9,4,1,13,3,9,5,3,17,2007
19427,"Dexter, IA","Redfield, IA",3,8,4,7,5,3,3,9,3,15,2007
19399,"Dexter, IA","Marshalltown, IA",5,7,1,1,9,3,3,5,5,13,2007
19381,"Dexter, IA","Guthrie Center, IA",1,7,4,0,11,1,0,7,5,12,2007
19363,"Dexter, IA","Davenport, IA",6,4,1,3,2,6,1,7,3,11,2007
19422,"Dexter, IA","Pleasant Hill, IA",1,6,2,4,3,2,1,3,5,9,2007
