,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
30543,"Harlan, IA","Harlan, IA",154,415,206,113,504,158,295,279,201,775,2007
30598,"Harlan, IA","Tennant, IA",80,235,109,62,283,79,134,199,91,424,2007
30553,"Harlan, IA","Kirkman, IA",31,63,33,20,37,70,42,62,23,127,2007
30519,"Harlan, IA","Council Bluffs, IA",20,47,16,9,57,17,23,25,35,83,2007
30526,"Harlan, IA","Denison, IA",16,28,7,17,21,13,17,23,11,51,2007
30503,"Harlan, IA","Atlantic, IA",12,17,6,3,22,10,17,10,8,35,2007
30589,"Harlan, IA","Shelby, IA",3,18,10,1,14,16,14,11,6,31,2007
30504,"Harlan, IA","Audubon, IA",16,14,1,25,4,2,16,10,5,31,2007
30527,"Harlan, IA","Des Moines, IA",12,13,5,4,19,7,12,12,6,30,2007
30583,"Harlan, IA","Red Oak, IA",11,11,8,0,28,2,16,11,3,30,2007
30530,"Harlan, IA","Elk Horn, IA",3,15,5,0,10,13,6,8,9,23,2007
30578,"Harlan, IA","Panama, IA",1,11,6,2,13,3,4,11,3,18,2007
30565,"Harlan, IA","Missouri Valley, IA",7,7,1,1,13,1,8,3,4,15,2007
30505,"Harlan, IA","Avoca, IA",1,9,2,0,5,7,5,4,3,12,2007
30594,"Harlan, IA","Sioux City, IA",4,6,2,0,7,5,4,4,4,12,2007
30502,"Harlan, IA","Ankeny, IA",4,4,2,0,2,8,3,6,1,10,2007
30563,"Harlan, IA","Melcher-Dallas, IA",2,7,1,10,0,0,0,2,8,10,2007
30552,"Harlan, IA","Kimballton, IA",2,5,1,1,0,7,3,2,3,8,2007
30539,"Harlan, IA","Greenfield, IA",2,2,4,1,5,2,2,3,3,8,2007
30516,"Harlan, IA","Clive, IA",6,1,0,0,5,2,4,3,0,7,2007
30500,"Harlan, IA","Ames, IA",4,3,0,2,3,2,4,2,1,7,2007
30557,"Harlan, IA","Logan, IA",2,4,1,0,4,3,2,4,1,7,2007
30558,"Harlan, IA","Manilla, IA",2,4,1,0,7,0,0,4,3,7,2007
30591,"Harlan, IA","Shenandoah, IA",4,3,0,0,5,2,4,2,1,7,2007
30515,"Harlan, IA","Clarinda, IA",4,1,2,0,2,5,5,2,0,7,2007
30602,"Harlan, IA","Walnut, IA",1,4,1,0,5,1,3,3,0,6,2007
30542,"Harlan, IA","Hancock, IA",0,5,1,5,1,0,1,4,1,6,2007
30604,"Harlan, IA","Waterloo, IA",2,1,2,0,3,2,2,2,1,5,2007
30525,"Harlan, IA","Defiance, IA",0,4,1,1,0,4,5,0,0,5,2007
30550,"Harlan, IA","Irwin, IA",1,3,1,0,0,5,3,1,1,5,2007
30559,"Harlan, IA","Manning, IA",3,0,2,5,0,0,1,4,0,5,2007
30520,"Harlan, IA","Creston, IA",0,3,2,0,3,2,5,0,0,5,2007
30597,"Harlan, IA","Storm Lake, IA",3,0,1,1,0,3,1,2,1,4,2007
30507,"Harlan, IA","Bedford, IA",1,2,1,0,4,0,1,3,0,4,2007
30605,"Harlan, IA","Waukee, IA",0,3,1,0,2,2,2,2,0,4,2007
30601,"Harlan, IA","Urbandale, IA",2,1,1,1,2,1,0,2,2,4,2007
30588,"Harlan, IA","Sergeant Bluff, IA",1,0,3,0,0,4,0,4,0,4,2007
30514,"Harlan, IA","Charter Oak, IA",1,0,3,4,0,0,0,4,0,4,2007
30608,"Harlan, IA","Windsor Heights, IA",2,2,0,0,2,2,2,2,0,4,2007
30544,"Harlan, IA","Hiawatha, IA",1,2,0,0,2,1,2,1,0,3,2007
30523,"Harlan, IA","Decorah, IA",0,2,1,2,0,1,1,1,1,3,2007
30511,"Harlan, IA","Cedar Falls, IA",3,0,0,0,3,0,3,0,0,3,2007
30575,"Harlan, IA","Oskaloosa, IA",0,1,2,1,1,1,0,1,2,3,2007
30566,"Harlan, IA","Mondamin, IA",0,1,2,0,3,0,0,3,0,3,2007
