,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
31609,"Hazleton, IA","Independence, IA",55,101,36,50,118,24,60,94,38,192,2007
31670,"Hazleton, IA","Waterloo, IA",24,88,17,30,76,23,22,66,41,129,2007
31606,"Hazleton, IA","Hazleton, IA",17,47,35,25,50,24,49,37,13,99,2007
31638,"Hazleton, IA","Oelwein, IA",36,41,19,17,61,18,42,43,11,96,2007
31560,"Hazleton, IA","Cedar Rapids, IA",17,37,8,20,28,14,12,22,28,62,2007
31559,"Hazleton, IA","Cedar Falls, IA",17,23,12,14,25,13,16,19,17,52,2007
31620,"Hazleton, IA","Manchester, IA",15,26,9,15,31,4,9,34,7,50,2007
31585,"Hazleton, IA","Elk Run Heights, IA",8,30,10,44,2,2,0,14,34,48,2007
31590,"Hazleton, IA","Fairbank, IA",8,31,3,14,18,10,16,21,5,42,2007
31547,"Hazleton, IA","Aurora, IA",6,15,7,10,6,12,10,12,6,28,2007
31607,"Hazleton, IA","Hiawatha, IA",7,16,3,10,12,4,6,19,1,26,2007
31624,"Hazleton, IA","Mason City, IA",7,13,3,1,9,13,7,13,3,23,2007
31589,"Hazleton, IA","Evansdale, IA",12,7,3,8,13,1,4,13,5,22,2007
31613,"Hazleton, IA","Jesup, IA",2,16,3,6,10,5,4,7,10,21,2007
31579,"Hazleton, IA","Dubuque, IA",7,11,2,1,13,6,5,7,8,20,2007
31673,"Hazleton, IA","Waverly, IA",2,15,0,7,7,3,1,8,8,17,2007
31577,"Hazleton, IA","Denver, IA",4,8,0,4,7,1,0,9,3,12,2007
31679,"Hazleton, IA","Winthrop, IA",4,7,1,8,1,3,4,3,5,12,2007
31660,"Hazleton, IA","Sumner, IA",3,5,4,6,2,4,4,8,0,12,2007
31659,"Hazleton, IA","Strawberry Point, IA",7,2,2,1,6,4,6,5,0,11,2007
31612,"Hazleton, IA","Iowa Falls, IA",6,4,1,3,5,3,5,4,2,11,2007
31664,"Hazleton, IA","Urbana, IA",2,7,2,4,3,4,3,1,7,11,2007
31578,"Hazleton, IA","Des Moines, IA",3,3,4,0,8,2,5,2,3,10,2007
