,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
33275,"Imogene, IA","Glenwood, IA",12,21,8,0,39,2,7,28,6,41,2007
33284,"Imogene, IA","Malvern, IA",8,16,12,0,33,3,17,13,6,36,2007
33268,"Imogene, IA","Council Bluffs, IA",7,16,6,6,16,7,3,16,10,29,2007
33296,"Imogene, IA","Silver City, IA",1,5,7,3,10,0,5,5,3,13,2007
33291,"Imogene, IA","Red Oak, IA",2,9,0,1,5,5,4,5,2,11,2007
33294,"Imogene, IA","Shenandoah, IA",2,1,2,0,2,3,2,3,0,5,2007
33266,"Imogene, IA","Clarinda, IA",1,2,1,0,3,1,2,1,1,4,2007
33269,"Imogene, IA","Creston, IA",1,2,0,1,1,1,2,0,1,3,2007
33276,"Imogene, IA","Grant, IA",0,2,1,0,2,1,1,2,0,3,2007
33271,"Imogene, IA","Des Moines, IA",0,3,0,0,3,0,1,1,1,3,2007
33288,"Imogene, IA","Pacific Junction, IA",0,3,0,2,1,0,0,2,1,3,2007
33281,"Imogene, IA","Imogene, IA",2,0,1,0,3,0,2,0,1,3,2007
33278,"Imogene, IA","Hastings, IA",2,1,0,0,0,3,1,1,1,3,2007
33267,"Imogene, IA","Clive, IA",0,2,0,0,2,0,1,1,0,2,2007
33264,"Imogene, IA","Carter Lake, IA",0,2,0,0,2,0,0,1,1,2,2007
33274,"Imogene, IA","Farragut, IA",1,1,0,2,0,0,1,1,0,2,2007
33290,"Imogene, IA","Randolph, IA",0,1,1,0,2,0,0,2,0,2,2007
33277,"Imogene, IA","Guthrie Center, IA",0,0,2,0,1,1,1,1,0,2,2007
33293,"Imogene, IA","Shelby, IA",0,0,1,0,0,1,0,1,0,1,2007
33292,"Imogene, IA","Sergeant Bluff, IA",1,0,0,0,1,0,1,0,0,1,2007
33289,"Imogene, IA","Pleasant Hill, IA",0,0,1,0,0,1,1,0,0,1,2007
33258,"Imogene, IA","Adel, IA",1,0,0,0,1,0,0,1,0,1,2007
33287,"Imogene, IA","Nodaway, IA",1,0,0,0,1,0,0,1,0,1,2007
33297,"Imogene, IA","Spencer, IA",1,0,0,1,0,0,0,1,0,1,2007
33298,"Imogene, IA","Tennant, IA",0,1,0,0,1,0,0,1,0,1,2007
33299,"Imogene, IA","Urbandale, IA",0,0,1,0,0,1,0,0,1,1,2007
33300,"Imogene, IA","Walcott, IA",0,1,0,0,0,1,0,0,1,1,2007
33301,"Imogene, IA","West Burlington, IA",0,1,0,0,0,1,1,0,0,1,2007
33295,"Imogene, IA","Sidney, IA",0,0,1,0,1,0,1,0,0,1,2007
33280,"Imogene, IA","Hiawatha, IA",1,0,0,0,1,0,0,1,0,1,2007
33286,"Imogene, IA","Newell, IA",0,1,0,0,0,1,1,0,0,1,2007
33285,"Imogene, IA","Marion, IA",0,1,0,0,1,0,1,0,0,1,2007
33283,"Imogene, IA","Macedonia, IA",1,0,0,1,0,0,0,1,0,1,2007
33282,"Imogene, IA","Lewis, IA",0,1,0,0,1,0,0,1,0,1,2007
33259,"Imogene, IA","Ames, IA",1,0,0,0,1,0,0,1,0,1,2007
33279,"Imogene, IA","Henderson, IA",0,0,1,0,1,0,1,0,0,1,2007
33273,"Imogene, IA","Elliott, IA",1,0,0,0,1,0,0,1,0,1,2007
33272,"Imogene, IA","Dexter, IA",1,0,0,0,0,1,0,1,0,1,2007
33270,"Imogene, IA","Decorah, IA",0,0,1,0,1,0,1,0,0,1,2007
33265,"Imogene, IA","Charles City, IA",0,1,0,0,0,1,1,0,0,1,2007
33263,"Imogene, IA","Carson, IA",0,1,0,0,1,0,1,0,0,1,2007
33262,"Imogene, IA","Carroll, IA",0,0,1,0,0,1,0,0,1,1,2007
33261,"Imogene, IA","Boone, IA",0,1,0,0,1,0,0,1,0,1,2007
33260,"Imogene, IA","Atlantic, IA",0,1,0,1,0,0,0,1,0,1,2007
33302,"Imogene, IA","Windsor Heights, IA",1,0,0,0,0,1,1,0,0,1,2007
