,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39351,"Leon, IA","Leon, IA",58,176,107,33,266,42,113,164,64,341,2007
39370,"Leon, IA","Osceola, IA",25,81,17,70,33,20,19,84,20,123,2007
39347,"Leon, IA","Lamoni, IA",20,28,7,14,36,5,27,26,2,55,2007
39314,"Leon, IA","Des Moines, IA",21,24,5,8,35,7,27,15,8,50,2007
39311,"Leon, IA","Creston, IA",13,18,3,5,29,0,18,13,3,34,2007
39364,"Leon, IA","Murray, IA",10,11,3,1,21,2,6,18,0,24,2007
39402,"Leon, IA","West Des Moines, IA",4,14,0,8,9,1,0,6,12,18,2007
39310,"Leon, IA","Corydon, IA",3,14,0,10,5,2,9,8,0,17,2007
39287,"Leon, IA","Ankeny, IA",7,6,2,6,6,3,3,6,6,15,2007
39307,"Leon, IA","Clive, IA",5,8,2,2,12,1,0,10,5,15,2007
39286,"Leon, IA","Ames, IA",7,7,0,4,7,3,5,6,3,14,2007
39396,"Leon, IA","Urbandale, IA",2,10,1,3,7,3,3,9,1,13,2007
39301,"Leon, IA","Chariton, IA",4,6,2,1,5,6,5,5,2,12,2007
39404,"Leon, IA","Windsor Heights, IA",2,5,2,2,4,3,3,5,1,9,2007
39345,"Leon, IA","Knoxville, IA",0,8,0,3,2,3,0,1,7,8,2007
39318,"Leon, IA","East Peru, IA",3,3,2,0,5,3,4,4,0,8,2007
39372,"Leon, IA","Ottumwa, IA",0,5,3,1,3,4,4,2,2,8,2007
39306,"Leon, IA","Clio, IA",1,6,1,1,5,2,2,6,0,8,2007
39299,"Leon, IA","Cedar Rapids, IA",1,5,1,3,2,2,0,2,5,7,2007
39300,"Leon, IA","Centerville, IA",0,6,0,0,4,2,3,1,2,6,2007
39388,"Leon, IA","Spring Hill, IA",3,0,3,0,5,1,5,1,0,6,2007
39352,"Leon, IA","Lineville, IA",2,4,0,1,2,3,4,2,0,6,2007
39376,"Leon, IA","Pleasant Hill, IA",5,0,1,0,1,5,4,2,0,6,2007
39285,"Leon, IA","Altoona, IA",6,0,0,0,5,1,2,4,0,6,2007
39398,"Leon, IA","Waterloo, IA",2,3,0,2,1,2,2,2,1,5,2007
39369,"Leon, IA","Norwalk, IA",3,2,0,0,1,4,4,0,1,5,2007
39401,"Leon, IA","West Burlington, IA",3,2,0,1,1,3,3,2,0,5,2007
39298,"Leon, IA","Cedar Falls, IA",0,4,1,2,2,1,2,1,2,5,2007
39293,"Leon, IA","Boone, IA",0,4,0,0,2,2,0,3,1,4,2007
39325,"Leon, IA","Fairfield, IA",1,3,0,0,0,4,2,2,0,4,2007
39361,"Leon, IA","Moulton, IA",1,3,0,4,0,0,1,3,0,4,2007
39329,"Leon, IA","Garden Grove, IA",1,3,0,1,0,3,2,2,0,4,2007
39395,"Leon, IA","University Heights, IA",0,3,1,0,3,1,1,1,2,4,2007
39362,"Leon, IA","Mount Ayr, IA",2,1,1,0,4,0,4,0,0,4,2007
39355,"Leon, IA","Marshalltown, IA",0,4,0,2,0,2,0,3,1,4,2007
39377,"Leon, IA","Pleasanton, IA",1,2,1,1,3,0,2,2,0,4,2007
39358,"Leon, IA","Milton, IA",2,1,0,3,0,0,0,3,0,3,2007
39337,"Leon, IA","Hiawatha, IA",1,0,2,0,1,2,2,1,0,3,2007
39331,"Leon, IA","Greenfield, IA",2,0,1,0,1,2,3,0,0,3,2007
39378,"Leon, IA","Red Oak, IA",1,2,0,1,0,2,2,0,1,3,2007
39291,"Leon, IA","Bettendorf, IA",1,1,1,0,2,1,1,2,0,3,2007
39294,"Leon, IA","Burlington, IA",2,1,0,1,0,2,3,0,0,3,2007
39340,"Leon, IA","Iowa City, IA",3,0,0,0,3,0,3,0,0,3,2007
39339,"Leon, IA","Indianola, IA",1,2,0,1,0,2,1,2,0,3,2007
39316,"Leon, IA","Diagonal, IA",3,0,0,0,3,0,0,3,0,3,2007
39371,"Leon, IA","Oskaloosa, IA",0,2,1,2,0,1,0,3,0,3,2007
39365,"Leon, IA","Muscatine, IA",0,1,2,0,1,2,0,2,1,3,2007
39367,"Leon, IA","Newton, IA",1,0,2,2,1,0,1,0,2,3,2007
39399,"Leon, IA","Waukee, IA",0,2,0,0,2,0,0,0,2,2,2007
39379,"Leon, IA","Redding, IA",0,2,0,2,0,0,0,2,0,2,2007
