,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54084,"Oxford, IA","Iowa City, IA",182,667,184,148,805,80,193,372,468,1033,2007
54038,"Oxford, IA","Cedar Rapids, IA",78,273,67,95,242,81,76,118,224,418,2007
54145,"Oxford, IA","University Heights, IA",47,209,65,6,288,27,49,112,160,321,2007
54115,"Oxford, IA","North Liberty, IA",73,92,19,43,113,28,58,62,64,184,2007
54142,"Oxford, IA","Tiffin, IA",46,97,28,42,47,82,40,60,71,171,2007
54047,"Oxford, IA","Coralville, IA",71,72,16,16,108,35,64,58,37,159,2007
54080,"Oxford, IA","Hiawatha, IA",30,96,19,63,67,15,14,46,85,145,2007
54165,"Oxford, IA","Williamsburg, IA",31,68,16,26,55,34,39,32,44,115,2007
54120,"Oxford, IA","Oxford, IA",28,48,20,18,53,25,40,37,19,96,2007
54131,"Oxford, IA","Riverside, IA",29,41,12,23,45,14,31,38,13,82,2007
54134,"Oxford, IA","Shueyville, IA",19,34,10,15,39,9,17,20,26,63,2007
54062,"Oxford, IA","Ely, IA",7,22,14,0,41,2,15,11,17,43,2007
54088,"Oxford, IA","Kalona, IA",16,17,10,9,22,12,14,19,10,43,2007
54054,"Oxford, IA","Des Moines, IA",15,22,6,1,32,10,14,13,16,43,2007
54028,"Oxford, IA","Blairstown, IA",4,28,6,30,8,0,2,18,18,38,2007
54065,"Oxford, IA","Fairfax, IA",10,22,5,10,15,12,13,12,12,37,2007
54050,"Oxford, IA","Davenport, IA",16,12,3,0,17,14,13,14,4,31,2007
54045,"Oxford, IA","Clive, IA",11,10,0,0,13,8,11,1,9,21,2007
54149,"Oxford, IA","Walford, IA",5,9,7,2,10,9,11,9,1,21,2007
54110,"Oxford, IA","Muscatine, IA",9,10,2,6,13,2,8,6,7,21,2007
54027,"Oxford, IA","Bettendorf, IA",6,11,3,0,11,9,7,10,3,20,2007
54099,"Oxford, IA","Marengo, IA",0,10,8,11,4,3,6,5,7,18,2007
54132,"Oxford, IA","Robins, IA",3,10,3,3,9,4,6,6,4,16,2007
54056,"Oxford, IA","Dubuque, IA",7,6,2,1,12,2,5,6,4,15,2007
54141,"Oxford, IA","Swisher, IA",0,10,3,3,3,7,3,4,6,13,2007
