,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
34937,"Independence, IA","Independence, IA",347,695,300,255,854,233,502,561,279,1342,2007
34930,"Independence, IA","Hazleton, IA",55,101,36,50,118,24,60,94,38,192,2007
35003,"Independence, IA","Oelwein, IA",49,98,38,62,100,23,59,103,23,185,2007
34900,"Independence, IA","Fairbank, IA",38,86,33,35,104,18,39,75,43,157,2007
35082,"Independence, IA","Waterloo, IA",35,55,16,21,70,15,25,59,22,106,2007
34825,"Independence, IA","Aurora, IA",32,58,15,26,69,10,36,50,19,105,2007
35071,"Independence, IA","Urbana, IA",20,57,23,29,57,14,43,35,22,100,2007
35099,"Independence, IA","Winthrop, IA",25,45,17,25,55,7,35,33,19,87,2007
35080,"Independence, IA","Walker, IA",23,48,13,20,51,13,23,47,14,84,2007
34835,"Independence, IA","Brandon, IA",18,40,25,25,50,8,22,42,19,83,2007
34848,"Independence, IA","Cedar Falls, IA",22,45,9,20,42,14,22,42,12,76,2007
34941,"Independence, IA","Jesup, IA",20,40,10,11,50,9,28,33,9,70,2007
34849,"Independence, IA","Cedar Rapids, IA",10,26,11,4,23,20,11,20,16,47,2007
34883,"Independence, IA","Dubuque, IA",8,20,6,6,18,10,12,14,8,34,2007
34860,"Independence, IA","Clinton, IA",7,12,5,6,13,5,9,11,4,24,2007
34975,"Independence, IA","Marshalltown, IA",4,13,6,1,9,13,9,12,2,23,2007
35086,"Independence, IA","Waverly, IA",7,11,4,1,14,7,3,11,8,22,2007
34875,"Independence, IA","Decorah, IA",8,6,7,5,5,11,10,11,0,21,2007
35076,"Independence, IA","Vinton, IA",6,13,1,0,13,7,6,7,7,20,2007
34931,"Independence, IA","Hiawatha, IA",9,7,3,1,10,8,6,5,8,19,2007
34938,"Independence, IA","Iowa City, IA",8,8,3,1,12,6,5,8,6,19,2007
35035,"Independence, IA","Robins, IA",4,7,5,0,10,6,3,6,7,16,2007
34899,"Independence, IA","Evansdale, IA",6,7,3,3,10,3,4,10,2,16,2007
34985,"Independence, IA","Monticello, IA",3,9,3,0,9,6,3,9,3,15,2007
34877,"Independence, IA","Denver, IA",6,5,3,0,8,6,7,4,3,14,2007
35055,"Independence, IA","Stanley, IA",4,5,5,6,6,2,2,11,1,14,2007
35085,"Independence, IA","Waukon, IA",3,8,2,3,6,4,5,6,2,13,2007
34939,"Independence, IA","Iowa Falls, IA",5,6,1,1,7,4,8,3,1,12,2007
34841,"Independence, IA","Burlington, IA",3,8,0,0,7,4,3,5,3,11,2007
35092,"Independence, IA","West Union, IA",3,7,1,2,8,1,4,5,2,11,2007
35026,"Independence, IA","Randalia, IA",0,8,3,2,9,0,5,4,2,11,2007
34873,"Independence, IA","Davenport, IA",2,6,2,0,3,7,3,7,0,10,2007
34977,"Independence, IA","Mason City, IA",5,3,1,0,7,2,2,6,1,9,2007
35066,"Independence, IA","Toledo, IA",3,3,3,1,5,3,3,5,1,9,2007
34903,"Independence, IA","Fayette, IA",4,3,2,1,7,1,2,7,0,9,2007
34822,"Independence, IA","Asbury, IA",4,3,1,1,6,1,2,3,3,8,2007
35069,"Independence, IA","University Heights, IA",3,3,2,0,2,6,3,2,3,8,2007
34994,"Independence, IA","New Albin, IA",3,3,2,2,4,2,5,2,1,8,2007
34973,"Independence, IA","Marengo, IA",0,3,5,2,6,0,2,2,4,8,2007
34878,"Independence, IA","Des Moines, IA",2,4,2,1,6,1,3,3,2,8,2007
35010,"Independence, IA","Palo, IA",2,6,0,1,3,4,3,2,3,8,2007
35028,"Independence, IA","Readlyn, IA",0,6,1,5,1,1,1,3,3,7,2007
35027,"Independence, IA","Raymond, IA",3,3,1,3,3,1,1,5,1,7,2007
35007,"Independence, IA","Ottumwa, IA",2,4,1,0,3,4,3,3,1,7,2007
34890,"Independence, IA","Elberon, IA",3,3,1,2,4,1,3,3,1,7,2007
34969,"Independence, IA","Manchester, IA",2,3,2,2,3,2,3,1,3,7,2007
34850,"Independence, IA","Center Junction, IA",1,4,2,2,0,5,1,2,4,7,2007
34988,"Independence, IA","Morley, IA",1,5,1,0,3,4,4,3,0,7,2007
34947,"Independence, IA","La Porte City, IA",3,3,1,4,3,0,2,4,1,7,2007
35006,"Independence, IA","Oskaloosa, IA",2,2,2,0,4,2,3,3,0,6,2007
34908,"Independence, IA","Fredericksburg, IA",2,3,1,1,4,1,0,6,0,6,2007
35073,"Independence, IA","Van Horne, IA",2,2,2,0,3,3,1,5,0,6,2007
34992,"Independence, IA","Muscatine, IA",1,4,1,0,3,3,4,2,0,6,2007
35029,"Independence, IA","Reinbeck, IA",2,4,0,0,5,1,1,4,1,6,2007
35062,"Independence, IA","Tama, IA",2,4,0,1,3,2,2,3,1,6,2007
35060,"Independence, IA","Sumner, IA",1,3,2,0,6,0,0,4,2,6,2007
34995,"Independence, IA","New Hampton, IA",3,1,2,0,5,1,4,2,0,6,2007
34809,"Independence, IA","Ackley, IA",1,5,0,0,3,3,1,3,2,6,2007
34818,"Independence, IA","Anamosa, IA",1,4,1,1,0,5,1,4,1,6,2007
