,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
37729,"Kellogg, IA","Newton, IA",7,25,8,25,7,8,8,16,16,40,2007
37718,"Kellogg, IA","Kellogg, IA",1,8,6,9,4,2,4,6,5,15,2007
37723,"Kellogg, IA","Lynnville, IA",1,9,2,9,2,1,1,8,3,12,2007
37724,"Kellogg, IA","Marshalltown, IA",0,10,0,9,1,0,1,3,6,10,2007
37711,"Kellogg, IA","Gilman, IA",0,7,2,4,3,2,1,5,3,9,2007
37735,"Kellogg, IA","Reasnor, IA",2,5,1,8,0,0,0,3,5,8,2007
37712,"Kellogg, IA","Grinnell, IA",0,5,1,6,0,0,0,3,3,6,2007
37697,"Kellogg, IA","Baxter, IA",0,3,2,4,0,1,2,3,0,5,2007
37720,"Kellogg, IA","Lambs Grove, IA",1,2,2,5,0,0,0,3,2,5,2007
37740,"Kellogg, IA","Swan, IA",1,3,0,4,0,0,1,1,2,4,2007
37696,"Kellogg, IA","Ankeny, IA",0,1,2,1,2,0,0,0,3,3,2007
37721,"Kellogg, IA","Le Grand, IA",0,3,0,2,0,1,0,2,1,3,2007
37739,"Kellogg, IA","Sully, IA",1,2,0,2,1,0,2,0,1,3,2007
37742,"Kellogg, IA","Toledo, IA",0,3,0,3,0,0,0,2,1,3,2007
37704,"Kellogg, IA","Colfax, IA",0,2,0,2,0,0,0,1,1,2,2007
37707,"Kellogg, IA","Des Moines, IA",1,1,0,1,1,0,1,0,1,2,2007
37728,"Kellogg, IA","Mitchellville, IA",0,2,0,1,0,1,0,0,2,2,2007
37699,"Kellogg, IA","Brooklyn, IA",0,2,0,2,0,0,0,0,2,2,2007
37716,"Kellogg, IA","Hiawatha, IA",0,2,0,0,1,1,0,2,0,2,2007
37732,"Kellogg, IA","Pella, IA",1,0,0,0,1,0,1,0,0,1,2007
37733,"Kellogg, IA","Perry, IA",0,1,0,0,1,0,1,0,0,1,2007
37731,"Kellogg, IA","Oskaloosa, IA",0,1,0,0,1,0,1,0,0,1,2007
37734,"Kellogg, IA","Pleasant Hill, IA",0,1,0,1,0,0,0,0,1,1,2007
37749,"Kellogg, IA","West Des Moines, IA",0,1,0,0,1,0,0,1,0,1,2007
37736,"Kellogg, IA","Reinbeck, IA",0,1,0,0,1,0,0,1,0,1,2007
37737,"Kellogg, IA","Robins, IA",0,1,0,0,0,1,0,0,1,1,2007
37730,"Kellogg, IA","Ogden, IA",0,1,0,0,0,1,1,0,0,1,2007
37741,"Kellogg, IA","Tama, IA",0,1,0,1,0,0,0,0,1,1,2007
37743,"Kellogg, IA","University Park, IA",0,0,1,1,0,0,0,1,0,1,2007
37744,"Kellogg, IA","Urbana, IA",0,1,0,0,0,1,0,0,1,1,2007
37745,"Kellogg, IA","Urbandale, IA",0,0,1,0,1,0,0,0,1,1,2007
37746,"Kellogg, IA","Walford, IA",0,0,1,0,0,1,0,1,0,1,2007
37747,"Kellogg, IA","Walker, IA",0,1,0,0,0,1,0,0,1,1,2007
37748,"Kellogg, IA","Waterloo, IA",0,1,0,0,1,0,0,0,1,1,2007
37738,"Kellogg, IA","Stanhope, IA",1,0,0,0,0,1,1,0,0,1,2007
37695,"Kellogg, IA","Ames, IA",0,1,0,0,0,1,0,1,0,1,2007
37727,"Kellogg, IA","Melbourne, IA",0,0,1,0,0,1,0,0,1,1,2007
37726,"Kellogg, IA","McCausland, IA",0,1,0,0,0,1,0,1,0,1,2007
37698,"Kellogg, IA","Bertram, IA",0,1,0,0,0,1,1,0,0,1,2007
37700,"Kellogg, IA","Burlington, IA",0,1,0,0,0,1,0,1,0,1,2007
37701,"Kellogg, IA","Cedar Falls, IA",0,0,1,0,0,1,1,0,0,1,2007
37702,"Kellogg, IA","Cedar Rapids, IA",0,0,1,0,0,1,0,1,0,1,2007
37703,"Kellogg, IA","Clutier, IA",0,0,1,0,0,1,1,0,0,1,2007
37705,"Kellogg, IA","Crawfordsville, IA",0,1,0,0,0,1,0,0,1,1,2007
37706,"Kellogg, IA","Decorah, IA",0,1,0,0,0,1,0,0,1,1,2007
37708,"Kellogg, IA","Elk Run Heights, IA",0,0,1,0,1,0,0,0,1,1,2007
37709,"Kellogg, IA","Fairfax, IA",1,0,0,0,0,1,1,0,0,1,2007
37710,"Kellogg, IA","Ferguson, IA",0,1,0,1,0,0,0,1,0,1,2007
37713,"Kellogg, IA","Guernsey, IA",0,1,0,0,0,1,0,1,0,1,2007
37714,"Kellogg, IA","Hampton, IA",0,1,0,0,1,0,0,1,0,1,2007
37715,"Kellogg, IA","Harvey, IA",0,1,0,0,1,0,1,0,0,1,2007
37717,"Kellogg, IA","Huxley, IA",0,1,0,0,0,1,0,1,0,1,2007
37719,"Kellogg, IA","Knoxville, IA",1,0,0,0,0,1,1,0,0,1,2007
37722,"Kellogg, IA","Luana, IA",1,0,0,1,0,0,0,0,1,1,2007
37725,"Kellogg, IA","Maxwell, IA",0,1,0,1,0,0,0,1,0,1,2007
37750,"Kellogg, IA","Wilton, IA",0,0,1,0,0,1,1,0,0,1,2007
