,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
40665,"Le Roy, IA","Osceola, IA",2,9,2,3,3,7,4,8,1,13,2007
40662,"Le Roy, IA","Murray, IA",0,3,1,0,1,3,3,1,0,4,2007
40659,"Le Roy, IA","Le Roy, IA",1,0,2,0,0,3,2,1,0,3,2007
40673,"Le Roy, IA","Yetter, IA",0,1,1,0,0,2,2,0,0,2,2007
40669,"Le Roy, IA","St. Marys, IA",1,1,0,1,0,1,1,1,0,2,2007
40653,"Le Roy, IA","East Peru, IA",1,1,0,0,0,2,1,1,0,2,2007
40667,"Le Roy, IA","Ottumwa, IA",0,2,0,0,0,2,2,0,0,2,2007
40657,"Le Roy, IA","Lamoni, IA",0,2,0,0,0,2,0,2,0,2,2007
40663,"Le Roy, IA","Norwalk, IA",1,1,0,1,0,1,1,1,0,2,2007
40672,"Le Roy, IA","Walker, IA",0,1,0,0,0,1,1,0,0,1,2007
40671,"Le Roy, IA","Unionville, IA",0,1,0,0,1,0,0,1,0,1,2007
40670,"Le Roy, IA","St. Paul, IA",0,0,1,0,1,0,1,0,0,1,2007
40668,"Le Roy, IA","Pleasant Hill, IA",0,1,0,0,1,0,1,0,0,1,2007
40666,"Le Roy, IA","Oskaloosa, IA",1,0,0,0,1,0,0,1,0,1,2007
40664,"Le Roy, IA","Oelwein, IA",0,1,0,0,0,1,1,0,0,1,2007
40647,"Le Roy, IA","Ames, IA",0,1,0,0,0,1,1,0,0,1,2007
40661,"Le Roy, IA","Mount Ayr, IA",0,1,0,0,0,1,0,1,0,1,2007
40648,"Le Roy, IA","Cedar Rapids, IA",0,1,0,0,1,0,1,0,0,1,2007
40658,"Le Roy, IA","Le Mars, IA",0,1,0,0,0,1,1,0,0,1,2007
40656,"Le Roy, IA","Knoxville, IA",0,1,0,0,1,0,1,0,0,1,2007
40655,"Le Roy, IA","Indianola, IA",0,1,0,0,0,1,1,0,0,1,2007
40654,"Le Roy, IA","Glidden, IA",0,1,0,0,0,1,1,0,0,1,2007
40652,"Le Roy, IA","Dallas Center, IA",1,0,0,0,1,0,1,0,0,1,2007
40651,"Le Roy, IA","Creston, IA",1,0,0,0,1,0,0,1,0,1,2007
40650,"Le Roy, IA","Chariton, IA",0,1,0,0,1,0,1,0,0,1,2007
40649,"Le Roy, IA","Center Point, IA",1,0,0,0,1,0,1,0,0,1,2007
40660,"Le Roy, IA","Leon, IA",0,1,0,1,0,0,0,1,0,1,2007
