,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
43483,"Manson, IA","Manson, IA",46,120,43,17,121,71,121,60,28,209,2007
43460,"Manson, IA","Fort Dodge, IA",5,21,7,0,22,11,14,10,9,33,2007
43499,"Manson, IA","Pomeroy, IA",6,13,6,1,16,8,8,13,4,25,2007
43459,"Manson, IA","Fonda, IA",3,6,6,1,7,7,5,5,5,15,2007
43472,"Manson, IA","Knierim, IA",3,9,3,0,6,9,4,6,5,15,2007
43502,"Manson, IA","Rockwell City, IA",3,5,3,1,5,5,2,5,4,11,2007
43494,"Manson, IA","Ottosen, IA",5,5,0,0,1,9,4,4,2,10,2007
43470,"Manson, IA","Humboldt, IA",2,5,2,0,2,7,2,6,1,9,2007
43478,"Manson, IA","Laurens, IA",2,1,4,0,5,2,3,3,1,7,2007
43469,"Manson, IA","Havelock, IA",2,3,2,0,3,4,4,1,2,7,2007
43488,"Manson, IA","Newell, IA",3,2,1,0,4,2,3,1,2,6,2007
43495,"Manson, IA","Palmer, IA",2,2,2,0,2,4,2,2,2,6,2007
43474,"Manson, IA","Lake City, IA",0,3,2,0,0,5,0,5,0,5,2007
43442,"Manson, IA","Clive, IA",0,3,1,1,2,1,1,0,3,4,2007
43501,"Manson, IA","Rinard, IA",2,2,0,0,0,4,0,3,1,4,2007
43447,"Manson, IA","Dakota City, IA",0,3,1,0,0,4,1,1,2,4,2007
43509,"Manson, IA","Spencer, IA",0,2,2,0,1,3,1,1,2,4,2007
43516,"Manson, IA","Webb, IA",0,4,0,0,1,3,0,1,3,4,2007
43477,"Manson, IA","Lakeside, IA",1,2,0,0,1,2,1,2,0,3,2007
43518,"Manson, IA","Westside, IA",0,2,1,0,2,1,0,3,0,3,2007
43479,"Manson, IA","Le Mars, IA",1,1,1,0,3,0,0,3,0,3,2007
43435,"Manson, IA","Aurelia, IA",3,0,0,0,0,3,1,2,0,3,2007
43449,"Manson, IA","Dayton, IA",0,1,2,0,0,3,2,1,0,3,2007
43493,"Manson, IA","Otho, IA",0,2,1,0,0,3,0,2,1,3,2007
43468,"Manson, IA","Harris, IA",0,2,0,0,0,2,1,1,0,2,2007
43433,"Manson, IA","Ashton, IA",0,2,0,0,1,1,0,2,0,2,2007
43436,"Manson, IA","Boxholm, IA",0,2,0,0,0,2,0,0,2,2,2007
43438,"Manson, IA","Callender, IA",0,0,2,0,0,2,0,2,0,2,2007
43462,"Manson, IA","Goldfield, IA",0,1,1,0,0,2,1,1,0,2,2007
43498,"Manson, IA","Pocahontas, IA",0,2,0,0,1,1,1,1,0,2,2007
43497,"Manson, IA","Pleasant Hill, IA",1,1,0,0,2,0,1,0,1,2,2007
43475,"Manson, IA","Lake Park, IA",1,1,0,0,0,2,1,1,0,2,2007
43480,"Manson, IA","Lehigh, IA",0,1,1,0,1,1,1,1,0,2,2007
