,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
46949,"Minburn, IA","Minburn, IA",9,16,10,5,21,9,11,14,10,35,2007
46980,"Minburn, IA","Waukee, IA",4,15,5,1,11,12,6,10,8,24,2007
46961,"Minburn, IA","Perry, IA",8,9,5,4,3,15,8,12,2,22,2007
46905,"Minburn, IA","Boone, IA",4,9,4,0,0,17,5,7,5,17,2007
46924,"Minburn, IA","Des Moines, IA",2,4,6,5,1,6,3,8,1,12,2007
46977,"Minburn, IA","Urbandale, IA",3,8,1,2,5,5,0,6,6,12,2007
46900,"Minburn, IA","Ankeny, IA",1,10,0,2,2,7,0,0,11,11,2007
46922,"Minburn, IA","De Soto, IA",3,4,4,0,6,5,5,4,2,11,2007
46942,"Minburn, IA","Linden, IA",4,3,3,4,2,4,3,4,3,10,2007
46920,"Minburn, IA","Dallas Center, IA",2,5,2,1,2,6,3,3,3,9,2007
46912,"Minburn, IA","Clive, IA",3,3,2,3,5,0,1,3,4,8,2007
46898,"Minburn, IA","Ames, IA",3,5,0,0,1,7,2,2,4,8,2007
46934,"Minburn, IA","Guthrie Center, IA",1,4,2,2,0,5,0,5,2,7,2007
46896,"Minburn, IA","Adel, IA",4,1,1,1,5,0,2,3,1,6,2007
46933,"Minburn, IA","Grimes, IA",0,6,0,0,5,1,4,0,2,6,2007
46984,"Minburn, IA","Woodward, IA",0,4,2,2,4,0,1,1,4,6,2007
46932,"Minburn, IA","Granger, IA",1,2,2,0,3,2,1,2,2,5,2007
46897,"Minburn, IA","Altoona, IA",0,5,0,3,0,2,0,4,1,5,2007
46962,"Minburn, IA","Pleasant Hill, IA",1,3,1,3,1,1,0,4,1,5,2007
46908,"Minburn, IA","Casey, IA",0,2,2,0,0,4,1,2,1,4,2007
46937,"Minburn, IA","Jefferson, IA",1,2,1,0,0,4,1,2,1,4,2007
46903,"Minburn, IA","Bayard, IA",1,3,0,1,1,2,1,2,1,4,2007
46966,"Minburn, IA","Rippey, IA",0,4,0,1,0,3,0,3,1,4,2007
46952,"Minburn, IA","Newton, IA",2,2,0,2,0,2,0,1,3,4,2007
46954,"Minburn, IA","Ogden, IA",2,1,0,0,0,3,1,1,1,3,2007
46950,"Minburn, IA","Nevada, IA",1,2,0,0,0,3,1,1,1,3,2007
46972,"Minburn, IA","Story City, IA",2,1,0,0,0,3,0,1,2,3,2007
46965,"Minburn, IA","Redfield, IA",3,0,0,0,3,0,2,1,0,3,2007
46938,"Minburn, IA","Johnston, IA",0,1,2,1,1,1,2,1,0,3,2007
46930,"Minburn, IA","Exira, IA",0,2,1,0,1,2,0,3,0,3,2007
46936,"Minburn, IA","Huxley, IA",1,1,0,0,0,2,0,2,0,2,2007
46910,"Minburn, IA","Chariton, IA",0,1,1,0,1,1,0,1,1,2,2007
46946,"Minburn, IA","Madrid, IA",0,2,0,0,0,2,0,1,1,2,2007
46957,"Minburn, IA","Panora, IA",1,1,0,0,0,2,0,1,1,2,2007
46983,"Minburn, IA","Windsor Heights, IA",0,2,0,0,1,1,1,0,1,2,2007
46960,"Minburn, IA","Pella, IA",1,0,1,0,0,2,2,0,0,2,2007
46911,"Minburn, IA","Churdan, IA",1,1,0,0,0,2,0,1,1,2,2007
46963,"Minburn, IA","Pleasantville, IA",1,1,0,1,0,1,0,2,0,2,2007
46921,"Minburn, IA","Dawson, IA",0,1,1,0,0,2,0,0,2,2,2007
46964,"Minburn, IA","Polk City, IA",0,1,1,0,1,1,1,0,1,2,2007
46959,"Minburn, IA","Patterson, IA",0,1,0,1,0,0,0,0,1,1,2007
46978,"Minburn, IA","Van Meter, IA",1,0,0,0,0,1,0,0,1,1,2007
46976,"Minburn, IA","University Park, IA",1,0,0,0,0,1,1,0,0,1,2007
46955,"Minburn, IA","Ottosen, IA",0,1,0,0,0,1,0,1,0,1,2007
46956,"Minburn, IA","Palo, IA",0,0,1,0,0,1,0,0,1,1,2007
46969,"Minburn, IA","Sheldon, IA",0,0,1,0,0,1,0,1,0,1,2007
46953,"Minburn, IA","Northwood, IA",0,1,0,0,1,0,0,0,1,1,2007
46958,"Minburn, IA","Parkersburg, IA",1,0,0,0,0,1,1,0,0,1,2007
46968,"Minburn, IA","Sandyville, IA",1,0,0,0,0,1,0,1,0,1,2007
46979,"Minburn, IA","Waterloo, IA",1,0,0,1,0,0,0,1,0,1,2007
46967,"Minburn, IA","Rock Rapids, IA",0,0,1,0,0,1,0,1,0,1,2007
46982,"Minburn, IA","West Des Moines, IA",0,1,0,1,0,0,0,0,1,1,2007
46981,"Minburn, IA","Webster City, IA",0,1,0,0,0,1,0,1,0,1,2007
46975,"Minburn, IA","Tama, IA",0,1,0,0,0,1,0,0,1,1,2007
46971,"Minburn, IA","Stanhope, IA",0,1,0,0,0,1,0,1,0,1,2007
46974,"Minburn, IA","Swea City, IA",0,1,0,0,0,1,0,1,0,1,2007
46973,"Minburn, IA","Swan, IA",0,1,0,0,0,1,0,0,1,1,2007
46970,"Minburn, IA","Spring Hill, IA",0,0,1,0,0,1,0,0,1,1,2007
46895,"Minburn, IA","Adair, IA",0,1,0,0,0,1,0,0,1,1,2007
46951,"Minburn, IA","New Sharon, IA",0,0,1,0,0,1,0,0,1,1,2007
46919,"Minburn, IA","Dakota City, IA",0,1,0,0,0,1,0,0,1,1,2007
46899,"Minburn, IA","Anita, IA",0,1,0,0,0,1,0,1,0,1,2007
46901,"Minburn, IA","Bagley, IA",1,0,0,0,0,1,1,0,0,1,2007
46902,"Minburn, IA","Baxter, IA",0,0,1,0,0,1,1,0,0,1,2007
46904,"Minburn, IA","Belle Plaine, IA",1,0,0,0,0,1,0,1,0,1,2007
46906,"Minburn, IA","Boxholm, IA",0,1,0,1,0,0,0,1,0,1,2007
46907,"Minburn, IA","Carlisle, IA",0,0,1,0,0,1,0,0,1,1,2007
46909,"Minburn, IA","Cedar Falls, IA",0,1,0,0,0,1,0,0,1,1,2007
46913,"Minburn, IA","Coon Rapids, IA",0,1,0,0,0,1,0,0,1,1,2007
46914,"Minburn, IA","Coralville, IA",0,0,1,0,0,1,1,0,0,1,2007
46915,"Minburn, IA","Council Bluffs, IA",1,0,0,0,0,1,0,1,0,1,2007
46916,"Minburn, IA","Creston, IA",0,1,0,0,0,1,0,1,0,1,2007
46917,"Minburn, IA","Cromwell, IA",0,1,0,0,0,1,1,0,0,1,2007
46918,"Minburn, IA","Curlew, IA",0,0,1,0,0,1,1,0,0,1,2007
46923,"Minburn, IA","Dedham, IA",0,1,0,0,0,1,0,0,1,1,2007
46948,"Minburn, IA","Maxwell, IA",0,1,0,0,0,1,0,1,0,1,2007
46925,"Minburn, IA","Dexter, IA",0,1,0,1,0,0,0,0,1,1,2007
46926,"Minburn, IA","East Peru, IA",0,1,0,0,0,1,1,0,0,1,2007
46927,"Minburn, IA","Elberon, IA",0,1,0,0,0,1,0,1,0,1,2007
46928,"Minburn, IA","Elk Run Heights, IA",1,0,0,1,0,0,0,1,0,1,2007
46929,"Minburn, IA","Ellsworth, IA",0,1,0,0,0,1,1,0,0,1,2007
46931,"Minburn, IA","Grand Junction, IA",1,0,0,0,1,0,0,1,0,1,2007
46935,"Minburn, IA","Harvey, IA",1,0,0,0,0,1,0,1,0,1,2007
46939,"Minburn, IA","Knoxville, IA",0,1,0,0,0,1,0,1,0,1,2007
46941,"Minburn, IA","Leon, IA",1,0,0,0,0,1,0,0,1,1,2007
46943,"Minburn, IA","Liscomb, IA",0,1,0,0,0,1,0,0,1,1,2007
46944,"Minburn, IA","Luther, IA",0,1,0,0,0,1,0,0,1,1,2007
46945,"Minburn, IA","Lynnville, IA",0,1,0,1,0,0,0,1,0,1,2007
46947,"Minburn, IA","Marshalltown, IA",0,1,0,0,0,1,0,1,0,1,2007
46940,"Minburn, IA","Lamoni, IA",1,0,0,0,1,0,0,0,1,1,2007
