,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51347,"Nodaway, IA","Nodaway, IA",19,47,21,19,51,17,26,45,16,87,2007
51301,"Nodaway, IA","Corning, IA",18,36,16,17,44,9,25,32,13,70,2007
51321,"Nodaway, IA","Grant, IA",11,14,8,10,20,3,14,15,4,33,2007
51305,"Nodaway, IA","Cromwell, IA",7,9,3,3,11,5,6,11,2,19,2007
51304,"Nodaway, IA","Creston, IA",8,5,3,9,6,1,2,13,1,16,2007
51303,"Nodaway, IA","Council Bluffs, IA",2,11,2,2,13,0,2,8,5,15,2007
51364,"Nodaway, IA","Stanton, IA",2,6,2,1,7,2,2,3,5,10,2007
51334,"Nodaway, IA","Lewis, IA",0,7,0,6,1,0,1,4,2,7,2007
51322,"Nodaway, IA","Gravity, IA",2,3,2,4,2,1,0,4,3,7,2007
51313,"Nodaway, IA","Elliott, IA",4,2,0,2,4,0,3,1,2,6,2007
51349,"Nodaway, IA","Orient, IA",0,5,0,0,5,0,0,4,1,5,2007
51333,"Nodaway, IA","Lenox, IA",0,4,1,1,4,0,2,1,2,5,2007
51287,"Nodaway, IA","Bedford, IA",3,2,0,1,2,2,0,4,1,5,2007
51286,"Nodaway, IA","Atlantic, IA",1,3,0,2,2,0,0,1,3,4,2007
51341,"Nodaway, IA","Massena, IA",0,2,2,3,1,0,2,1,1,4,2007
51353,"Nodaway, IA","Red Oak, IA",0,2,2,0,4,0,3,0,1,4,2007
51299,"Nodaway, IA","Clearfield, IA",0,0,3,0,3,0,0,2,1,3,2007
51314,"Nodaway, IA","Essex, IA",0,2,1,0,3,0,0,3,0,3,2007
51309,"Nodaway, IA","Des Moines, IA",1,2,0,0,1,2,3,0,0,3,2007
51368,"Nodaway, IA","Waterloo, IA",0,1,2,2,1,0,1,1,1,3,2007
51350,"Nodaway, IA","Oskaloosa, IA",0,2,0,0,1,1,0,2,0,2,2007
51339,"Nodaway, IA","Manning, IA",0,2,0,1,1,0,0,1,1,2,2007
51316,"Nodaway, IA","Fairfield, IA",1,0,1,0,1,1,0,1,1,2,2007
51323,"Nodaway, IA","Greenfield, IA",1,0,1,2,0,0,0,0,2,2,2007
51324,"Nodaway, IA","Hamburg, IA",1,1,0,1,1,0,0,1,1,2,2007
51282,"Nodaway, IA","Afton, IA",0,2,0,2,0,0,2,0,0,2,2007
51331,"Nodaway, IA","Knoxville, IA",2,0,0,0,1,1,0,1,1,2,2007
51340,"Nodaway, IA","Marcus, IA",1,1,0,0,1,1,1,1,0,2,2007
51310,"Nodaway, IA","Diagonal, IA",0,0,2,0,0,2,1,1,0,2,2007
51338,"Nodaway, IA","Magnolia, IA",0,1,1,0,2,0,0,2,0,2,2007
51358,"Nodaway, IA","Sharpsburg, IA",1,1,0,1,1,0,1,1,0,2,2007
51285,"Nodaway, IA","Anita, IA",0,2,0,2,0,0,0,2,0,2,2007
51288,"Nodaway, IA","Blanchard, IA",0,2,0,0,1,1,0,2,0,2,2007
51355,"Nodaway, IA","Rock Rapids, IA",0,0,1,1,0,0,0,0,1,1,2007
51367,"Nodaway, IA","Walnut, IA",0,1,0,0,1,0,0,1,0,1,2007
51372,"Nodaway, IA","Winterset, IA",0,0,1,1,0,0,0,0,1,1,2007
51371,"Nodaway, IA","Westside, IA",0,0,1,0,1,0,0,1,0,1,2007
51342,"Nodaway, IA","Meriden, IA",0,1,0,0,1,0,0,0,1,1,2007
51343,"Nodaway, IA","Minden, IA",0,1,0,0,1,0,0,1,0,1,2007
51370,"Nodaway, IA","West Branch, IA",0,1,0,0,0,1,1,0,0,1,2007
51344,"Nodaway, IA","Missouri Valley, IA",0,1,0,0,1,0,0,0,1,1,2007
51345,"Nodaway, IA","Mount Ayr, IA",0,0,1,0,0,1,1,0,0,1,2007
51346,"Nodaway, IA","New Market, IA",0,1,0,0,0,1,0,1,0,1,2007
51369,"Nodaway, IA","Waukee, IA",1,0,0,0,0,1,1,0,0,1,2007
51348,"Nodaway, IA","Oakland, IA",0,0,1,0,1,0,0,0,1,1,2007
51354,"Nodaway, IA","Redding, IA",1,0,0,0,0,1,0,1,0,1,2007
51366,"Nodaway, IA","Vinton, IA",0,1,0,0,1,0,0,1,0,1,2007
51365,"Nodaway, IA","Urbandale, IA",0,1,0,0,0,1,0,1,0,1,2007
51363,"Nodaway, IA","Spencer, IA",0,0,1,1,0,0,0,0,1,1,2007
51362,"Nodaway, IA","Silver City, IA",0,1,0,0,1,0,0,0,1,1,2007
51361,"Nodaway, IA","Sidney, IA",0,1,0,0,1,0,1,0,0,1,2007
51360,"Nodaway, IA","Shenandoah, IA",0,1,0,0,1,0,1,0,0,1,2007
51351,"Nodaway, IA","Ottumwa, IA",0,1,0,0,0,1,0,1,0,1,2007
51352,"Nodaway, IA","Pacific Junction, IA",1,0,0,0,1,0,1,0,0,1,2007
51359,"Nodaway, IA","Shelby, IA",1,0,0,0,1,0,0,1,0,1,2007
51357,"Nodaway, IA","Shannon City, IA",1,0,0,0,0,1,0,1,0,1,2007
51356,"Nodaway, IA","Russell, IA",1,0,0,0,1,0,0,0,1,1,2007
51281,"Nodaway, IA","Adair, IA",0,1,0,1,0,0,0,1,0,1,2007
51327,"Nodaway, IA","Henderson, IA",0,1,0,1,0,0,0,0,1,1,2007
51337,"Nodaway, IA","Logan, IA",0,1,0,0,1,0,1,0,0,1,2007
51294,"Nodaway, IA","Carson, IA",0,0,1,0,0,1,0,1,0,1,2007
51302,"Nodaway, IA","Coulter, IA",0,0,1,0,0,1,1,0,0,1,2007
51300,"Nodaway, IA","Coburg, IA",1,0,0,0,1,0,1,0,0,1,2007
51298,"Nodaway, IA","Clear Lake, IA",1,0,0,0,1,0,1,0,0,1,2007
51297,"Nodaway, IA","Clarinda, IA",0,0,1,0,1,0,1,0,0,1,2007
51296,"Nodaway, IA","Charles City, IA",1,0,0,0,0,1,1,0,0,1,2007
51295,"Nodaway, IA","Chariton, IA",1,0,0,0,1,0,1,0,0,1,2007
51293,"Nodaway, IA","Carlisle, IA",0,1,0,0,1,0,1,0,0,1,2007
51336,"Nodaway, IA","Little Sioux, IA",0,0,1,0,1,0,0,1,0,1,2007
51292,"Nodaway, IA","Burlington, IA",0,1,0,0,1,0,0,1,0,1,2007
51291,"Nodaway, IA","Brighton, IA",0,0,1,1,0,0,0,1,0,1,2007
51290,"Nodaway, IA","Braddyville, IA",0,0,1,1,0,0,0,0,1,1,2007
51289,"Nodaway, IA","Boone, IA",0,1,0,0,1,0,0,1,0,1,2007
51284,"Nodaway, IA","Ames, IA",0,0,1,1,0,0,0,0,1,1,2007
51283,"Nodaway, IA","Albia, IA",1,0,0,0,0,1,1,0,0,1,2007
51306,"Nodaway, IA","Crystal Lake, IA",0,1,0,0,0,1,1,0,0,1,2007
51307,"Nodaway, IA","Cumberland, IA",0,1,0,0,1,0,0,0,1,1,2007
51308,"Nodaway, IA","Defiance, IA",1,0,0,0,1,0,1,0,0,1,2007
51311,"Nodaway, IA","Dubuque, IA",0,1,0,0,1,0,0,1,0,1,2007
51312,"Nodaway, IA","Elk Horn, IA",0,1,0,0,1,0,0,0,1,1,2007
51315,"Nodaway, IA","Exira, IA",0,1,0,0,1,0,0,1,0,1,2007
51317,"Nodaway, IA","Farmington, IA",0,1,0,0,1,0,0,1,0,1,2007
51318,"Nodaway, IA","Fremont, IA",0,1,0,1,0,0,0,1,0,1,2007
51319,"Nodaway, IA","Glenwood, IA",0,1,0,0,0,1,1,0,0,1,2007
51320,"Nodaway, IA","Grand River, IA",1,0,0,0,1,0,1,0,0,1,2007
51325,"Nodaway, IA","Hancock, IA",1,0,0,0,1,0,0,0,1,1,2007
