,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
68646,"Union, IA","Union, IA",1,5,5,5,6,0,0,9,2,11,2007
68651,"Union, IA","Whitten, IA",3,3,3,1,8,0,4,5,0,9,2007
68629,"Union, IA","Hubbard, IA",2,5,2,2,6,1,4,4,1,9,2007
68626,"Union, IA","Eldora, IA",3,4,0,3,4,0,1,5,1,7,2007
68641,"Union, IA","Roland, IA",1,4,0,0,5,0,3,2,0,5,2007
68634,"Union, IA","Liscomb, IA",1,3,1,2,3,0,1,4,0,5,2007
68630,"Union, IA","Iowa Falls, IA",1,2,2,2,1,2,1,4,0,5,2007
68618,"Union, IA","Alden, IA",3,2,0,1,2,2,5,0,0,5,2007
68643,"Union, IA","Steamboat Rock, IA",0,3,1,1,3,0,1,2,1,4,2007
68636,"Union, IA","Marshalltown, IA",1,2,0,2,1,0,1,0,2,3,2007
68627,"Union, IA","Fort Dodge, IA",0,3,0,2,1,0,0,1,2,3,2007
68648,"Union, IA","Waterloo, IA",2,0,0,0,2,0,0,2,0,2,2007
68638,"Union, IA","Parkersburg, IA",0,0,2,0,2,0,0,2,0,2,2007
68625,"Union, IA","Denison, IA",0,1,0,1,0,0,0,0,1,1,2007
68621,"Union, IA","Beaman, IA",0,1,0,0,1,0,1,0,0,1,2007
68650,"Union, IA","Wellsburg, IA",0,1,0,1,0,0,0,1,0,1,2007
68649,"Union, IA","Waukon, IA",0,1,0,0,1,0,1,0,0,1,2007
68647,"Union, IA","Wall Lake, IA",0,1,0,0,1,0,0,1,0,1,2007
68620,"Union, IA","Aredale, IA",0,1,0,0,0,1,1,0,0,1,2007
68645,"Union, IA","Toledo, IA",1,0,0,0,1,0,0,1,0,1,2007
68644,"Union, IA","Story City, IA",0,1,0,1,0,0,0,0,1,1,2007
68642,"Union, IA","State Center, IA",0,0,1,0,1,0,0,0,1,1,2007
68639,"Union, IA","Rhodes, IA",0,1,0,0,0,1,0,1,0,1,2007
68640,"Union, IA","Rock Valley, IA",0,1,0,1,0,0,0,0,1,1,2007
68637,"Union, IA","Owasa, IA",0,0,1,0,1,0,1,0,0,1,2007
68619,"Union, IA","Ames, IA",0,0,1,0,1,0,0,0,1,1,2007
68622,"Union, IA","Carroll, IA",0,1,0,0,1,0,1,0,0,1,2007
68633,"Union, IA","Lehigh, IA",0,0,1,0,1,0,0,1,0,1,2007
68632,"Union, IA","Le Grand, IA",0,1,0,1,0,0,0,1,0,1,2007
68631,"Union, IA","Jefferson, IA",0,1,0,0,1,0,0,1,0,1,2007
68623,"Union, IA","Clear Lake, IA",1,0,0,0,1,0,0,1,0,1,2007
68624,"Union, IA","Conrad, IA",0,0,1,0,1,0,0,1,0,1,2007
68628,"Union, IA","Garwin, IA",0,1,0,1,0,0,0,0,1,1,2007
68635,"Union, IA","Manson, IA",0,1,0,1,0,0,0,0,1,1,2007
