,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
70590,"Walcott, IA","Davenport, IA",92,98,35,16,141,68,87,106,32,225,2007
70572,"Walcott, IA","Buffalo, IA",26,36,16,5,43,30,33,39,6,78,2007
70569,"Walcott, IA","Blue Grass, IA",21,27,13,3,34,24,33,19,9,61,2007
70568,"Walcott, IA","Bettendorf, IA",13,18,6,4,19,14,16,16,5,37,2007
70594,"Walcott, IA","Dixon, IA",31,3,2,3,24,9,31,5,0,36,2007
70654,"Walcott, IA","Walcott, IA",10,20,4,1,27,6,20,9,5,34,2007
70567,"Walcott, IA","Bennett, IA",18,10,2,0,23,7,22,6,2,30,2007
70625,"Walcott, IA","Muscatine, IA",11,6,3,2,14,4,14,3,3,20,2007
70598,"Walcott, IA","Eldridge, IA",7,8,1,0,12,4,2,8,6,16,2007
70663,"Walcott, IA","Wilton, IA",3,9,1,0,5,8,8,4,1,13,2007
70617,"Walcott, IA","Long Grove, IA",8,1,2,0,5,6,6,3,2,11,2007
70596,"Walcott, IA","Durant, IA",5,3,0,0,5,3,6,1,1,8,2007
70582,"Walcott, IA","Clinton, IA",1,4,1,1,3,2,2,3,1,6,2007
70564,"Walcott, IA","Atalissa, IA",3,3,0,0,5,1,3,3,0,6,2007
70662,"Walcott, IA","Wheatland, IA",5,1,0,0,2,4,5,1,0,6,2007
70604,"Walcott, IA","Grand Mound, IA",3,2,0,0,4,1,3,1,1,5,2007
70615,"Walcott, IA","Le Claire, IA",0,4,1,1,2,2,2,1,2,5,2007
70591,"Walcott, IA","De Witt, IA",4,0,1,1,3,1,4,1,0,5,2007
70573,"Walcott, IA","Burlington, IA",2,2,0,0,1,3,3,1,0,4,2007
70638,"Walcott, IA","Riverdale, IA",0,4,0,0,4,0,1,2,1,4,2007
70657,"Walcott, IA","Waterloo, IA",0,2,2,0,0,4,0,2,2,4,2007
70632,"Walcott, IA","Panorama Park, IA",0,3,1,0,4,0,2,2,0,4,2007
70576,"Walcott, IA","Cedar Rapids, IA",3,0,1,0,1,3,3,0,1,4,2007
70586,"Walcott, IA","Council Bluffs, IA",2,0,1,0,0,3,2,1,0,3,2007
70609,"Walcott, IA","Hiawatha, IA",2,0,1,0,2,1,2,1,0,3,2007
70575,"Walcott, IA","Cedar Falls, IA",2,1,0,0,2,1,2,0,1,3,2007
70636,"Walcott, IA","Princeton, IA",0,2,1,0,2,1,1,2,0,3,2007
70580,"Walcott, IA","Charles City, IA",0,2,1,0,0,3,2,0,1,3,2007
70593,"Walcott, IA","Des Moines, IA",2,1,0,0,1,2,1,1,1,3,2007
70595,"Walcott, IA","Dubuque, IA",1,0,1,0,1,1,2,0,0,2,2007
70660,"Walcott, IA","West Liberty, IA",2,0,0,0,2,0,0,2,0,2,2007
70645,"Walcott, IA","Sioux City, IA",2,0,0,0,0,2,1,1,0,2,2007
70601,"Walcott, IA","Fort Madison, IA",1,1,0,1,1,0,1,1,0,2,2007
70635,"Walcott, IA","Preston, IA",1,0,1,0,1,1,0,1,1,2,2007
70621,"Walcott, IA","Mechanicsville, IA",0,2,0,1,1,0,1,1,0,2,2007
70647,"Walcott, IA","St. Paul, IA",0,0,2,0,0,2,1,1,0,2,2007
70566,"Walcott, IA","Baldwin, IA",0,1,1,0,0,2,0,2,0,2,2007
70646,"Walcott, IA","Sloan, IA",1,0,1,0,2,0,1,0,1,2,2007
70665,"Walcott, IA","Zwingle, IA",0,2,0,0,1,1,1,1,0,2,2007
70656,"Walcott, IA","Washington, IA",1,1,0,2,0,0,0,2,0,2,2007
70649,"Walcott, IA","Stockton, IA",1,1,0,0,1,1,1,1,0,2,2007
70583,"Walcott, IA","Clive, IA",1,1,0,0,2,0,2,0,0,2,2007
70581,"Walcott, IA","Clarence, IA",0,1,1,1,0,1,0,2,0,2,2007
70578,"Walcott, IA","Center Point, IA",2,0,0,0,0,2,0,2,0,2,2007
70650,"Walcott, IA","Tipton, IA",2,0,0,0,2,0,2,0,0,2,2007
70574,"Walcott, IA","Camanche, IA",2,0,0,0,2,0,1,1,0,2,2007
70631,"Walcott, IA","Oskaloosa, IA",0,0,1,0,0,1,0,0,1,1,2007
70630,"Walcott, IA","Oakville, IA",1,0,0,0,0,1,0,1,0,1,2007
70633,"Walcott, IA","Parnell, IA",0,1,0,0,1,0,1,0,0,1,2007
70664,"Walcott, IA","Windsor Heights, IA",0,1,0,0,1,0,1,0,0,1,2007
70634,"Walcott, IA","Pleasant Hill, IA",1,0,0,0,0,1,0,1,0,1,2007
70661,"Walcott, IA","West Union, IA",1,0,0,0,1,0,1,0,0,1,2007
70655,"Walcott, IA","Walford, IA",0,1,0,0,1,0,0,1,0,1,2007
70629,"Walcott, IA","Norwalk, IA",0,1,0,0,0,1,1,0,0,1,2007
70628,"Walcott, IA","New London, IA",0,0,1,1,0,0,0,1,0,1,2007
70658,"Walcott, IA","Webster City, IA",1,0,0,0,0,1,0,1,0,1,2007
70637,"Walcott, IA","Red Oak, IA",1,0,0,0,0,1,0,1,0,1,2007
70640,"Walcott, IA","Rockwell City, IA",0,1,0,0,1,0,1,0,0,1,2007
70641,"Walcott, IA","Rutland, IA",0,1,0,0,1,0,0,1,0,1,2007
70642,"Walcott, IA","Sabula, IA",1,0,0,0,1,0,0,0,1,1,2007
70643,"Walcott, IA","Sac City, IA",0,1,0,0,0,1,1,0,0,1,2007
70653,"Walcott, IA","Victor, IA",0,1,0,0,1,0,1,0,0,1,2007
70644,"Walcott, IA","Sergeant Bluff, IA",1,0,0,0,0,1,1,0,0,1,2007
70652,"Walcott, IA","Urbandale, IA",0,1,0,0,0,1,0,0,1,1,2007
70651,"Walcott, IA","University Heights, IA",1,0,0,0,1,0,1,0,0,1,2007
70627,"Walcott, IA","New Liberty, IA",0,0,1,0,0,1,1,0,0,1,2007
70659,"Walcott, IA","Wellman, IA",1,0,0,0,0,1,1,0,0,1,2007
70648,"Walcott, IA","Stanton, IA",1,0,0,0,0,1,0,1,0,1,2007
70639,"Walcott, IA","Riverside, IA",1,0,0,0,0,1,1,0,0,1,2007
70557,"Walcott, IA","Ackworth, IA",0,0,1,0,0,1,0,1,0,1,2007
70626,"Walcott, IA","Nashua, IA",0,1,0,0,1,0,1,0,0,1,2007
70577,"Walcott, IA","Center Junction, IA",0,1,0,0,1,0,0,1,0,1,2007
70592,"Walcott, IA","Delaware, IA",0,1,0,0,0,1,1,0,0,1,2007
70589,"Walcott, IA","Danville, IA",0,0,1,0,1,0,1,0,0,1,2007
70588,"Walcott, IA","Creston, IA",0,0,1,0,0,1,0,1,0,1,2007
70587,"Walcott, IA","Cresco, IA",1,0,0,0,0,1,1,0,0,1,2007
70585,"Walcott, IA","Coralville, IA",0,0,1,0,1,0,1,0,0,1,2007
70584,"Walcott, IA","Columbus Junction, IA",1,0,0,0,1,0,1,0,0,1,2007
70579,"Walcott, IA","Chariton, IA",0,1,0,0,0,1,1,0,0,1,2007
70571,"Walcott, IA","Britt, IA",0,0,1,0,0,1,0,1,0,1,2007
70599,"Walcott, IA","Fairfax, IA",1,0,0,0,0,1,1,0,0,1,2007
70570,"Walcott, IA","Boxholm, IA",0,1,0,0,1,0,0,1,0,1,2007
70565,"Walcott, IA","Aurora, IA",0,1,0,0,0,1,0,1,0,1,2007
70563,"Walcott, IA","Asbury, IA",1,0,0,0,0,1,1,0,0,1,2007
70562,"Walcott, IA","Ankeny, IA",0,1,0,0,0,1,0,0,1,1,2007
70561,"Walcott, IA","Andrew, IA",0,0,1,1,0,0,0,1,0,1,2007
70560,"Walcott, IA","Andover, IA",1,0,0,0,1,0,0,1,0,1,2007
70559,"Walcott, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2007
70597,"Walcott, IA","Dyersville, IA",1,0,0,0,0,1,1,0,0,1,2007
70600,"Walcott, IA","Farmersburg, IA",0,1,0,0,0,1,0,0,1,1,2007
70624,"Walcott, IA","Morrison, IA",0,1,0,0,0,1,0,0,1,1,2007
70613,"Walcott, IA","Iowa Falls, IA",0,1,0,0,0,1,0,1,0,1,2007
70623,"Walcott, IA","Monticello, IA",0,0,1,0,0,1,0,1,0,1,2007
70622,"Walcott, IA","Melcher-Dallas, IA",0,1,0,0,1,0,1,0,0,1,2007
70620,"Walcott, IA","Marengo, IA",0,1,0,0,1,0,0,1,0,1,2007
70619,"Walcott, IA","Maquoketa, IA",0,1,0,1,0,0,0,1,0,1,2007
70618,"Walcott, IA","Lost Nation, IA",0,1,0,0,0,1,0,1,0,1,2007
70616,"Walcott, IA","Livermore, IA",0,1,0,0,0,1,1,0,0,1,2007
70614,"Walcott, IA","Lake City, IA",1,0,0,0,1,0,0,1,0,1,2007
70612,"Walcott, IA","Iowa City, IA",0,1,0,0,1,0,1,0,0,1,2007
70602,"Walcott, IA","Garner, IA",1,0,0,0,0,1,1,0,0,1,2007
70558,"Walcott, IA","Altoona, IA",0,1,0,0,0,1,0,1,0,1,2007
70610,"Walcott, IA","Houghton, IA",0,1,0,0,1,0,0,0,1,1,2007
70608,"Walcott, IA","Hedrick, IA",1,0,0,0,0,1,1,0,0,1,2007
70607,"Walcott, IA","Hamburg, IA",1,0,0,0,0,1,1,0,0,1,2007
70606,"Walcott, IA","Guthrie Center, IA",0,1,0,0,0,1,1,0,0,1,2007
70605,"Walcott, IA","Greene, IA",0,1,0,0,0,1,0,0,1,1,2007
70603,"Walcott, IA","Garwin, IA",0,0,1,1,0,0,1,0,0,1,2007
70611,"Walcott, IA","Imogene, IA",0,1,0,0,0,1,0,0,1,1,2007
