,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
71381,"Washington, IA","Washington, IA",302,757,325,276,971,137,529,589,266,1384,2007
71339,"Washington, IA","Riverside, IA",58,119,60,44,173,20,71,114,52,237,2007
71387,"Washington, IA","Wellman, IA",26,63,29,29,79,10,43,55,20,118,2007
71139,"Washington, IA","Ainsworth, IA",27,50,19,26,66,4,38,41,17,96,2007
71254,"Washington, IA","Kinross, IA",18,40,30,24,54,10,26,49,13,88,2007
71158,"Washington, IA","Brighton, IA",9,53,18,20,47,13,27,38,15,80,2007
71187,"Washington, IA","Crawfordsville, IA",16,40,22,17,50,11,29,32,17,78,2007
71329,"Washington, IA","Pleasant Plain, IA",12,30,19,18,36,7,20,33,8,61,2007
71398,"Washington, IA","Winfield, IA",21,24,15,30,24,6,8,42,10,60,2007
71390,"Washington, IA","West Chester, IA",11,37,10,12,35,11,23,26,9,58,2007
71245,"Washington, IA","Iowa City, IA",14,31,11,11,33,12,18,20,18,56,2007
71180,"Washington, IA","Columbus Junction, IA",12,34,9,30,22,3,8,41,6,55,2007
71212,"Washington, IA","Fairfield, IA",8,32,13,13,32,8,13,29,11,53,2007
71248,"Washington, IA","Kalona, IA",15,24,12,16,31,4,12,21,18,51,2007
71384,"Washington, IA","Wayland, IA",11,21,12,17,22,5,10,29,5,44,2007
71167,"Washington, IA","Cedar Rapids, IA",19,20,5,2,19,23,21,12,11,44,2007
71301,"Washington, IA","Muscatine, IA",11,21,9,4,23,14,15,18,8,41,2007
71161,"Washington, IA","Burlington, IA",6,26,8,5,17,18,11,20,9,40,2007
71298,"Washington, IA","Mount Pleasant, IA",3,24,10,11,21,5,9,7,21,37,2007
71316,"Washington, IA","Ottumwa, IA",8,15,9,0,19,13,12,13,7,32,2007
71299,"Washington, IA","Mount Union, IA",13,12,6,13,16,2,4,20,7,31,2007
71251,"Washington, IA","Keota, IA",5,21,4,9,17,4,4,12,14,30,2007
71263,"Washington, IA","Lockridge, IA",3,14,12,9,17,3,8,19,2,29,2007
71198,"Washington, IA","Des Moines, IA",11,11,4,3,10,13,14,5,7,26,2007
71276,"Washington, IA","Marshalltown, IA",10,8,3,2,10,9,12,4,5,21,2007
71386,"Washington, IA","Webster, IA",2,18,1,10,8,3,1,11,9,21,2007
