,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
6828,"Blairstown, IA","Cedar Rapids, IA",28,81,27,49,56,31,26,44,66,136,2008
6821,"Blairstown, IA","Blairstown, IA",14,46,18,47,15,16,12,25,41,78,2008
6918,"Blairstown, IA","Vinton, IA",11,35,18,11,43,10,18,35,11,64,2008
6862,"Blairstown, IA","Iowa City, IA",13,38,9,11,43,6,10,27,23,60,2008
6919,"Blairstown, IA","Walford, IA",10,25,18,8,35,10,20,28,5,53,2008
6857,"Blairstown, IA","Hiawatha, IA",8,34,6,12,27,9,8,17,23,48,2008
6926,"Blairstown, IA","Williamsburg, IA",10,20,14,11,18,15,16,18,10,44,2008
6921,"Blairstown, IA","Waterloo, IA",12,23,8,6,29,8,11,14,18,43,2008
6872,"Blairstown, IA","Marengo, IA",4,32,6,26,16,0,8,13,21,42,2008
6886,"Blairstown, IA","North Liberty, IA",5,17,7,7,15,7,7,7,15,29,2008
6911,"Blairstown, IA","University Heights, IA",5,16,0,1,18,2,4,10,7,21,2008
6891,"Blairstown, IA","Oxford, IA",10,4,5,3,16,0,12,4,3,19,2008
6835,"Blairstown, IA","Des Moines, IA",6,12,0,2,9,7,4,7,7,18,2008
6908,"Blairstown, IA","Tiffin, IA",6,9,2,12,3,2,4,3,10,17,2008
6838,"Blairstown, IA","Elberon, IA",5,11,1,2,11,4,7,9,1,17,2008
6830,"Blairstown, IA","Clive, IA",7,6,3,0,8,8,6,5,5,16,2008
6831,"Blairstown, IA","Coralville, IA",9,5,2,0,12,4,9,3,4,16,2008
6878,"Blairstown, IA","Mount Auburn, IA",1,7,6,0,11,3,5,5,4,14,2008
6866,"Blairstown, IA","La Porte City, IA",2,7,5,0,10,4,5,9,0,14,2008
6842,"Blairstown, IA","Ely, IA",1,9,4,0,13,1,6,1,7,14,2008
6846,"Blairstown, IA","Fairfax, IA",2,8,3,5,4,4,3,4,6,13,2008
6827,"Blairstown, IA","Cedar Falls, IA",5,6,1,3,5,4,4,7,1,12,2008
6898,"Blairstown, IA","Robins, IA",2,9,1,2,6,4,1,5,6,12,2008
6887,"Blairstown, IA","Norway, IA",0,5,4,0,6,3,6,1,2,9,2008
