,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
7687,"Boyden, IA","Orange City, IA",40,62,31,32,89,12,45,58,30,133,2008
7695,"Boyden, IA","Sheldon, IA",25,84,22,15,83,33,43,65,23,131,2008
7676,"Boyden, IA","Hospers, IA",33,55,20,76,22,10,32,38,38,108,2008
7698,"Boyden, IA","Sioux Center, IA",24,53,27,39,47,18,26,55,23,104,2008
7665,"Boyden, IA","Boyden, IA",18,59,21,78,8,12,26,35,37,98,2008
7692,"Boyden, IA","Rock Valley, IA",13,29,3,21,15,9,17,16,12,45,2008
7677,"Boyden, IA","Hull, IA",13,22,8,6,30,7,22,12,9,43,2008
7699,"Boyden, IA","Sioux City, IA",12,11,4,0,20,7,8,12,7,27,2008
7682,"Boyden, IA","Le Mars, IA",5,15,3,3,10,10,5,7,11,23,2008
7662,"Boyden, IA","Alton, IA",7,5,2,6,3,5,7,6,1,14,2008
7670,"Boyden, IA","Doon, IA",3,7,2,1,9,2,5,6,1,12,2008
7701,"Boyden, IA","Spirit Lake, IA",4,6,2,6,2,4,2,3,7,12,2008
7694,"Boyden, IA","Sergeant Bluff, IA",2,8,1,4,2,5,0,4,7,11,2008
7700,"Boyden, IA","Spencer, IA",4,3,2,0,8,1,6,3,0,9,2008
7689,"Boyden, IA","Primghar, IA",0,3,6,1,3,5,5,3,1,9,2008
7693,"Boyden, IA","Sanborn, IA",1,2,5,3,1,4,3,5,0,8,2008
7679,"Boyden, IA","Ireton, IA",1,6,1,7,0,1,3,2,3,8,2008
7674,"Boyden, IA","Hartley, IA",3,3,1,0,5,2,4,1,2,7,2008
7669,"Boyden, IA","Davenport, IA",4,2,1,0,4,3,3,3,1,7,2008
7702,"Boyden, IA","Storm Lake, IA",0,5,2,3,1,3,1,6,0,7,2008
7673,"Boyden, IA","George, IA",3,2,2,3,2,2,5,2,0,7,2008
7685,"Boyden, IA","Maurice, IA",2,2,1,3,1,1,3,2,0,5,2008
7691,"Boyden, IA","Rock Rapids, IA",1,4,0,0,4,1,2,2,1,5,2008
7664,"Boyden, IA","Bettendorf, IA",1,4,0,0,3,2,1,3,1,5,2008
7668,"Boyden, IA","Council Bluffs, IA",1,3,0,3,1,0,0,1,3,4,2008
7663,"Boyden, IA","Ashton, IA",0,3,1,4,0,0,1,2,1,4,2008
7681,"Boyden, IA","Larrabee, IA",1,1,1,0,0,3,1,1,1,3,2008
7672,"Boyden, IA","Estherville, IA",0,3,0,0,1,2,0,1,2,3,2008
7703,"Boyden, IA","Sutherland, IA",2,1,0,2,0,1,3,0,0,3,2008
7697,"Boyden, IA","Sibley, IA",1,0,1,0,2,0,0,1,1,2,2008
7661,"Boyden, IA","Algona, IA",2,0,0,0,1,1,1,1,0,2,2008
7683,"Boyden, IA","Little Rock, IA",0,2,0,2,0,0,2,0,0,2,2008
7686,"Boyden, IA","Meriden, IA",0,2,0,0,2,0,0,2,0,2,2008
7680,"Boyden, IA","Lakeside, IA",1,1,0,0,2,0,2,0,0,2,2008
7675,"Boyden, IA","Hawarden, IA",1,1,0,0,2,0,2,0,0,2,2008
7671,"Boyden, IA","Eldridge, IA",1,1,0,0,0,2,1,0,1,2,2008
7690,"Boyden, IA","Remsen, IA",0,1,0,0,0,1,0,0,1,1,2008
7688,"Boyden, IA","Paullina, IA",0,1,0,0,1,0,1,0,0,1,2008
7696,"Boyden, IA","Shenandoah, IA",0,1,0,1,0,0,0,0,1,1,2008
7684,"Boyden, IA","Marcus, IA",1,0,0,1,0,0,0,1,0,1,2008
7678,"Boyden, IA","Ida Grove, IA",1,0,0,0,0,1,1,0,0,1,2008
7667,"Boyden, IA","Cherokee, IA",1,0,0,0,0,1,1,0,0,1,2008
7666,"Boyden, IA","Camanche, IA",1,0,0,0,0,1,1,0,0,1,2008
7704,"Boyden, IA","Whittemore, IA",0,0,1,0,0,1,1,0,0,1,2008
